Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.011412,6.4,[17  3] ; [1 3],[15.  5.] ; [3. 1.],0
n5,1,0.04299,4.095805,[19  2] ; [2 2],[17.64  3.36] ; [3.36 0.64],0
n6,1,0.04299,4.095805,[19  2] ; [2 2],[17.64  3.36] ; [3.36 0.64],0
d3,1,0.076225,3.143601,[15  6] ; [1 3],[13.44  7.56] ; [2.56 1.44],0
d4,1,0.101707,2.678571,[18  3] ; [2 2],[16.8  4.2] ; [3.2 0.8],0
p7,1,0.105817,2.615602,[13  6] ; [1 3],[11.56521739  7.43478261] ; [2.43478261 1.56521739],0
v2,1,0.138523,2.194286,[ 7 13] ; [3 1],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
s5,1,0.199674,1.644755,[12  8] ; [1 3],[10.83333333  9.16666667] ; [2.16666667 1.83333333],0
d1,1,0.238271,1.390797,[12  9] ; [1 3],[10.92 10.08] ; [2.08 1.92],0
s3,1,0.273322,1.2,[11  9] ; [1 3],[10. 10.] ; [2. 2.],0
b3,1,0.279642,1.168831,[ 5 10] ; [2 1],[5.83333333 9.16666667] ; [1.16666667 1.83333333],0
b2,1,0.279642,1.168831,[ 5 10] ; [2 1],[5.83333333 9.16666667] ; [1.16666667 1.83333333],0
r1,1,0.28497,1.143235,[16  5] ; [2 2],[15.12  5.88] ; [2.88 1.12],0
d2,1,0.315086,1.009234,[11 10] ; [1 3],[10.08 10.92] ; [1.92 2.08],0
s2,1,0.315086,1.009234,[11 10] ; [1 3],[10.08 10.92] ; [1.92 2.08],0
a6,1,0.315086,1.009234,[11 10] ; [1 3],[10.08 10.92] ; [1.92 2.08],0
s8,1,0.315086,1.009234,[11 10] ; [1 3],[10.08 10.92] ; [1.92 2.08],0
b1,1,0.315086,1.009234,[10 11] ; [3 1],[10.92 10.08] ; [2.08 1.92],0
r2,1,0.382677,0.762085,[19  2] ; [3 1],[18.48  2.52] ; [3.52 0.48],0
a7,1,0.399765,0.709034,[15  6] ; [2 2],[14.28  6.72] ; [2.72 1.28],0
p12,1,0.407626,0.685714,[ 2 18] ; [1 3],[ 2.5 17.5] ; [0.5 3.5],0
a4,1,0.504036,0.446429,[ 9 12] ; [1 3],[ 8.4 12.6] ; [1.6 2.4],0
b5,1,0.504036,0.446429,[12  9] ; [3 1],[12.6  8.4] ; [2.4 1.6],0
p6,1,0.571608,0.32,[ 8 12] ; [1 3],[ 7.5 12.5] ; [1.5 2.5],0
r3,1,0.592156,0.28699,[18  3] ; [3 1],[17.64  3.36] ; [3.36 0.64],0
d5,1,0.617017,0.250083,[13  8] ; [3 1],[13.44  7.56] ; [2.56 1.44],0
b4,1,0.617017,0.250083,[13  8] ; [3 1],[13.44  7.56] ; [2.56 1.44],0
p8,1,0.617017,0.250083,[13  8] ; [3 1],[13.44  7.56] ; [2.56 1.44],0
a3,1,0.656005,0.198413,[13  8] ; [2 2],[12.6  8.4] ; [2.4 1.6],0
p4,1,0.711138,0.137143,[12  8] ; [2 2],[11.66666667  8.33333333] ; [2.33333333 1.66666667],0
u3,1,0.746886,0.104167,[3 5] ; [1 1],[3.2 4.8] ; [0.8 1.2],0
r4,1,0.785028,0.074405,[17  4] ; [3 1],[16.8  4.2] ; [3.2 0.8],0
p2,1,0.840825,0.040336,[14  6] ; [3 1],[14.16666667  5.83333333] ; [2.83333333 1.16666667],0
a5,1,0.884077,0.021259,[15  6] ; [3 1],[15.12  5.88] ; [2.88 1.12],0
v1,1,0.956561,0.002967,[14  5] ; [3 1],[14.04347826  4.95652174] ; [2.95652174 1.04347826],0
n1,1,1.0,0.0,[2 2] ; [1 1],[2. 2.] ; [1. 1.],0
v3,1,1.0,0.0,[10 10] ; [2 2],[10. 10.] ; [2. 2.],0
