Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2.5e-05,17.731784,[45  8] ; [ 5 11],[38.4057971 14.5942029] ; [11.5942029  4.4057971],1
v4,1,0.00104,10.754896,[53  1] ; [11  4],[50.08695652  3.91304348] ; [13.91304348  1.08695652],0
a5,1,0.00475,7.972334,[38 16] ; [ 5 11],[33.17142857 20.82857143] ; [9.82857143 6.17142857],0
n3,1,0.011072,6.453782,[14  2] ; [3 5],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
p7,1,0.014352,5.994307,[22 28] ; [12  3],[26.15384615 23.84615385] ; [7.84615385 7.15384615],0
r2,1,0.023553,5.12727,[52  2] ; [11  3],[50.02941176  3.97058824] ; [12.97058824  1.02941176],0
d4,1,0.029813,4.720029,[48  5] ; [11  5],[45.31884058  7.68115942] ; [13.68115942  2.31884058],0
u3,1,0.037193,4.34154,[17  1] ; [5 3],[15.23076923  2.76923077] ; [6.76923077 1.23076923],0
a7,1,0.050957,3.809671,[38 16] ; [7 9],[34.71428571 19.28571429] ; [10.28571429  5.71428571],0
v3,1,0.090133,2.871999,[17 32] ; [ 2 14],[14.32307692 34.67692308] ; [ 4.67692308 11.32307692],0
p8,1,0.108341,2.578255,[16 36] ; [8 7],[18.62686567 33.37313433] ; [5.37313433 9.62686567],0
s4,1,0.125973,2.341435,[13 41] ; [7 9],[15.42857143 38.57142857] ; [ 4.57142857 11.42857143],0
n1,1,0.191719,1.704359,[8 7] ; [2 6],[6.52173913 8.47826087] ; [3.47826087 4.52173913],0
s1,1,0.198273,1.655048,[ 2 50] ; [ 2 14],[ 3.05882353 48.94117647] ; [ 0.94117647 15.05882353],0
d5,1,0.235524,1.407186,[41 12] ; [10  6],[39.17391304 13.82608696] ; [11.82608696  4.17391304],0
s6,1,0.235524,1.407186,[41 12] ; [10  6],[39.17391304 13.82608696] ; [11.82608696  4.17391304],0
b3,1,0.255034,1.295517,[ 8 21] ; [1 9],[ 6.69230769 22.30769231] ; [2.30769231 7.69230769],0
b2,1,0.255034,1.295517,[ 8 21] ; [1 9],[ 6.69230769 22.30769231] ; [2.30769231 7.69230769],0
s7,1,0.256106,1.289683,[25 25] ; [10  5],[26.92307692 23.07692308] ; [8.07692308 6.92307692],0
a4,1,0.263552,1.25,[18 36] ; [ 3 13],[16.2 37.8] ; [ 4.8 11.2],0
p9,1,0.271365,1.209834,[39 12] ; [10  6],[37.29850746 13.70149254] ; [11.70149254  4.29850746],0
b4,1,0.272667,1.203282,[32 22] ; [7 9],[30.08571429 23.91428571] ; [8.91428571 7.08571429],0
a3,1,0.28495,1.143331,[35 19] ; [8 8],[33.17142857 20.82857143] ; [9.82857143 6.17142857],0
v1,1,0.344675,0.892966,[28 24] ; [6 9],[26.3880597 25.6119403] ; [7.6119403 7.3880597],0
b1,1,0.378996,0.773956,[27 27] ; [10  6],[28.54285714 25.45714286] ; [8.45714286 7.54285714],0
p3,1,0.385861,0.751945,[23 30] ; [ 5 11],[21.50724638 31.49275362] ; [6.49275362 9.50724638],0
d1,1,0.406046,0.690349,[30 24] ; [7 9],[28.54285714 25.45714286] ; [8.45714286 7.54285714],0
p6,1,0.443452,0.587333,[14 37] ; [ 6 10],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
s8,1,0.45268,0.563932,[26 28] ; [ 6 10],[24.68571429 29.31428571] ; [7.31428571 8.68571429],0
s3,1,0.458527,0.549489,[47  7] ; [15  1],[47.82857143  6.17142857] ; [14.17142857  1.82857143],0
v2,1,0.47027,0.521342,[26 22] ; [7 9],[24.75 23.25] ; [8.25 7.75],0
a6,1,0.475319,0.509585,[35 18] ; [9 7],[33.79710145 19.20289855] ; [10.20289855  5.79710145],0
d3,1,0.483431,0.491114,[38 15] ; [10  6],[36.86956522 16.13043478] ; [11.13043478  4.86956522],0
p2,1,0.582323,0.302494,[37 16] ; [10  6],[36.10144928 16.89855072] ; [10.89855072  5.10144928],0
p10,1,0.626971,0.236191,[35 16] ; [12  4],[35.7761194 15.2238806] ; [11.2238806  4.7761194],0
a1,1,0.658714,0.195089,[ 2 52] ; [ 1 15],[ 2.31428571 51.68571429] ; [ 0.68571429 15.31428571],0
n2,1,0.698535,0.15,[13  3] ; [7 1],[13.33333333  2.66666667] ; [6.66666667 1.33333333],0
p4,1,0.709581,0.138695,[26 27] ; [7 9],[25.34782609 27.65217391] ; [7.65217391 8.34782609],0
b5,1,0.727383,0.121528,[33 21] ; [9 7],[32.4 21.6] ; [9.6 6.4],0
d2,1,0.794558,0.067807,[18 35] ; [ 6 10],[18.43478261 34.56521739] ; [ 5.56521739 10.43478261],0
s5,1,0.806203,0.060185,[15 35] ; [ 5 10],[15.38461538 34.61538462] ; [ 4.61538462 10.38461538],0
p11,1,0.830062,0.046063,[32 22] ; [9 7],[31.62857143 22.37142857] ; [9.37142857 6.62857143],0
u2,1,0.876697,0.024074,[14  4] ; [6 2],[13.84615385  4.15384615] ; [6.15384615 1.84615385],0
n4,1,0.960826,0.002412,[24 30] ; [7 9],[23.91428571 30.08571429] ; [7.08571429 8.91428571],0
a8,1,0.978485,0.000727,[ 6 43] ; [ 2 14],[ 6.03076923 42.96923077] ; [ 1.96923077 14.03076923],0
n5,1,0.98004,0.000626,[23 30] ; [7 9],[23.04347826 29.95652174] ; [6.95652174 9.04347826],0
