Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.215385,[ 1 27] ; [44 12],[15. 13.] ; [30. 26.],1
r1,1,9e-06,19.788462,[ 8 20] ; [44 12],[17.33333333 10.66666667] ; [34.66666667 21.33333333],1
v4,1,1.1e-05,19.414147,[10 18] ; [46  9],[18.89156627  9.10843373] ; [37.10843373 17.89156627],1
v2,1,3e-05,17.433665,[ 1 26] ; [26 25],[ 9.34615385 17.65384615] ; [17.65384615 33.34615385],1
s6,1,4.9e-05,16.476561,[ 2 26] ; [29 26],[10.45783133 17.54216867] ; [20.54216867 34.45783133],1
s2,1,0.000317,12.964286,[ 2 26] ; [26 30],[ 9.33333333 18.66666667] ; [18.66666667 37.33333333],1
a1,1,0.000634,11.674342,[ 7 21] ; [ 1 55],[ 2.66666667 25.33333333] ; [ 5.33333333 50.66666667],1
d4,1,0.001442,10.151805,[14 14] ; [45  9],[20.14634146  7.85365854] ; [38.85365854 15.14634146],0
p4,1,0.002815,8.923476,[ 2 26] ; [21 34],[ 7.75903614 20.24096386] ; [15.24096386 39.75903614],0
d3,1,0.003739,8.40622,[11 17] ; [39 15],[17.07317073 10.92682927] ; [32.92682927 21.07317073],0
p2,1,0.004186,8.201285,[ 7 21] ; [32 23],[13.15662651 14.84337349] ; [25.84337349 29.15662651],0
r2,1,0.004399,8.111434,[17 10] ; [50  6],[21.79518072  5.20481928] ; [45.20481928 10.79518072],0
b5,1,0.005479,7.714286,[ 8 20] ; [34 22],[14. 14.] ; [28. 28.],0
n5,1,0.009036,6.815657,[17 11] ; [17 38],[11.46987952 16.53012048] ; [22.53012048 32.46987952],0
b2,1,0.010134,6.611152,[9 7] ; [ 6 25],[ 5.10638298 10.89361702] ; [ 9.89361702 21.10638298],0
b3,1,0.010134,6.611152,[9 7] ; [ 6 25],[ 5.10638298 10.89361702] ; [ 9.89361702 21.10638298],0
s3,1,0.017602,5.635329,[ 7 20] ; [30 26],[12.03614458 14.96385542] ; [24.96385542 31.03614458],0
p6,1,0.017674,5.628194,[ 1 27] ; [13 40],[ 4.83950617 23.16049383] ; [ 9.16049383 43.83950617],0
s7,1,0.021781,5.263158,[ 2 23] ; [16 34],[ 6. 19.] ; [12. 38.],0
p8,1,0.023342,5.142857,[ 2 25] ; [16 38],[ 6. 21.] ; [12. 42.],0
u3,1,0.02846,4.8,[3 9] ; [13  7],[6. 6.] ; [10. 10.],0
d5,1,0.034284,4.480468,[15 13] ; [42 13],[19.22891566  8.77108434] ; [37.77108434 17.22891566],0
u2,1,0.04295,4.097354,[4 8] ; [14  6],[6.75 5.25] ; [11.25  8.75],0
d1,1,0.043351,4.081656,[ 8 20] ; [29 27],[12.33333333 15.66666667] ; [24.66666667 31.33333333],0
s8,1,0.047221,3.9375,[ 1 27] ; [11 45],[ 4. 24.] ; [ 8. 48.],0
n3,1,0.056846,3.627106,[7 9] ; [17  6],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
n4,1,0.063399,3.446154,[17 11] ; [22 34],[13. 15.] ; [26. 30.],0
a7,1,0.078624,3.093122,[14 14] ; [39 17],[17.66666667 10.33333333] ; [35.33333333 20.66666667],0
a5,1,0.08736,2.922369,[12 16] ; [35 21],[15.66666667 12.33333333] ; [31.33333333 24.66666667],0
a6,1,0.089135,2.889928,[14 14] ; [38 17],[17.54216867 10.45783133] ; [34.45783133 20.54216867],0
p7,1,0.110621,2.545326,[ 6 22] ; [21 33],[ 9.2195122 18.7804878] ; [17.7804878 36.2195122],0
a2,1,0.124485,2.359965,[ 3 25] ; [14 42],[ 5.66666667 22.33333333] ; [11.33333333 44.66666667],0
p9,1,0.13437,2.241281,[ 9 18] ; [27 26],[12.15 14.85] ; [23.85 29.15],0
s5,1,0.142047,2.155645,[ 3 25] ; [12 37],[ 5.45454545 22.54545455] ; [ 9.54545455 39.45454545],0
