Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.4e-05,18.902925,[38 66] ; [27  7],[48.98550725 55.01449275] ; [16.01449275 17.98550725],1
s2,1,4.2e-05,16.796619,[27 77] ; [22 12],[36.92753623 67.07246377] ; [12.07246377 21.92753623],1
s3,1,0.000146,14.421586,[34 71] ; [23 10],[43.36956522 61.63043478] ; [13.63043478 19.36956522],1
s8,1,0.001397,10.209884,[16 89] ; [14 20],[22.6618705 82.3381295] ; [ 7.3381295 26.6618705],0
s7,1,0.009416,6.742137,[17 84] ; [13 21],[22.44444444 78.55555556] ; [ 7.55555556 26.44444444],0
p10,1,0.033238,4.533464,[60 43] ; [26  7],[65.13235294 37.86764706] ; [20.86764706 12.13235294],0
b1,1,0.03948,4.240084,[42 63] ; [ 7 27],[37.01438849 67.98561151] ; [11.98561151 22.01438849],0
r2,1,0.040138,4.212045,[87 18] ; [32  1],[90.54347826 14.45652174] ; [28.45652174  4.54347826],0
d4,1,0.044791,4.026507,[74 30] ; [30  4],[78.37681159 25.62318841] ; [25.62318841  8.37681159],0
n1,1,0.046289,3.971047,[ 8 38] ; [5 6],[10.49122807 35.50877193] ; [2.50877193 8.49122807],0
s4,1,0.050483,3.825329,[20 85] ; [12 22],[24.17266187 80.82733813] ; [ 7.82733813 26.17266187],0
n6,1,0.054293,3.703665,[61 44] ; [26  8],[65.71942446 39.28057554] ; [21.28057554 12.71942446],0
r3,1,0.055296,3.673143,[88 16] ; [33  1],[91.1884058 12.8115942] ; [29.8115942  4.1884058],0
p9,1,0.056146,3.64772,[69 33] ; [28  5],[73.28888889 28.71111111] ; [23.71111111  9.28888889],0
a1,1,0.059711,3.545404,[  2 103] ; [ 3 31],[  3.77697842 101.22302158] ; [ 1.22302158 32.77697842],0
b2,1,0.118154,2.441627,[11 34] ; [ 8 10],[13.57142857 31.42857143] ; [ 5.42857143 12.57142857],0
b3,1,0.118154,2.441627,[11 34] ; [ 8 10],[13.57142857 31.42857143] ; [ 5.42857143 12.57142857],0
v2,1,0.130907,2.281714,[38 62] ; [17 15],[41.66666667 58.33333333] ; [13.33333333 18.66666667],0
a4,1,0.174505,1.843808,[22 83] ; [11 23],[24.92805755 80.07194245] ; [ 8.07194245 25.92805755],0
u2,1,0.180256,1.795508,[25 22] ; [ 5 10],[22.74193548 24.25806452] ; [7.25806452 7.74193548],0
b5,1,0.184022,1.764842,[66 39] ; [17 17],[62.69784173 42.30215827] ; [20.30215827 13.69784173],0
r4,1,0.206313,1.597115,[75 30] ; [28  6],[77.8057554 27.1942446] ; [25.1942446  8.8057554],0
u1,1,0.235355,1.4082,[ 6 99] ; [ 4 30],[ 7.55395683 97.44604317] ; [ 2.44604317 31.55395683],0
p11,1,0.267461,1.229724,[63 42] ; [24 10],[65.71942446 39.28057554] ; [21.28057554 12.71942446],0
v3,1,0.281683,1.158953,[25 76] ; [ 5 27],[22.78195489 78.21804511] ; [ 7.21804511 24.78195489],0
a2,1,0.301606,1.067079,[ 9 96] ; [ 5 29],[10.57553957 94.42446043] ; [ 3.42446043 30.57553957],0
a5,1,0.304612,1.053895,[45 60] ; [18 16],[47.58992806 57.41007194] ; [15.41007194 18.58992806],0
n5,1,0.345031,0.89165,[37 68] ; [ 9 25],[34.74820144 70.25179856] ; [11.25179856 22.74820144],0
d5,1,0.379139,0.773493,[68 36] ; [25  9],[70.08695652 33.91304348] ; [22.91304348 11.08695652],0
b4,1,0.381484,0.765915,[59 46] ; [22 12],[61.18705036 43.81294964] ; [19.81294964 14.18705036],0
d3,1,0.456897,0.553486,[62 41] ; [18 16],[60.1459854 42.8540146] ; [19.8540146 14.1459854],0
n2,1,0.46392,0.53642,[28 18] ; [8 3],[29.05263158 16.94736842] ; [6.94736842 4.05263158],0
p8,1,0.479514,0.499968,[31 73] ; [12 21],[32.64233577 71.35766423] ; [10.35766423 22.64233577],0
n3,1,0.526581,0.400985,[28 18] ; [5 5],[27.10714286 18.89285714] ; [5.89285714 4.10714286],0
r1,1,0.54597,0.364587,[65 40] ; [23 11],[66.47482014 38.52517986] ; [21.52517986 12.47482014],0
a7,1,0.548748,0.359566,[73 31] ; [22 12],[71.5942029 32.4057971] ; [23.4057971 10.5942029],0
p1,1,0.580181,0.305943,[  4 101] ; [ 2 31],[  4.56521739 100.43478261] ; [ 1.43478261 31.56521739],0
