Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.004135,8.223776,[9 2] ; [ 3 10],[5.5 5.5] ; [6.5 6.5],0
s7,1,0.016623,5.73572,[10  7] ; [ 5 18],[ 6.375 10.625] ; [ 8.625 14.375],0
r4,1,0.020123,5.401235,[10  8] ; [ 5 19],[ 6.42857143 11.57142857] ; [ 8.57142857 15.42857143],0
n2,1,0.020479,5.370629,[10  1] ; [6 7],[7.33333333 3.66666667] ; [8.66666667 4.33333333],0
p6,1,0.024319,5.071732,[ 8 10] ; [ 3 20],[ 4.82926829 13.17073171] ; [ 6.17073171 16.82926829],0
p5,1,0.035164,4.437187,[ 5 13] ; [ 1 22],[ 2.63414634 15.36585366] ; [ 3.36585366 19.63414634],0
p8,1,0.047184,3.938831,[11  6] ; [ 8 16],[7.87804878 9.12195122] ; [11.12195122 12.87804878],0
v2,1,0.05884,3.569771,[ 8 10] ; [ 4 19],[ 5.26829268 12.73170732] ; [ 6.73170732 16.26829268],0
n3,1,0.058856,3.56933,[8 3] ; [4 8],[5.73913043 5.26086957] ; [6.26086957 5.73913043],0
s3,1,0.065541,3.391304,[8 8] ; [ 5 18],[ 5.33333333 10.66666667] ; [ 7.66666667 15.33333333],0
d1,1,0.084668,2.972941,[10  8] ; [ 7 17],[ 7.28571429 10.71428571] ; [ 9.71428571 14.28571429],0
u3,1,0.105645,2.618182,[4 4] ; [1 7],[2.5 5.5] ; [2.5 5.5],0
d3,1,0.108408,2.577273,[12  6] ; [10 14],[9.42857143 8.57142857] ; [12.57142857 11.42857143],0
b5,1,0.146508,2.108235,[13  5] ; [12 12],[10.71428571  7.28571429] ; [14.28571429  9.71428571],0
s8,1,0.158414,1.989302,[ 7 10] ; [ 5 19],[ 4.97560976 12.02439024] ; [ 7.02439024 16.97560976],0
s2,1,0.168861,1.893029,[9 9] ; [ 7 17],[ 6.85714286 11.14285714] ; [ 9.14285714 14.85714286],0
r1,1,0.179464,1.802059,[12  6] ; [11 13],[9.85714286 8.14285714] ; [13.14285714 10.85714286],0
a4,1,0.184797,1.758616,[ 7 10] ; [ 5 18],[ 5.1 11.9] ; [ 6.9 16.1],0
a5,1,0.185877,1.75,[14  4] ; [14 10],[12.  6.] ; [16.  8.],0
p9,1,0.194916,1.680067,[12  5] ; [11 11],[10.02564103  6.97435897] ; [12.97435897  9.02564103],0
s4,1,0.209482,1.575,[ 6 12] ; [ 4 20],[ 4.28571429 13.71428571] ; [ 5.71428571 18.28571429],0
b2,1,0.211555,1.56075,[6 8] ; [ 4 14],[4.375 9.625] ; [ 5.625 12.375],0
b3,1,0.211555,1.56075,[6 8] ; [ 4 14],[4.375 9.625] ; [ 5.625 12.375],0
a6,1,0.212317,1.555556,[11  7] ; [10 14],[9. 9.] ; [12. 12.],0
r2,1,0.230204,1.439601,[14  3] ; [15  8],[12.325  4.675] ; [16.675  6.325],0
d4,1,0.233095,1.421875,[13  5] ; [13 11],[11.14285714  6.85714286] ; [14.85714286  9.14285714],0
p4,1,0.262305,1.25655,[11  7] ; [10 13],[9.2195122 8.7804878] ; [11.7804878 11.2195122],0
b1,1,0.280087,1.166667,[12  6] ; [12 12],[10.28571429  7.71428571] ; [13.71428571 10.28571429],0
v1,1,0.335284,0.928382,[ 7 11] ; [ 6 18],[ 5.57142857 12.42857143] ; [ 7.42857143 16.57142857],0
p2,1,0.349898,0.873828,[12  6] ; [12 11],[10.53658537  7.46341463] ; [13.46341463  9.53658537],0
a1,1,0.387154,0.747863,[ 2 16] ; [ 1 23],[ 1.28571429 16.71428571] ; [ 1.71428571 22.28571429],0
d5,1,0.414079,0.667059,[12  6] ; [13 11],[10.71428571  7.28571429] ; [14.28571429  9.71428571],0
s5,1,0.475407,0.509381,[ 6 11] ; [ 6 18],[ 4.97560976 12.02439024] ; [ 7.02439024 16.97560976],0
p3,1,0.529092,0.396135,[ 8 10] ; [ 8 15],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
v3,1,0.555863,0.346918,[ 4 14] ; [ 7 16],[ 4.82926829 13.17073171] ; [ 6.17073171 16.82926829],0
b4,1,0.58208,0.302885,[12  6] ; [14 10],[11.14285714  6.85714286] ; [14.85714286  9.14285714],0
u2,1,0.589639,0.290909,[2 6] ; [3 5],[2.5 5.5] ; [2.5 5.5],0
a3,1,0.607487,0.263851,[10  7] ; [16  8],[10.7804878  6.2195122] ; [15.2195122  8.7804878],0
n5,1,0.61063,0.259259,[16  2] ; [20  4],[15.42857143  2.57142857] ; [20.57142857  3.42857143],0
n4,1,0.612467,0.256598,[14  4] ; [17  7],[13.28571429  4.71428571] ; [17.71428571  6.28571429],0
s6,1,0.653738,0.20122,[9 8] ; [11 13],[8.29268293 8.70731707] ; [11.70731707 12.29268293],0
s1,1,0.761518,0.092105,[ 2 16] ; [ 2 22],[ 1.71428571 16.28571429] ; [ 2.28571429 21.71428571],0
p12,1,0.761518,0.092105,[ 2 16] ; [ 2 22],[ 1.71428571 16.28571429] ; [ 2.28571429 21.71428571],0
p11,1,0.789034,0.071591,[9 9] ; [11 13],[8.57142857 9.42857143] ; [11.42857143 12.57142857],0
p10,1,0.855977,0.032941,[11  7] ; [14 10],[10.71428571  7.28571429] ; [14.28571429  9.71428571],0
p7,1,0.869635,0.026936,[ 7 11] ; [ 8 14],[ 6.75 11.25] ; [ 8.25 13.75],0
d2,1,0.95067,0.003827,[ 8 10] ; [10 13],[ 7.90243902 10.09756098] ; [10.09756098 12.90243902],0
p1,1,1.0,0.0,[ 3 15] ; [ 4 20],[ 3. 15.] ; [ 4. 20.],0
