Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,9.6e-05,15.204829,[20  5] ; [ 7 20],[12.98076923 12.01923077] ; [14.01923077 12.98076923],1
s6,1,0.00032,12.947158,[20  5] ; [ 9 20],[13.42592593 11.57407407] ; [15.57407407 13.42592593],1
s7,1,0.000756,11.345455,[17  9] ; [ 5 21],[11. 15.] ; [11. 15.],1
s8,1,0.001226,10.45079,[13 13] ; [ 3 26],[ 7.56363636 18.43636364] ; [ 8.43636364 20.56363636],0
n3,1,0.007176,7.22843,[3 8] ; [12  3],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
a6,1,0.008964,6.830018,[19  7] ; [11 18],[14.18181818 11.81818182] ; [15.81818182 13.18181818],0
r3,1,0.012116,6.293793,[21  4] ; [15 14],[16.66666667  8.33333333] ; [19.33333333  9.66666667],0
s5,1,0.04648,3.964101,[ 8 16] ; [ 3 25],[ 5.07692308 18.92307692] ; [ 5.92307692 22.07692308],0
d4,1,0.052435,3.761842,[20  6] ; [15 14],[16.54545455  9.45454545] ; [18.45454545 10.54545455],0
v3,1,0.058681,3.574271,[ 8 18] ; [ 3 26],[ 5.2 20.8] ; [ 5.8 23.2],0
d1,1,0.069574,3.293048,[ 9 17] ; [ 4 25],[ 6.14545455 19.85454545] ; [ 6.85454545 22.14545455],0
n2,1,0.079182,3.081613,[10  1] ; [9 6],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
b1,1,0.086838,2.932044,[12 14] ; [20  9],[15.12727273 10.87272727] ; [16.87272727 12.12727273],0
p5,1,0.101641,2.679602,[ 1 25] ; [ 5 23],[ 2.88888889 23.11111111] ; [ 3.11111111 24.88888889],0
p10,1,0.168432,1.89684,[20  6] ; [16 11],[17.66037736  8.33962264] ; [18.33962264  8.66037736],0
s1,1,0.200155,1.641247,[ 1 25] ; [ 4 25],[ 2.36363636 23.63636364] ; [ 2.63636364 26.36363636],0
p2,1,0.277216,1.180687,[19  7] ; [23  4],[20.60377358  5.39622642] ; [21.39622642  5.60377358],0
a8,1,0.280386,1.16522,[ 3 23] ; [ 1 26],[ 1.96226415 24.03773585] ; [ 2.03773585 24.96226415],0
b5,1,0.283989,1.147902,[18  8] ; [16 13],[16.07272727  9.92727273] ; [17.92727273 11.07272727],0
p3,1,0.288796,1.125225,[13 13] ; [10 18],[11.07407407 14.92592593] ; [11.92592593 16.07407407],0
d5,1,0.305174,1.051448,[17  9] ; [15 14],[15.12727273 10.87272727] ; [16.87272727 12.12727273],0
p8,1,0.334816,0.930181,[15 11] ; [12 15],[13.24528302 12.75471698] ; [13.75471698 13.24528302],0
a5,1,0.340686,0.907848,[15 11] ; [13 16],[13.23636364 12.76363636] ; [14.76363636 14.23636364],0
p4,1,0.377365,0.779268,[17  9] ; [15 13],[15.40740741 10.59259259] ; [16.59259259 11.40740741],0
p6,1,0.387615,0.746411,[11 15] ; [ 8 18],[ 9.5 16.5] ; [ 9.5 16.5],0
s4,1,0.391584,0.734018,[ 8 18] ; [ 6 23],[ 6.61818182 19.38181818] ; [ 7.38181818 21.61818182],0
v2,1,0.435121,0.609115,[13 12] ; [12 17],[11.57407407 13.42592593] ; [13.42592593 15.57407407],0
v4,1,0.460944,0.5436,[17  6] ; [18 10],[15.78431373  7.21568627] ; [19.21568627  8.78431373],0
b4,1,0.463726,0.536886,[10 16] ; [14 15],[11.34545455 14.65454545] ; [12.65454545 16.34545455],0
n4,1,0.463726,0.536886,[16 10] ; [15 14],[14.65454545 11.34545455] ; [16.34545455 12.65454545],0
n1,1,0.500352,0.454189,[3 8] ; [6 9],[3.80769231 7.19230769] ; [5.19230769 9.80769231],0
a7,1,0.504166,0.446157,[12 14] ; [16 13],[13.23636364 12.76363636] ; [14.76363636 14.23636364],0
