Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.9e-05,17.489879,[ 24 128] ; [6 2],[ 28.5 123.5] ; [1.5 6.5],1
s7,1,0.000291,13.129089,[ 29 117] ; [6 2],[ 33.18181818 112.81818182] ; [1.81818182 6.18181818],1
s6,1,0.011902,6.325402,[ 48 103] ; [6 2],[51.28301887 99.71698113] ; [2.71698113 5.28301887],0
p3,1,0.013061,6.160857,[ 49 103] ; [6 2],[52.25 99.75] ; [2.75 5.25],0
p12,1,0.023019,5.167058,[  2 150] ; [1 7],[  2.85 149.15] ; [0.15 7.85],0
a8,1,0.027269,4.873707,[  9 134] ; [2 5],[ 10.48666667 132.51333333] ; [0.51333333 6.48666667],0
p7,1,0.036891,4.355457,[76 77] ; [7 1],[78.8757764 74.1242236] ; [4.1242236 3.8757764],0
s5,1,0.049111,3.871547,[ 22 126] ; [3 4],[ 23.87096774 124.12903226] ; [1.12903226 5.87096774],0
v3,1,0.057911,3.596228,[ 36 109] ; [4 3],[ 38.15789474 106.84210526] ; [1.84210526 5.15789474],0
a5,1,0.069814,3.287387,[84 69] ; [7 1],[86.47826087 66.52173913] ; [4.52173913 3.47826087],0
a3,1,0.161127,1.963621,[96 56] ; [7 1],[97.85 54.15] ; [5.15 2.85],0
a4,1,0.16465,1.930991,[56 97] ; [1 7],[54.16770186 98.83229814] ; [2.83229814 5.16770186],0
b5,1,0.177435,1.81898,[94 59] ; [3 5],[92.18012422 60.81987578] ; [4.81987578 3.18012422],0
p8,1,0.182602,1.776316,[59 93] ; [5 3],[60.8 91.2] ; [3.2 4.8],0
v2,1,0.20577,1.600937,[70 79] ; [5 2],[71.63461538 77.36538462] ; [3.36538462 3.63461538],0
s1,1,0.24611,1.345254,[  6 147] ; [1 7],[  6.65217391 146.34782609] ; [0.34782609 7.65217391],0
a7,1,0.301977,1.065441,[108  45] ; [7 1],[109.28571429  43.71428571] ; [5.71428571 2.28571429],0
u1,1,0.314633,1.011129,[  7 146] ; [1 7],[  7.60248447 145.39751553] ; [0.39751553 7.60248447],0
r1,1,0.317823,0.997884,[109  44] ; [7 1],[110.23602484  42.76397516] ; [5.76397516 2.23602484],0
p2,1,0.346711,0.885458,[110  42] ; [7 1],[111.15  40.85] ; [5.85 2.15],0
b1,1,0.363316,0.8264,[63 90] ; [2 6],[61.77018634 91.22981366] ; [3.22981366 4.77018634],0
p4,1,0.406524,0.688943,[54 98] ; [4 4],[55.1 96.9] ; [2.9 5.1],0
r4,1,0.448091,0.575477,[116  37] ; [7 1],[116.88819876  36.11180124] ; [6.11180124 1.88819876],0
d2,1,0.483132,0.491784,[57 96] ; [2 6],[56.06832298 96.93167702] ; [2.93167702 5.06832298],0
b4,1,0.493264,0.469398,[95 58] ; [4 4],[94.08074534 58.91925466] ; [4.91925466 3.08074534],0
d1,1,0.548656,0.359731,[74 79] ; [3 5],[73.17391304 79.82608696] ; [3.82608696 4.17391304],0
d4,1,0.565444,0.330366,[121  32] ; [7 1],[121.63975155  31.36024845] ; [6.36024845 1.63975155],0
v1,1,0.565819,0.329728,[52 97] ; [2 6],[51.24840764 97.75159236] ; [2.75159236 5.24840764],0
d3,1,0.624871,0.239081,[102  51] ; [6 2],[102.63354037  50.36645963] ; [5.36645963 2.63354037],0
p6,1,0.637352,0.222222,[ 31 116] ; [2 5],[ 31.5 115.5] ; [1.5 5.5],0
n2,1,0.75929,0.093889,[30 22] ; [2 1],[30.25454545 21.74545455] ; [1.74545455 1.25454545],0
a6,1,0.780859,0.077395,[88 65] ; [5 3],[88.37888199 64.62111801] ; [4.62111801 3.37888199],0
s4,1,0.803763,0.061743,[ 15 138] ; [1 7],[ 15.20496894 137.79503106] ; [0.79503106 7.20496894],0
n4,1,0.836704,0.042482,[63 90] ; [3 5],[62.72049689 90.27950311] ; [3.27950311 4.72049689],0
n6,1,0.836704,0.042482,[90 63] ; [5 3],[90.27950311 62.72049689] ; [4.72049689 3.27950311],0
b3,1,0.847335,0.037064,[29 56] ; [3 5],[29.24731183 55.75268817] ; [2.75268817 5.24731183],0
b2,1,0.847335,0.037064,[29 56] ; [3 5],[29.24731183 55.75268817] ; [2.75268817 5.24731183],0
s3,1,0.85834,0.031858,[ 33 115] ; [2 6],[ 33.20512821 114.79487179] ; [1.79487179 6.20512821],0
d5,1,0.879468,0.022996,[111  42] ; [6 2],[111.1863354  41.8136646] ; [5.8136646 2.1863354],0
v4,1,0.910552,0.012621,[130  21] ; [7 1],[130.10691824  20.89308176] ; [6.89308176 1.10691824],0
r2,1,0.942318,0.005235,[130  20] ; [6 1],[129.93630573  20.06369427] ; [6.06369427 0.93630573],0
