Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,53.961285,[ 2 37] ; [107  45],[22.2565445 16.7434555] ; [86.7434555 65.2565445],1
d4,1,0.0,27.021101,[20 19] ; [134  18],[31.44502618  7.55497382] ; [122.55497382  29.44502618],1
a4,1,1.6e-05,18.576236,[ 6 33] ; [82 70],[17.96858639 21.03141361] ; [70.03141361 81.96858639],1
p1,1,6.5e-05,15.964178,[ 7 32] ; [  3 149],[ 2.04188482 36.95811518] ; [  7.95811518 144.04188482],1
d3,1,0.001038,10.75859,[19 20] ; [115  37],[27.36125654 11.63874346] ; [106.63874346  45.36125654],0
d2,1,0.001568,9.997181,[11 28] ; [86 66],[19.80628272 19.19371728] ; [77.19371728 74.80628272],0
r3,1,0.004779,7.961262,[32  7] ; [143   7],[36.11111111  2.88888889] ; [138.88888889  11.11111111],0
u1,1,0.009611,6.705567,[ 2 37] ; [ 36 116],[ 7.7591623 31.2408377] ; [ 30.2408377 121.7591623],0
a5,1,0.010062,6.62391,[22 17] ; [117  35],[28.38219895 10.61780105] ; [110.61780105  41.38219895],0
a6,1,0.012474,6.242234,[18 21] ; [103  49],[24.70680628 14.29319372] ; [96.29319372 55.70680628],0
r2,1,0.017117,5.684344,[33  5] ; [143   5],[35.95698925  2.04301075] ; [140.04301075   7.95698925],0
v2,1,0.019609,5.446348,[15 23] ; [89 58],[21.36216216 16.63783784] ; [82.63783784 64.36216216],0
a3,1,0.024341,5.07019,[24 15] ; [120  32],[29.40314136  9.59685864] ; [114.59685864  37.40314136],0
s1,1,0.03725,4.338932,[ 5 34] ; [  6 143],[ 2.28191489 36.71808511] ; [  8.71808511 140.28191489],0
r4,1,0.041344,4.161856,[29 10] ; [133  19],[33.07853403  5.92146597] ; [128.92146597  23.07853403],0
a2,1,0.04695,3.947177,[ 5 34] ; [ 43 109],[ 9.80104712 29.19895288] ; [ 38.19895288 113.80104712],0
r1,1,0.047247,3.936568,[28 11] ; [128  22],[32.19047619  6.80952381] ; [123.80952381  26.19047619],0
b4,1,0.067321,3.347171,[17 22] ; [91 61],[22.05235602 16.94764398] ; [85.94764398 66.05235602],0
b1,1,0.079534,3.074405,[19 20] ; [ 51 101],[14.29319372 24.70680628] ; [55.70680628 96.29319372],0
s2,1,0.093955,2.805279,[24 15] ; [114  38],[28.17801047 10.82198953] ; [109.82198953  42.17801047],0
n5,1,0.124065,2.365234,[33  6] ; [109  41],[29.3015873  9.6984127] ; [112.6984127  37.3015873],0
a7,1,0.135091,2.232999,[24 15] ; [112  40],[27.76963351 11.23036649] ; [108.23036649  43.76963351],0
p8,1,0.136407,2.218035,[20 19] ; [56 91],[15.93548387 23.06451613] ; [60.06451613 86.93548387],0
