Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.6e-05,17.095222,[40 24] ; [135 248],[25.05592841 38.94407159] ; [149.94407159 233.05592841],1
s2,1,4.9e-05,16.501882,[53 15] ; [201 190],[37.62962963 30.37037037] ; [216.37037037 174.62962963],1
s6,1,0.001718,9.828718,[57  8] ; [268 122],[46.42857143 18.57142857] ; [278.57142857 111.42857143],0
u2,1,0.005661,7.65525,[ 5 13] ; [64 38],[10.35  7.65] ; [58.65 43.35],0
v3,1,0.005985,7.554893,[24 45] ; [200 179],[34.5 34.5] ; [189.5 189.5],0
s3,1,0.006523,7.399934,[50 19] ; [213 175],[39.70897155 29.29102845] ; [223.29102845 164.70897155],0
v2,1,0.023296,5.146297,[39 30] ; [268 113],[47.07333333 21.92666667] ; [259.92666667 121.07333333],0
s8,1,0.054962,3.683229,[43 27] ; [191 199],[35.60869565 34.39130435] ; [198.39130435 191.60869565],0
a8,1,0.067968,3.331418,[ 5 59] ; [ 59 293],[ 9.84615385 54.15384615] ; [ 54.15384615 297.84615385],0
a6,1,0.099226,2.717948,[41 29] ; [269 123],[46.96969697 23.03030303] ; [263.03030303 128.96969697],0
n4,1,0.100116,2.703693,[51 19] ; [319  73],[56.06060606 13.93939394] ; [313.93939394  78.06060606],0
d5,1,0.104204,2.64,[63  7] ; [322  70],[58.33333333 11.66666667] ; [326.66666667  65.33333333],0
p2,1,0.11205,2.525071,[56 14] ; [339  50],[60.23965142  9.76034858] ; [334.76034858  54.23965142],0
s7,1,0.117884,2.445207,[42 26] ; [192 181],[36.08163265 31.91836735] ; [197.91836735 175.08163265],0
u1,1,0.162903,1.947067,[18 52] ; [ 73 321],[13.72844828 56.27155172] ; [ 77.27155172 316.72844828],0
r4,1,0.18278,1.774876,[68  2] ; [366  28],[65.47413793  4.52586207] ; [368.52586207  25.47413793],0
n3,1,0.185634,1.751931,[9 7] ; [54 20],[11.2  4.8] ; [51.8 22.2],0
b3,1,0.198892,1.650495,[13 26] ; [112 141],[16.69520548 22.30479452] ; [108.30479452 144.69520548],0
b2,1,0.198892,1.650495,[13 26] ; [112 141],[16.69520548 22.30479452] ; [108.30479452 144.69520548],0
p11,1,0.217886,1.518241,[53 17] ; [323  71],[56.72413793 13.27586207] ; [319.27586207  74.72413793],0
n1,1,0.241461,1.372044,[ 5 11] ; [35 39],[7.11111111 8.88888889] ; [32.88888889 41.11111111],0
p12,1,0.241679,1.370776,[ 4 65] ; [ 40 348],[ 6.64332604 62.35667396] ; [ 37.35667396 350.64332604],0
r3,1,0.287281,1.132318,[68  1] ; [378  16],[66.46652268  2.53347732] ; [379.53347732  14.46652268],0
r1,1,0.323981,0.972806,[56 14] ; [332  60],[58.78787879 11.21212121] ; [329.21212121  62.78787879],0
b4,1,0.35729,0.847396,[38 32] ; [237 157],[41.48706897 28.51293103] ; [233.51293103 160.48706897],0
p10,1,0.396658,0.718434,[60  8] ; [326  61],[57.68791209 10.31208791] ; [328.31208791  58.68791209],0
s1,1,0.396871,0.717786,[ 1 68] ; [ 13 374],[ 2.11842105 66.88157895] ; [ 11.88157895 375.11842105],0
u4,1,0.449947,0.570786,[ 1 69] ; [ 12 382],[ 1.9612069 68.0387931] ; [ 11.0387931 382.9612069],0
p6,1,0.461266,0.54282,[32 36] ; [161 220],[29.22939866 38.77060134] ; [163.77060134 217.22939866],0
r2,1,0.597237,0.279183,[67  3] ; [379  12],[67.72234273  2.27765727] ; [378.27765727  12.72234273],0
d3,1,0.626401,0.236973,[51 19] ; [275 118],[49.28725702 20.71274298] ; [276.71274298 116.28725702],0
a4,1,0.649962,0.205948,[35 35] ; [184 207],[33.2537961 36.7462039] ; [185.7462039 205.2537961],0
a2,1,0.653203,0.201885,[16 54] ; [100 294],[17.5 52.5] ; [ 98.5 295.5],0
a5,1,0.668244,0.183664,[52 18] ; [302  92],[53.40517241 16.59482759] ; [300.59482759  93.40517241],0
n6,1,0.699213,0.149292,[61  9] ; [333  57],[59.95652174 10.04347826] ; [334.04347826  55.95652174],0
p9,1,0.716012,0.132346,[61  7] ; [343  46],[60.11378556  7.88621444] ; [343.88621444  45.11378556],0
a1,1,0.71622,0.132143,[ 3 67] ; [ 21 373],[ 3.62068966 66.37931034] ; [ 20.37931034 373.62068966],0
p7,1,0.74638,0.104598,[47 20] ; [259 121],[45.86577181 21.13422819] ; [260.13422819 119.86577181],0
p3,1,0.788503,0.071961,[40 30] ; [215 173],[38.97379913 31.02620087] ; [216.02620087 171.97379913],0
n2,1,0.798552,0.065138,[13  3] ; [58 16],[12.62222222  3.37777778] ; [58.37777778 15.62222222],0
u3,1,0.848665,0.036413,[11  7] ; [66 38],[11.36065574  6.63934426] ; [65.63934426 38.36065574],0
b1,1,0.851184,0.035197,[26 44] ; [151 243],[26.70258621 43.29741379] ; [150.29741379 243.70258621],0
d1,1,0.851184,0.035197,[44 26] ; [243 151],[43.29741379 26.70258621] ; [243.70258621 150.29741379],0
n5,1,0.873062,0.025526,[56 14] ; [316  75],[56.48590022 13.51409978] ; [315.51409978  75.48590022],0
a7,1,0.885699,0.020664,[50 20] ; [284 109],[50.49676026 19.50323974] ; [283.50323974 109.49676026],0
d2,1,0.91856,0.010455,[34 36] ; [193 199],[34.39393939 35.60606061] ; [192.60606061 199.39393939],0
d4,1,0.930495,0.007608,[59 11] ; [332  60],[59.24242424 10.75757576] ; [331.75757576  60.24242424],0
p8,1,0.933378,0.006988,[39 28] ; [222 163],[38.6880531 28.3119469] ; [222.3119469 162.6880531],0
p4,1,0.94597,0.004593,[46 24] ; [254 135],[45.75163399 24.24836601] ; [254.24836601 134.75163399],0
b5,1,0.956561,0.002967,[44 26] ; [249 145],[44.20258621 25.79741379] ; [248.79741379 145.20258621],0
p5,1,0.974238,0.001043,[10 60] ; [ 56 332],[10.08733624 59.91266376] ; [ 55.91266376 332.08733624],0
a3,1,0.983576,0.000424,[52 18] ; [290 101],[51.93058568 18.06941432] ; [290.06941432 100.93058568],0
p1,1,0.989522,0.000172,[ 7 63] ; [ 39 353],[ 6.96969697 63.03030303] ; [ 39.03030303 352.96969697],0
