Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.2e-05,17.311522,[19 11] ; [28 90],[ 9.52702703 20.47297297] ; [37.47297297 80.52702703],1
p3,1,0.000257,13.363604,[17 14] ; [ 28 100],[ 8.77358491 22.22641509] ; [36.22641509 91.77358491],1
p7,1,0.001381,10.231257,[19 12] ; [39 89],[11.3081761 19.6918239] ; [46.6918239 81.3081761],0
p1,1,0.001722,9.824467,[ 5 26] ; [  3 124],[ 1.56962025 29.43037975] ; [  6.43037975 120.56962025],0
a2,1,0.002228,9.351417,[11 20] ; [ 16 112],[ 5.26415094 25.73584906] ; [ 21.73584906 106.26415094],0
b3,1,0.003356,8.60292,[13  8] ; [18 49],[ 7.39772727 13.60227273] ; [23.60227273 43.39772727],0
b2,1,0.003356,8.60292,[13  8] ; [18 49],[ 7.39772727 13.60227273] ; [23.60227273 43.39772727],0
s8,1,0.007017,7.268545,[15 15] ; [32 96],[ 8.92405063 21.07594937] ; [38.07594937 89.92405063],0
p4,1,0.010811,6.496107,[17 14] ; [39 89],[10.91823899 20.08176101] ; [45.08176101 82.91823899],0
u1,1,0.01331,6.127395,[ 8 23] ; [ 12 116],[ 3.89937107 27.10062893] ; [ 16.10062893 111.89937107],0
r4,1,0.01637,5.762668,[29  2] ; [94 34],[23.98113208  7.01886792] ; [99.01886792 28.98113208],0
s5,1,0.017002,5.696132,[12 15] ; [27 95],[ 7.06711409 19.93288591] ; [31.93288591 90.06711409],0
s4,1,0.023369,5.14083,[12 19] ; [ 25 103],[ 7.21383648 23.78616352] ; [29.78616352 98.21383648],0
n4,1,0.037077,4.346892,[18 13] ; [48 80],[12.86792453 18.13207547] ; [53.13207547 74.86792453],0
a5,1,0.047973,3.910934,[23  8] ; [70 58],[18.13207547 12.86792453] ; [74.86792453 53.13207547],0
a4,1,0.078087,3.104282,[17 14] ; [48 80],[12.67295597 18.32704403] ; [52.32704403 75.67295597],0
s2,1,0.078087,3.104282,[17 14] ; [48 80],[12.67295597 18.32704403] ; [52.32704403 75.67295597],0
n6,1,0.079621,3.072613,[23  8] ; [73 55],[18.71698113 12.28301887] ; [77.28301887 50.71698113],0
s6,1,0.081745,3.029871,[19 11] ; [58 69],[14.7133758 15.2866242] ; [62.2866242 64.7133758],0
d2,1,0.11047,2.547484,[17 14] ; [50 78],[13.06289308 17.93710692] ; [53.93710692 74.06289308],0
p10,1,0.133767,2.248235,[21 10] ; [66 59],[17.28846154 13.71153846] ; [69.71153846 55.28846154],0
p9,1,0.171544,1.869394,[23  8] ; [75 48],[19.72727273 11.27272727] ; [78.27272727 44.72727273],0
u2,1,0.241461,1.372043,[7 2] ; [25 19],[5.43396226 3.56603774] ; [26.56603774 17.43396226],0
p2,1,0.251776,1.313425,[23  8] ; [81 47],[20.27672956 10.72327044] ; [83.72327044 44.27672956],0
