Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.010128,6.612245,[10  5] ; [ 5 16],[6.25 8.75] ; [ 8.75 12.25],0
p3,1,0.01796,5.6,[ 4 11] ; [14  7],[7.5 7.5] ; [10.5 10.5],0
p11,1,0.030127,4.702041,[9 6] ; [19  2],[11.66666667  3.33333333] ; [16.33333333  4.66666667],0
a5,1,0.059333,3.555918,[6 9] ; [15  6],[8.75 6.25] ; [12.25  8.75],0
p10,1,0.076134,3.145558,[8 7] ; [17  4],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
r3,1,0.078983,3.085714,[9 6] ; [18  3],[11.25  3.75] ; [15.75  5.25],0
p6,1,0.088961,2.893072,[ 3 12] ; [10 11],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
s7,1,0.10924,2.565182,[ 2 11] ; [ 8 11],[4.0625 8.9375] ; [ 5.9375 13.0625],0
b2,1,0.131587,2.273684,[ 1 11] ; [4 8],[2.5 9.5] ; [2.5 9.5],0
b3,1,0.131587,2.273684,[ 1 11] ; [4 8],[2.5 9.5] ; [2.5 9.5],0
p4,1,0.151494,2.057143,[8 7] ; [16  5],[10.  5.] ; [14.  7.],0
n1,1,0.164264,1.934524,[1 6] ; [3 3],[2.15384615 4.84615385] ; [1.84615385 4.15384615],0
s4,1,0.171857,1.866667,[ 2 13] ; [ 7 14],[ 3.75 11.25] ; [ 5.25 15.75],0
s8,1,0.245237,1.350234,[ 3 12] ; [ 8 13],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
a7,1,0.256839,1.285714,[ 5 10] ; [11 10],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
b1,1,0.265114,1.241854,[8 7] ; [15  6],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
s5,1,0.278272,1.17551,[ 2 13] ; [ 6 15],[ 3.33333333 11.66666667] ; [ 4.66666667 16.33333333],0
u3,1,0.279642,1.168831,[2 5] ; [6 5],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
s2,1,0.318725,0.994171,[ 4 11] ; [ 9 12],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
v2,1,0.324127,0.972222,[ 5 10] ; [10 10],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
s6,1,0.364346,0.822857,[7 8] ; [13  8],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
n4,1,0.391366,0.734694,[10  5] ; [11 10],[8.75 6.25] ; [12.25  8.75],0
v1,1,0.391366,0.734694,[ 5 10] ; [10 11],[6.25 8.75] ; [ 8.75 12.25],0
r4,1,0.391366,0.734694,[ 5 10] ; [10 11],[6.25 8.75] ; [ 8.75 12.25],0
p5,1,0.433627,0.613089,[ 2 13] ; [ 5 16],[ 2.91666667 12.08333333] ; [ 4.08333333 16.91666667],0
d1,1,0.433627,0.613089,[ 2 13] ; [ 5 16],[ 2.91666667 12.08333333] ; [ 4.08333333 16.91666667],0
d4,1,0.473289,0.514286,[9 6] ; [15  6],[10.  5.] ; [14.  7.],0
p9,1,0.529368,0.395604,[10  5] ; [16  5],[10.83333333  4.16666667] ; [15.16666667  5.83333333],0
a6,1,0.534772,0.385316,[7 8] ; [12  9],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
n5,1,0.563341,0.333952,[10  5] ; [12  9],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
d5,1,0.607052,0.26449,[8 7] ; [13  8],[8.75 6.25] ; [12.25  8.75],0
s3,1,0.607052,0.26449,[7 8] ; [ 8 13],[6.25 8.75] ; [ 8.75 12.25],0
b5,1,0.650147,0.205714,[9 6] ; [11 10],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
r1,1,0.650147,0.205714,[6 9] ; [10 11],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
d2,1,0.668576,0.183273,[ 4 11] ; [ 7 14],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
a4,1,0.668576,0.183273,[ 4 11] ; [ 7 14],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
v3,1,0.668576,0.183273,[ 4 11] ; [ 7 14],[ 4.58333333 10.41666667] ; [ 6.41666667 14.58333333],0
n2,1,0.724939,0.12381,[4 3] ; [4 2],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
d3,1,0.735317,0.114286,[7 8] ; [11 10],[7.5 7.5] ; [10.5 10.5],0
a3,1,0.735317,0.114286,[8 7] ; [10 11],[7.5 7.5] ; [10.5 10.5],0
v4,1,0.759766,0.093506,[10  5] ; [15  6],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
a1,1,0.759766,0.093506,[ 1 14] ; [ 2 19],[ 1.25 13.75] ; [ 1.75 19.25],0
u1,1,0.805701,0.060504,[ 1 14] ; [ 1 20],[ 0.83333333 14.16666667] ; [ 1.16666667 19.83333333],0
n3,1,0.852876,0.034392,[5 2] ; [4 2],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
a8,1,0.929939,0.00773,[ 2 11] ; [ 3 18],[ 1.91176471 11.08823529] ; [ 3.08823529 17.91176471],0
p2,1,0.943253,0.005067,[12  3] ; [17  4],[12.08333333  2.91666667] ; [16.91666667  4.08333333],0
u2,1,0.95218,0.003596,[5 2] ; [8 3],[5.05555556 1.94444444] ; [7.94444444 3.05555556],0
n6,1,0.954999,0.003184,[8 7] ; [11 10],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
