Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,40.095035,[139  23] ; [10 20],[125.71875  36.28125] ; [23.28125  6.71875],1
d1,1,0.0,38.692058,[105  57] ; [ 1 29],[89.4375 72.5625] ; [16.5625 13.4375],1
d3,1,5e-06,20.930166,[126  36] ; [11 19],[115.59375  46.40625] ; [21.40625  8.59375],1
d2,1,0.003628,8.461039,[73 89] ; [ 5 25],[65.8125 96.1875] ; [12.1875 17.8125],0
a4,1,0.004351,8.130999,[72 90] ; [ 5 25],[64.96875 97.03125] ; [12.03125 17.96875],0
n2,1,0.01855,5.543434,[24 20] ; [11  1],[27.5 16.5] ; [7.5 4.5],0
a7,1,0.047669,3.921615,[125  37] ; [18 12],[120.65625  41.34375] ; [22.34375  7.65625],0
a3,1,0.06903,3.305925,[109  53] ; [15 15],[104.625  57.375] ; [19.375 10.625],0
p1,1,0.087198,2.92536,[  8 151] ; [ 4 26],[ 10.0952381 148.9047619] ; [ 1.9047619 28.0952381],0
a2,1,0.096345,2.765026,[ 31 131] ; [ 2 28],[ 27.84375 134.15625] ; [ 5.15625 24.84375],0
s5,1,0.125195,2.351093,[ 43 110] ; [ 4 24],[ 39.72928177 113.27071823] ; [ 7.27071823 20.72928177],0
p9,1,0.17503,1.839325,[115  44] ; [18 12],[111.88888889  47.11111111] ; [21.11111111  8.88888889],0
b2,1,0.184477,1.761187,[26 58] ; [ 3 16],[23.65048544 60.34951456] ; [ 5.34951456 13.65048544],0
b3,1,0.184477,1.761187,[26 58] ; [ 3 16],[23.65048544 60.34951456] ; [ 5.34951456 13.65048544],0
v1,1,0.195184,1.678047,[61 96] ; [15 14],[64.15053763 92.84946237] ; [11.84946237 17.15053763],0
v2,1,0.229279,1.445328,[86 65] ; [13 16],[83.05 67.95] ; [15.95 13.05],0
r4,1,0.246529,1.342865,[146  16] ; [29  1],[147.65625  14.34375] ; [27.34375  2.65625],0
n3,1,0.253172,1.305717,[33 11] ; [10  1],[34.4  9.6] ; [8.6 2.4],0
p10,1,0.260963,1.263643,[107  52] ; [17 13],[104.31746032  54.68253968] ; [19.68253968 10.31746032],0
s4,1,0.26353,1.250117,[ 29 133] ; [ 8 22],[ 31.21875 130.78125] ; [ 5.78125 24.21875],0
u2,1,0.265558,1.239551,[32 19] ; [7 8],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
p3,1,0.312896,1.018411,[64 97] ; [ 9 21],[61.53403141 99.46596859] ; [11.46596859 18.53403141],0
v4,1,0.334724,0.930535,[147  14] ; [28  1],[148.28947368  12.71052632] ; [26.71052632  2.28947368],0
p12,1,0.348807,0.877794,[  5 154] ; [ 2 28],[  5.88888889 153.11111111] ; [ 1.11111111 28.88888889],0
b4,1,0.358041,0.844753,[106  56] ; [17 13],[103.78125  58.21875] ; [19.21875 10.78125],0
a5,1,0.401635,0.703425,[115  47] ; [19 11],[113.0625  48.9375] ; [20.9375  9.0625],0
p11,1,0.435099,0.609174,[107  55] ; [22  8],[108.84375  53.15625] ; [20.15625  9.84375],0
p2,1,0.466584,0.530055,[122  38] ; [21  9],[120.42105263  39.57894737] ; [22.57894737  7.42105263],0
b1,1,0.480071,0.498701,[ 54 108] ; [12 18],[ 55.6875 106.3125] ; [10.3125 19.6875],0
a8,1,0.505082,0.444243,[ 10 137] ; [ 3 26],[ 10.85795455 136.14204545] ; [ 2.14204545 26.85795455],0
a6,1,0.523123,0.407732,[107  55] ; [18 12],[105.46875  56.53125] ; [19.53125 10.46875],0
b5,1,0.54535,0.365714,[93 69] ; [19 11],[94.5 67.5] ; [17.5 12.5],0
s2,1,0.566741,0.328165,[65 97] ; [10 19],[63.61256545 98.38743455] ; [11.38743455 17.61256545],0
s1,1,0.576619,0.311732,[  7 155] ; [ 2 28],[  7.59375 154.40625] ; [ 1.40625 28.59375],0
s3,1,0.644967,0.212304,[78 82] ; [16 14],[79.15789474 80.84210526] ; [14.84210526 15.15789474],0
n1,1,0.647917,0.208537,[12 33] ; [4 8],[12.63157895 32.36842105] ; [3.36842105 8.63157895],0
n6,1,0.665886,0.186452,[98 63] ; [17 13],[96.93717277 64.06282723] ; [18.06282723 11.93717277],0
p7,1,0.727731,0.121205,[85 74] ; [15 15],[84.12698413 74.87301587] ; [15.87301587 14.12698413],0
s6,1,0.764875,0.089452,[89 71] ; [17 12],[89.73544974 70.26455026] ; [16.26455026 12.73544974],0
p5,1,0.794322,0.067966,[  7 153] ; [ 1 29],[  6.73684211 153.26315789] ; [ 1.26315789 28.73684211],0
v3,1,0.797095,0.066105,[ 43 107] ; [ 9 20],[ 43.57541899 106.42458101] ; [ 8.42458101 20.57541899],0
p6,1,0.81812,0.052883,[ 40 118] ; [ 7 23],[ 39.5 118.5] ; [ 7.5 22.5],0
r2,1,0.822615,0.050258,[151   9] ; [28  2],[150.73684211   9.26315789] ; [28.26315789  1.73684211],0
u3,1,0.847223,0.037119,[32 19] ; [9 6],[31.68181818 19.31818182] ; [9.31818182 5.68181818],0
p8,1,0.869024,0.027191,[67 94] ; [12 18],[66.59162304 94.40837696] ; [12.40837696 17.59162304],0
s7,1,0.895166,0.017363,[54 97] ; [10 19],[53.68888889 97.31111111] ; [10.31111111 18.68888889],0
n4,1,0.939943,0.005676,[69 93] ; [13 17],[69.1875 92.8125] ; [12.8125 17.1875],0
a1,1,0.943082,0.005098,[  5 157] ; [ 1 29],[  5.0625 156.9375] ; [ 0.9375 29.0625],0
s8,1,0.964674,0.001962,[ 53 108] ; [10 20],[ 53.10471204 107.89528796] ; [ 9.89528796 20.10471204],0
p4,1,0.98827,0.000216,[70 91] ; [13 17],[69.96335079 91.03664921] ; [13.03664921 16.96335079],0
