Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000532,12.0,[18  6] ; [ 6 18],[12. 12.] ; [12. 12.],1
p5,1,0.037985,4.305709,[ 9 15] ; [ 3 22],[ 5.87755102 18.12244898] ; [ 6.12244898 18.87755102],0
r1,1,0.055841,3.656791,[21  3] ; [16  9],[18.12244898  5.87755102] ; [18.87755102  6.12244898],0
p8,1,0.066655,3.363522,[17  6] ; [12 13],[13.89583333  9.10416667] ; [15.10416667  9.89583333],0
n6,1,0.072345,3.228999,[19  5] ; [24  1],[21.06122449  2.93877551] ; [21.93877551  3.06122449],0
p11,1,0.075524,3.158685,[22  2] ; [18  7],[19.59183673  4.40816327] ; [20.40816327  4.59183673],0
r3,1,0.090991,2.856751,[23  1] ; [20  5],[21.06122449  2.93877551] ; [21.93877551  3.06122449],0
a5,1,0.09502,2.787204,[18  6] ; [13 12],[15.18367347  8.81632653] ; [15.81632653  9.18367347],0
p12,1,0.107511,2.590427,[ 6 18] ; [ 2 23],[ 3.91836735 20.08163265] ; [ 4.08163265 20.91836735],0
d2,1,0.145602,2.117729,[ 5 19] ; [10 15],[ 7.34693878 16.65306122] ; [ 7.65306122 17.34693878],0
v2,1,0.145729,2.116402,[13 11] ; [ 8 16],[10.5 13.5] ; [10.5 13.5],0
u3,1,0.183902,1.765803,[8 3] ; [7 8],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
a8,1,0.186766,1.742948,[ 1 22] ; [ 4 21],[ 2.39583333 20.60416667] ; [ 2.60416667 22.39583333],0
a4,1,0.240073,1.380167,[ 6 18] ; [ 3 22],[ 4.40816327 19.59183673] ; [ 4.59183673 20.40816327],0
p6,1,0.262676,1.254598,[11 12] ; [ 8 17],[ 9.10416667 13.89583333] ; [ 9.89583333 15.10416667],0
p7,1,0.263011,1.252841,[18  6] ; [15 10],[16.16326531  7.83673469] ; [16.83673469  8.16326531],0
p9,1,0.26762,1.228905,[21  2] ; [20  5],[19.64583333  3.35416667] ; [21.35416667  3.64583333],0
n5,1,0.269491,1.219334,[17  7] ; [21  4],[18.6122449  5.3877551] ; [19.3877551  5.6122449],0
a2,1,0.277339,1.180083,[ 3 21] ; [ 1 24],[ 1.95918367 22.04081633] ; [ 2.04081633 22.95918367],0
a6,1,0.296385,1.090391,[16  8] ; [13 12],[14.20408163  9.79591837] ; [14.79591837 10.20408163],0
r2,1,0.316771,1.002231,[23  1] ; [22  3],[22.04081633  1.95918367] ; [22.95918367  2.04081633],0
