Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.4e-05,16.289476,[ 2 30] ; [7 4],[ 6.69767442 25.30232558] ; [2.30232558 8.69767442],1
v2,1,0.000161,14.238123,[ 4 27] ; [8 3],[ 8.85714286 22.14285714] ; [3.14285714 7.85714286],1
p6,1,0.000722,11.430895,[ 1 29] ; [5 6],[ 4.3902439 25.6097561] ; [1.6097561 9.3902439],1
s3,1,0.013079,6.158358,[ 7 24] ; [7 4],[10.33333333 20.66666667] ; [3.66666667 7.33333333],0
r3,1,0.014023,6.035191,[12 19] ; [9 2],[15.5 15.5] ; [5.5 5.5],0
s5,1,0.019585,5.448526,[ 1 30] ; [3 8],[ 2.95238095 28.04761905] ; [1.04761905 9.95238095],0
p4,1,0.041821,4.142446,[ 7 25] ; [6 5],[ 9.6744186 22.3255814] ; [3.3255814 7.6744186],0
p11,1,0.043309,4.0833,[12 20] ; [8 3],[14.88372093 17.11627907] ; [5.11627907 5.88372093],0
s7,1,0.06009,3.534897,[ 4 27] ; [4 6],[ 6.04878049 24.95121951] ; [1.95121951 8.04878049],0
s8,1,0.060605,3.520754,[ 2 30] ; [3 8],[ 3.72093023 28.27906977] ; [1.27906977 9.72093023],0
p2,1,0.082366,3.017595,[ 8 23] ; [6 5],[10.33333333 20.66666667] ; [3.66666667 7.33333333],0
v3,1,0.101066,2.688636,[ 5 27] ; [4 6],[ 6.85714286 25.14285714] ; [2.14285714 7.85714286],0
n4,1,0.112724,2.515605,[23  9] ; [5 6],[20.8372093 11.1627907] ; [7.1627907 3.8372093],0
p3,1,0.132562,2.262242,[ 7 25] ; [5 6],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
u3,1,0.160711,1.967525,[ 1 15] ; [1 2],[ 1.68421053 14.31578947] ; [0.31578947 2.68421053],0
a3,1,0.190401,1.714514,[16 16] ; [8 3],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
d5,1,0.190401,1.714514,[16 16] ; [8 3],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
b5,1,0.190401,1.714514,[16 16] ; [8 3],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
p8,1,0.211522,1.560979,[ 4 27] ; [3 7],[ 5.29268293 25.70731707] ; [1.70731707 8.29268293],0
d1,1,0.237862,1.393222,[11 21] ; [6 5],[12.65116279 19.34883721] ; [4.34883721 6.65116279],0
b4,1,0.238187,1.39129,[20 12] ; [9 2],[21.58139535 10.41860465] ; [7.41860465 3.58139535],0
s4,1,0.252252,1.310786,[ 4 28] ; [3 8],[ 5.20930233 26.79069767] ; [1.79069767 9.20930233],0
d3,1,0.255014,1.295627,[14 18] ; [7 4],[15.62790698 16.37209302] ; [5.37209302 5.62790698],0
v1,1,0.255166,1.294795,[ 6 25] ; [4 7],[ 7.38095238 23.61904762] ; [2.61904762 8.38095238],0
n6,1,0.292407,1.108504,[14 17] ; [7 4],[15.5 15.5] ; [5.5 5.5],0
d4,1,0.334932,0.929736,[18 14] ; [8 3],[19.34883721 12.65116279] ; [6.65116279 4.34883721],0
p9,1,0.335467,0.927677,[14 16] ; [7 4],[15.36585366 14.63414634] ; [5.63414634 5.36585366],0
a5,1,0.337364,0.920424,[15 17] ; [7 4],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
p10,1,0.361874,0.831378,[12 19] ; [6 5],[13.28571429 17.71428571] ; [4.71428571 6.28571429],0
u2,1,0.363823,0.824653,[ 2 14] ; [1 2],[ 2.52631579 13.47368421] ; [0.47368421 2.52631579],0
p12,1,0.417629,0.656978,[ 1 31] ; [ 1 10],[ 1.48837209 30.51162791] ; [ 0.51162791 10.48837209],0
r4,1,0.431841,0.617868,[ 3 29] ; [2 9],[ 3.72093023 28.27906977] ; [1.27906977 9.72093023],0
a2,1,0.431841,0.617868,[ 3 29] ; [2 9],[ 3.72093023 28.27906977] ; [1.27906977 9.72093023],0
p1,1,0.454107,0.560381,[ 6 26] ; [ 1 10],[ 5.20930233 26.79069767] ; [1.79069767 9.20930233],0
a4,1,0.505485,0.443402,[ 8 23] ; [4 7],[ 8.85714286 22.14285714] ; [3.14285714 7.85714286],0
a7,1,0.544784,0.366745,[15 17] ; [4 7],[14.13953488 17.86046512] ; [4.86046512 6.13953488],0
b2,1,0.55791,0.343336,[ 9 13] ; [2 5],[ 8.34482759 13.65517241] ; [2.65517241 4.34482759],0
b3,1,0.55791,0.343336,[ 9 13] ; [2 5],[ 8.34482759 13.65517241] ; [2.65517241 4.34482759],0
d2,1,0.592379,0.286644,[14 17] ; [6 5],[14.76190476 16.23809524] ; [5.23809524 5.76190476],0
n5,1,0.607777,0.263425,[23  9] ; [7 4],[22.3255814  9.6744186] ; [7.6744186 3.3255814],0
p7,1,0.607777,0.263425,[ 9 23] ; [4 7],[ 9.6744186 22.3255814] ; [3.3255814 7.6744186],0
a8,1,0.638959,0.220106,[ 4 28] ; [2 9],[ 4.46511628 27.53488372] ; [1.53488372 9.46511628],0
b1,1,0.660631,0.192758,[17 15] ; [5 6],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
n2,1,0.848936,0.036281,[6 8] ; [1 1],[6.125 7.875] ; [0.875 1.125],0
r2,1,0.873237,0.025455,[14 15] ; [5 6],[13.775 15.225] ; [5.225 5.775],0
a6,1,0.93506,0.006639,[17 15] ; [6 5],[17.11627907 14.88372093] ; [5.88372093 5.11627907],0
n1,1,1.0,0.0,[7 7] ; [1 1],[7. 7.] ; [1. 1.],0
