Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5.4e-05,16.309656,[83 32] ; [18 29],[71.69753086 43.30246914] ; [29.30246914 17.69753086],1
a6,1,0.000374,12.660299,[89 26] ; [23 24],[79.50617284 35.49382716] ; [32.49382716 14.50617284],1
a2,1,0.000465,12.251272,[41 74] ; [ 4 43],[31.94444444 83.05555556] ; [13.05555556 33.94444444],1
u1,1,0.010554,6.538842,[34 81] ; [ 5 42],[27.68518519 87.31481481] ; [11.31481481 35.68518519],0
v4,1,0.020022,5.409991,[110   5] ; [40  7],[106.48148148   8.51851852] ; [43.51851852  3.48148148],0
v2,1,0.023685,5.117541,[66 42] ; [19 27],[59.61038961 48.38961039] ; [25.38961039 20.61038961],0
r3,1,0.025803,4.969162,[111   4] ; [41  6],[107.90123457   7.09876543] ; [44.09876543  2.90123457],0
r4,1,0.02717,4.879989,[105  10] ; [37 10],[100.80246914  14.19753086] ; [41.19753086  5.80246914],0
p10,1,0.032732,4.559733,[91 23] ; [30 17],[85.67701863 28.32298137] ; [35.32298137 11.67701863],0
s1,1,0.034821,4.453914,[  3 110] ; [ 5 42],[  5.65 107.35] ; [ 2.35 44.65],0
d1,1,0.046695,3.956355,[71 44] ; [21 26],[65.30864198 49.69135802] ; [26.69135802 20.30864198],0
p2,1,0.057821,3.598811,[94 21] ; [32 15],[89.44444444 25.55555556] ; [36.55555556 10.44444444],0
r2,1,0.070992,3.259923,[111   4] ; [42  5],[108.61111111   6.38888889] ; [44.38888889  2.61111111],0
p5,1,0.079241,3.080406,[  7 105] ; [ 7 40],[  9.86163522 102.13836478] ; [ 4.13836478 42.86163522],0
r1,1,0.087174,2.925794,[87 26] ; [30 17],[82.63125 30.36875] ; [34.36875 12.63125],0
p4,1,0.092141,2.836574,[84 31] ; [28 19],[79.50617284 35.49382716] ; [32.49382716 14.50617284],0
s5,1,0.095866,2.773005,[33 77] ; [19 24],[37.38562092 72.61437908] ; [14.61437908 28.38562092],0
b1,1,0.10869,2.573167,[55 60] ; [29 18],[59.62962963 55.37037037] ; [24.37037037 22.62962963],0
p1,1,0.171213,1.87229,[  9 106] ; [ 7 40],[ 11.35802469 103.64197531] ; [ 4.64197531 42.35802469],0
a1,1,0.179726,1.799892,[  4 111] ; [ 4 43],[  5.67901235 109.32098765] ; [ 2.32098765 44.67901235],0
p9,1,0.194618,1.682307,[95 19] ; [35 12],[92.04968944 21.95031056] ; [37.95031056  9.04968944],0
u2,1,0.19986,1.643397,[16 11] ; [4 7],[14.21052632 12.78947368] ; [5.78947368 5.21052632],0
s7,1,0.202834,1.621852,[54 54] ; [27 17],[57.55263158 50.44736842] ; [23.44736842 20.55263158],0
v3,1,0.266601,1.234153,[41 67] ; [21 23],[44.05263158 63.94736842] ; [17.94736842 26.05263158],0
p7,1,0.306023,1.047763,[64 51] ; [22 25],[61.04938272 53.95061728] ; [24.95061728 22.04938272],0
b5,1,0.316255,1.004373,[78 37] ; [28 19],[75.24691358 39.75308642] ; [30.75308642 16.24691358],0
n1,1,0.393393,0.728428,[ 9 14] ; [7 6],[10.22222222 12.77777778] ; [5.77777778 7.22222222],0
d5,1,0.413753,0.667992,[101  14] ; [39  8],[99.38271605 15.61728395] ; [40.61728395  6.38271605],0
p6,1,0.445702,0.581559,[36 78] ; [12 35],[33.98757764 80.01242236] ; [14.01242236 32.98757764],0
n2,1,0.458152,0.550406,[17  6] ; [11  2],[17.88888889  5.11111111] ; [10.11111111  2.88888889],0
n6,1,0.522137,0.409669,[95 20] ; [36 10],[93.57142857 21.42857143] ; [37.42857143  8.57142857],0
s8,1,0.526332,0.401468,[50 65] ; [23 24],[51.82098765 63.17901235] ; [21.17901235 25.82098765],0
b2,1,0.537674,0.379867,[27 40] ; [19 22],[28.53703704 38.46296296] ; [17.46296296 23.53703704],0
b3,1,0.537674,0.379867,[27 40] ; [19 22],[28.53703704 38.46296296] ; [17.46296296 23.53703704],0
d4,1,0.539914,0.375699,[93 22] ; [36 11],[91.57407407 23.42592593] ; [37.42592593  9.57407407],0
p11,1,0.575574,0.313445,[81 34] ; [31 16],[79.50617284 35.49382716] ; [32.49382716 14.50617284],0
s4,1,0.620395,0.245313,[18 95] ; [ 9 38],[19.06875 93.93125] ; [ 7.93125 39.06875],0
p12,1,0.644168,0.213332,[  7 108] ; [ 2 45],[  6.38888889 108.61111111] ; [ 2.61111111 44.38888889],0
u3,1,0.747972,0.103243,[20  9] ; [7 4],[19.575  9.425] ; [7.425 3.575],0
d2,1,0.802887,0.062307,[60 55] ; [25 21],[60.71428571 54.28571429] ; [24.28571429 21.71428571],0
a3,1,0.808105,0.058986,[86 29] ; [36 11],[86.60493827 28.39506173] ; [35.39506173 11.60493827],0
b4,1,0.843459,0.038995,[68 47] ; [27 20],[67.4382716 47.5617284] ; [27.5617284 19.4382716],0
a5,1,0.852166,0.034728,[84 31] ; [35 12],[84.47530864 30.52469136] ; [34.52469136 12.47530864],0
n4,1,0.853062,0.034304,[91 24] ; [37  9],[91.42857143 23.57142857] ; [36.57142857  9.42857143],0
v1,1,0.873075,0.025521,[61 48] ; [24 20],[60.55555556 48.44444444] ; [24.44444444 19.55555556],0
s2,1,0.87834,0.023431,[64 49] ; [26 21],[63.5625 49.4375] ; [26.4375 20.5625],0
s6,1,0.908717,0.013146,[79 35] ; [33 14],[79.30434783 34.69565217] ; [32.69565217 14.30434783],0
s3,1,0.910712,0.012576,[66 47] ; [27 20],[65.68125 47.31875] ; [27.31875 19.68125],0
a8,1,0.918103,0.010573,[11 91] ; [ 5 39],[11.17808219 90.82191781] ; [ 4.82191781 39.17808219],0
n5,1,0.930802,0.00754,[81 33] ; [33 13],[81.225 32.775] ; [32.775 13.225],0
a4,1,0.942065,0.005282,[57 58] ; [23 24],[56.79012346 58.20987654] ; [23.20987654 23.79012346],0
