Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,32.844361,[ 19 242] ; [19 35],[ 31.48571429 229.51428571] ; [ 6.51428571 47.48571429],1
p12,1,0.0,32.75877,[ 17 245] ; [18 36],[ 29.01898734 232.98101266] ; [ 5.98101266 48.01898734],1
p8,1,9e-06,19.794422,[135 123] ; [46  8],[149.67307692 108.32692308] ; [31.32692308 22.67307692],1
p4,1,3.5e-05,17.100396,[160 102] ; [48  5],[173.0031746  88.9968254] ; [34.9968254 18.0031746],1
p6,1,4.8e-05,16.543496,[105 155] ; [37 15],[118.33333333 141.66666667] ; [23.66666667 28.33333333],1
p3,1,6e-05,16.10284,[134 128] ; [43 10],[147.21904762 114.78095238] ; [29.78095238 23.21904762],1
a1,1,0.000588,11.812472,[ 11 252] ; [ 9 45],[ 16.59305994 246.40694006] ; [ 3.40694006 50.59305994],1
b5,1,0.001076,10.692835,[161 102] ; [20 34],[150.16719243 112.83280757] ; [30.83280757 23.16719243],0
s5,1,0.001946,9.6,[115 135] ; [35 15],[125. 125.] ; [25. 25.],0
n5,1,0.00344,8.557994,[208  53] ; [52  2],[215.42857143  45.57142857] ; [44.57142857  9.42857143],0
v3,1,0.010252,6.590559,[104 149] ; [32 21],[112.44444444 140.55555556] ; [23.55555556 29.44444444],0
n4,1,0.011036,6.459522,[216  45] ; [52  2],[222.05714286  38.94285714] ; [45.94285714  8.05714286],0
s8,1,0.013229,6.138218,[184  78] ; [46  7],[191.3015873  70.6984127] ; [38.6984127 14.3015873],0
v1,1,0.016008,5.801979,[138 119] ; [38 15],[145.90967742 111.09032258] ; [30.09032258 22.90967742],0
s1,1,0.019227,5.480777,[ 12 248] ; [ 7 47],[ 15.73248408 244.26751592] ; [ 3.26751592 50.73248408],0
p7,1,0.02957,4.734118,[176  78] ; [43  8],[182.38032787  71.61967213] ; [36.61967213 14.38032787],0
a2,1,0.031783,4.610159,[ 82 181] ; [ 9 45],[ 75.49842271 187.50157729] ; [15.50157729 38.49842271],0
s6,1,0.053743,3.720649,[232  26] ; [52  1],[235.60128617  22.39871383] ; [48.39871383  4.60128617],0
s4,1,0.05766,3.60343,[ 71 191] ; [ 8 46],[ 65.5 196.5] ; [13.5 40.5],0
u4,1,0.085376,2.959477,[ 10 253] ; [ 5 49],[ 12.44479495 250.55520505] ; [ 2.55520505 51.44479495],0
n6,1,0.127458,2.323197,[226  34] ; [50  3],[229.26517572  30.73482428] ; [46.73482428  6.26517572],0
a6,1,0.13025,2.289528,[176  85] ; [30 23],[171.22929936  89.77070064] ; [34.77070064 18.22929936],0
d1,1,0.150792,2.064225,[168  95] ; [40 14],[172.56782334  90.43217666] ; [35.43217666 18.56782334],0
u3,1,0.233534,1.419207,[36 12] ; [5 4],[34.52631579 13.47368421] ; [6.47368421 2.52631579],0
a5,1,0.239906,1.381146,[209  54] ; [39 15],[205.75394322  57.24605678] ; [42.24605678 11.75394322],0
n1,1,0.252172,1.311233,[27 27] ; [10  5],[28.95652174 25.04347826] ; [8.04347826 6.95652174],0
d3,1,0.262594,1.255028,[188  74] ; [42 11],[191.3015873  70.6984127] ; [38.6984127 14.3015873],0
v2,1,0.342534,0.900925,[158  98] ; [29 24],[154.92556634 101.07443366] ; [32.07443366 20.92556634],0
u1,1,0.357431,0.846899,[ 64 199] ; [10 44],[ 61.39432177 201.60567823] ; [12.60567823 41.39432177],0
r1,1,0.35909,0.841075,[220  42] ; [48  6],[222.20253165  39.79746835] ; [45.79746835  8.20253165],0
n3,1,0.362772,0.828274,[39 15] ; [9 6],[37.56521739 16.43478261] ; [10.43478261  4.56521739],0
b1,1,0.365214,0.819883,[115 148] ; [20 34],[112.00315457 150.99684543] ; [22.99684543 31.00315457],0
p9,1,0.378326,0.776133,[231  30] ; [50  4],[232.82857143  28.17142857] ; [48.17142857  5.82857143],0
s2,1,0.3792,0.773293,[235  28] ; [46  8],[233.13249211  29.86750789] ; [47.86750789  6.13249211],0
r3,1,0.461519,0.542207,[252   9] ; [51  3],[251.05714286   9.94285714] ; [51.94285714  2.05714286],0
p11,1,0.478957,0.501238,[208  55] ; [45  9],[209.9022082  53.0977918] ; [43.0977918 10.9022082],0
b2,1,0.487772,0.481437,[ 68 109] ; [19 24],[ 69.99545455 107.00454545] ; [17.00454545 25.99545455],0
b3,1,0.487772,0.481437,[ 68 109] ; [19 24],[ 69.99545455 107.00454545] ; [17.00454545 25.99545455],0
u2,1,0.494678,0.466335,[31 15] ; [5 4],[30.10909091 15.89090909] ; [5.89090909 3.10909091],0
p2,1,0.511996,0.429985,[224  38] ; [48  6],[225.51898734  36.48101266] ; [46.48101266  7.51898734],0
a4,1,0.533246,0.388203,[134 129] ; [25 29],[131.9148265 131.0851735] ; [27.0851735 26.9148265],0
a8,1,0.573227,0.317312,[ 47 195] ; [ 8 42],[ 45.58219178 196.41780822] ; [ 9.41780822 40.58219178],0
v4,1,0.623461,0.241033,[252   8] ; [53  1],[252.5477707   7.4522293] ; [52.4522293  1.5477707],0
r4,1,0.626142,0.23733,[238  25] ; [50  4],[238.94006309  24.05993691] ; [49.05993691  4.94006309],0
p10,1,0.644555,0.212835,[220  41] ; [46  7],[221.10191083  39.89808917] ; [44.89808917  8.10191083],0
n2,1,0.740466,0.109718,[46  9] ; [12  3],[45.57142857  9.42857143] ; [12.42857143  2.57142857],0
d5,1,0.752798,0.099195,[217  44] ; [45  8],[217.77707006  43.22292994] ; [44.22292994  8.77707006],0
d4,1,0.797894,0.065574,[223  38] ; [46  7],[223.5955414  37.4044586] ; [45.4044586  7.5955414],0
b4,1,0.801512,0.063198,[151 112] ; [30 24],[150.16719243 112.83280757] ; [30.83280757 23.16719243],0
a3,1,0.823582,0.049702,[215  47] ; [45  9],[215.56962025  46.43037975] ; [44.43037975  9.56962025],0
r2,1,0.847346,0.037058,[253   6] ; [52  1],[253.18910256   5.81089744] ; [51.81089744  1.18910256],0
d2,1,0.866275,0.028356,[145 117] ; [30 23],[145.55555556 116.44444444] ; [29.44444444 23.55555556],0
a7,1,0.96512,0.001912,[181  82] ; [37 17],[180.86435331  82.13564669] ; [37.13564669 16.86435331],0
