Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6.8e-05,15.861753,[109  16] ; [22 16],[100.4601227  24.5398773] ; [30.5398773  7.4601227],1
p4,1,0.000168,14.153559,[73 51] ; [11 32],[62.37125749 61.62874251] ; [21.62874251 21.37125749],1
p10,1,0.000376,12.648084,[99 24] ; [22 20],[90.2 32.8] ; [30.8 11.2],1
p7,1,0.000384,12.607096,[73 50] ; [12 31],[62.98192771 60.01807229] ; [22.01807229 20.98192771],1
p3,1,0.003558,8.496782,[64 61] ; [11 32],[55.80357143 69.19642857] ; [19.19642857 23.80357143],0
p8,1,0.004756,7.969997,[62 61] ; [11 32],[54.09036145 68.90963855] ; [18.90963855 24.09036145],0
v4,1,0.004897,7.91714,[114  11] ; [32 11],[108.63095238  16.36904762] ; [37.36904762  5.63095238],0
p11,1,0.00674,7.3409,[99 26] ; [25 18],[92.26190476 32.73809524] ; [31.73809524 11.26190476],0
s3,1,0.013656,6.082128,[61 62] ; [12 31],[54.09036145 68.90963855] ; [18.90963855 24.09036145],0
r3,1,0.022054,5.241544,[114  10] ; [34  9],[109.89221557  14.10778443] ; [38.10778443  4.89221557],0
p6,1,0.030573,4.676772,[45 76] ; [ 8 34],[39.34355828 81.65644172] ; [13.65644172 28.34355828],0
s7,1,0.033765,4.506551,[49 70] ; [ 9 31],[43.40880503 75.59119497] ; [14.59119497 25.40880503],0
s6,1,0.062944,3.458054,[70 50] ; [18 25],[64.78527607 55.21472393] ; [23.21472393 19.78527607],0
d5,1,0.088443,2.902488,[92 32] ; [26 17],[87.61676647 36.38323353] ; [30.38323353 12.61676647],0
v1,1,0.090627,2.863194,[54 68] ; [12 29],[49.39877301 72.60122699] ; [16.60122699 24.39877301],0
p1,1,0.122141,2.389649,[  8 117] ; [ 6 37],[ 10.41666667 114.58333333] ; [ 3.58333333 39.41666667],0
r4,1,0.122362,2.386827,[86 39] ; [24 19],[81.8452381 43.1547619] ; [28.1547619 14.8452381],0
s2,1,0.135339,2.230164,[57 68] ; [14 29],[52.82738095 72.17261905] ; [18.17261905 24.82738095],0
r2,1,0.140731,2.169948,[102  20] ; [30 11],[98.79754601 23.20245399] ; [33.20245399  7.79754601],0
n3,1,0.146978,2.103339,[27 10] ; [9 8],[24.66666667 12.33333333] ; [11.33333333  5.66666667],0
s1,1,0.163022,1.945964,[  3 122] ; [ 3 40],[  4.46428571 120.53571429] ; [ 1.53571429 41.46428571],0
p5,1,0.179556,1.801292,[ 15 110] ; [ 2 40],[ 12.7245509 112.2754491] ; [ 4.2754491 37.7245509],0
s8,1,0.205643,1.60184,[42 83] ; [10 33],[38.69047619 86.30952381] ; [13.30952381 29.69047619],0
a7,1,0.208571,1.581318,[77 47] ; [22 21],[73.50898204 50.49101796] ; [25.49101796 17.50898204],0
b5,1,0.215466,1.534313,[77 48] ; [31 12],[80.35714286 44.64285714] ; [27.64285714 15.35714286],0
n4,1,0.215609,1.533357,[91 34] ; [27 16],[87.79761905 37.20238095] ; [30.20238095 12.79761905],0
b1,1,0.251339,1.315845,[43 82] ; [19 24],[46.13095238 78.86904762] ; [15.86904762 27.13095238],0
d3,1,0.253044,1.306421,[73 51] ; [21 22],[69.79640719 54.20359281] ; [24.20359281 18.79640719],0
v3,1,0.269895,1.217279,[42 83] ; [10 31],[39.15662651 85.84337349] ; [12.84337349 28.15662651],0
u1,1,0.281772,1.158522,[  6 119] ; [ 4 39],[  7.44047619 117.55952381] ; [ 2.55952381 40.44047619],0
u4,1,0.426248,0.633024,[  1 124] ; [ 1 42],[  1.48809524 123.51190476] ; [ 0.51190476 42.48809524],0
b4,1,0.493215,0.469506,[74 51] ; [28 15],[75.89285714 49.10714286] ; [26.10714286 16.89285714],0
a8,1,0.553738,0.350664,[ 12 105] ; [ 3 39],[ 11.03773585 105.96226415] ; [ 3.96226415 38.03773585],0
a2,1,0.585813,0.29693,[ 11 114] ; [ 5 38],[ 11.9047619 113.0952381] ; [ 4.0952381 38.9047619],0
v2,1,0.600758,0.273855,[54 71] ; [15 24],[52.59146341 72.40853659] ; [16.40853659 22.59146341],0
b3,1,0.611948,0.257348,[25 46] ; [11 16],[26.08163265 44.91836735] ; [ 9.91836735 17.08163265],0
b2,1,0.611948,0.257348,[25 46] ; [11 16],[26.08163265 44.91836735] ; [ 9.91836735 17.08163265],0
a6,1,0.64673,0.210048,[69 56] ; [22 21],[67.70833333 57.29166667] ; [23.29166667 19.70833333],0
d2,1,0.658259,0.195645,[44 81] ; [16 25],[45.18072289 79.81927711] ; [14.81927711 26.18072289],0
n1,1,0.682615,0.167197,[11 26] ; [ 6 11],[11.64814815 25.35185185] ; [ 5.35185185 11.64814815],0
a1,1,0.742057,0.108327,[  7 118] ; [ 3 40],[  7.44047619 117.55952381] ; [ 2.55952381 40.44047619],0
a5,1,0.775049,0.081668,[70 55] ; [23 20],[69.19642857 55.80357143] ; [23.80357143 19.19642857],0
a3,1,0.78295,0.075888,[72 52] ; [26 17],[72.76646707 51.23353293] ; [25.23353293 17.76646707],0
s5,1,0.793227,0.068708,[30 86] ; [10 32],[29.36708861 86.63291139] ; [10.63291139 31.36708861],0
p12,1,0.803565,0.06187,[  7 117] ; [ 2 41],[  6.68263473 117.31736527] ; [ 2.31736527 40.68263473],0
u2,1,0.825458,0.048634,[23 29] ; [ 7 10],[22.60869565 29.39130435] ; [7.39130435 9.60869565],0
