Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,140.351954,[352  77] ; [167 229],[269.88 159.12] ; [249.12 146.88],1
p4,1,0.0,78.116944,[318 116] ; [174 229],[255.11111111 178.88888889] ; [236.88888889 166.11111111],1
p3,1,0.0,62.19248,[273 161] ; [144 260],[215.96420048 218.03579952] ; [201.03579952 202.96420048],1
p6,1,0.0,60.834545,[212 219] ; [ 93 309],[157.80912365 273.19087635] ; [147.19087635 254.80912365],1
p2,1,0.0,54.051884,[398  37] ; [291 113],[357.22884386  77.77115614] ; [331.77115614  72.22884386],1
p5,1,0.0,35.589115,[ 75 361] ; [ 17 382],[ 48.03832335 387.96167665] ; [ 43.96167665 355.03832335],1
p11,1,0.0,28.110818,[371  65] ; [283 122],[339.05350773  96.94649227] ; [314.94649227  90.05350773],1
p10,1,0.0,27.714575,[381  54] ; [292 107],[351.02517986  83.97482014] ; [321.97482014  77.02517986],1
p9,1,2.8e-05,17.552179,[385  48] ; [312  87],[362.74158654  70.25841346] ; [334.25841346  64.74158654],1
n5,1,4.3e-05,16.74401,[348  87] ; [271 130],[322.08732057 112.91267943] ; [296.91267943 104.08732057],1
p1,1,0.000336,12.860293,[ 53 380] ; [ 21 383],[ 38.28195938 394.71804062] ; [ 35.71804062 368.28195938],1
v1,1,0.000379,12.634684,[255 172] ; [185 206],[229.68215159 197.31784841] ; [210.31784841 180.68215159],1
n6,1,0.000985,10.85495,[383  50] ; [324  80],[365.7479092  67.2520908] ; [341.2520908  62.7479092],1
s8,1,0.001179,10.523422,[215 217] ; [156 248],[191.71291866 240.28708134] ; [179.28708134 224.71291866],0
s5,1,0.00161,9.948169,[164 255] ; [111 277],[142.7819083 276.2180917] ; [132.2180917 255.7819083],0
n4,1,0.002985,8.816423,[349  86] ; [288 115],[330.66229117 104.33770883] ; [306.33770883  96.66229117],0
s7,1,0.004012,8.278461,[224 192] ; [170 219],[203.60745342 212.39254658] ; [190.39254658 198.60745342],0
r4,1,0.004892,7.918898,[418  18] ; [369  36],[408.00475624  27.99524376] ; [378.99524376  26.00475624],0
d1,1,0.005287,7.778463,[276 160] ; [218 187],[256.10463734 179.89536266] ; [237.89536266 167.10463734],0
v3,1,0.010013,6.632556,[186 238] ; [134 249],[168.12887237 255.87112763] ; [151.87112763 231.12887237],0
p12,1,0.016266,5.773921,[ 43 391] ; [ 22 381],[ 33.7037037 400.2962963] ; [ 31.2962963 371.7037037],0
b5,1,0.016796,5.717516,[248 188] ; [263 142],[264.91795482 171.08204518] ; [246.08204518 158.91795482],0
a5,1,0.022444,5.211033,[333 103] ; [281 124],[318.31629013 117.68370987] ; [295.68370987 109.31629013],0
s6,1,0.038571,4.279649,[298 125] ; [256 146],[284.05090909 138.94909091] ; [269.94909091 132.05090909],0
v2,1,0.040296,4.20537,[248 175] ; [197 186],[233.54218362 189.45781638] ; [211.45781638 171.54218362],0
d3,1,0.041722,4.14646,[314 121] ; [264 138],[300.39426523 134.60573477] ; [277.60573477 124.39426523],0
r1,1,0.047729,3.919508,[369  66] ; [320  82],[358.08243728  76.91756272] ; [330.91756272  71.08243728],0
s1,1,0.0762,3.144149,[ 10 423] ; [ 18 379],[ 14.60722892 418.39277108] ; [ 13.39277108 383.60722892],0
a7,1,0.108059,2.582375,[328 107] ; [284 119],[317.6849642 117.3150358] ; [294.3150358 108.6849642],0
a8,1,0.117045,2.45642,[ 59 337] ; [ 41 329],[ 51.69712794 344.30287206] ; [ 48.30287206 321.69712794],0
d4,1,0.160824,1.966459,[363  71] ; [322  81],[355.18518519  78.81481481] ; [329.81481481  73.18518519],0
a4,1,0.223261,1.483287,[187 247] ; [191 213],[195.76610979 238.23389021] ; [182.23389021 221.76610979],0
n3,1,0.238898,1.387082,[49 23] ; [94 30],[52.53061224 19.46938776] ; [90.46938776 33.53061224],0
a2,1,0.243678,1.359191,[ 97 339] ; [104 301],[104.20451843 331.79548157] ; [ 96.79548157 308.20451843],0
n1,1,0.278595,1.173931,[32 40] ; [45 78],[28.43076923 43.56923077] ; [48.56923077 74.43076923],0
u4,1,0.318076,0.996841,[ 12 424] ; [  7 398],[  9.85017836 426.14982164] ; [  9.14982164 395.85017836],0
u3,1,0.339573,0.912042,[74 54] ; [74 42],[77.63934426 50.36065574] ; [70.36065574 45.63934426],0
u2,1,0.363949,0.82422,[69 60] ; [67 46],[72.49586777 56.50413223] ; [63.50413223 49.49586777],0
d5,1,0.381307,0.766484,[355  79] ; [320  83],[350.  84.] ; [325.  78.],0
a6,1,0.395987,0.720479,[290 144] ; [281 123],[295.72076372 138.27923628] ; [275.27923628 128.72076372],0
u1,1,0.441229,0.593084,[ 74 362] ; [ 77 328],[ 78.28299643 357.71700357] ; [ 72.71700357 332.28299643],0
n2,1,0.48075,0.49716,[57 16] ; [92 33],[54.93434343 18.06565657] ; [94.06565657 30.93434343],0
s3,1,0.530689,0.393072,[249 181] ; [223 177],[244.53012048 185.46987952] ; [227.46987952 172.53012048],0
