Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000817,11.202973,[ 95 383] ; [5 2],[ 98.55670103 379.44329897] ; [1.44329897 5.55670103],1
p12,1,0.003562,8.49477,[ 45 427] ; [3 4],[ 47.29853862 424.70146138] ; [0.70146138 6.29853862],0
p5,1,0.006908,7.296665,[ 50 422] ; [3 4],[ 52.22546973 419.77453027] ; [0.77453027 6.22546973],0
a4,1,0.014831,5.936431,[191 285] ; [6 1],[194.14492754 281.85507246] ; [2.85507246 4.14492754],0
d2,1,0.028771,4.781262,[210 264] ; [6 1],[212.85654886 261.14345114] ; [3.14345114 3.85654886],0
p3,1,0.037048,4.348218,[219 256] ; [6 1],[221.73236515 253.26763485] ; [3.26763485 3.73236515],0
s7,1,0.044574,4.034675,[218 241] ; [6 1],[220.63519313 238.36480687] ; [3.36480687 3.63519313],0
s1,1,0.059195,3.55981,[ 12 456] ; [1 6],[ 12.80842105 455.19157895] ; [0.19157895 6.80842105],0
u1,1,0.06502,3.404464,[ 79 399] ; [3 4],[ 80.81649485 397.18350515] ; [1.18350515 5.81649485],0
a1,1,0.08488,2.968888,[ 14 464] ; [1 6],[ 14.78350515 463.21649485] ; [0.21649485 6.78350515],0
p4,1,0.15052,2.066975,[277 194] ; [6 1],[278.85564854 192.14435146] ; [4.14435146 2.85564854],0
v3,1,0.150686,2.065291,[182 277] ; [3 1],[183.40172786 275.59827214] ; [1.59827214 2.40172786],0
p6,1,0.195213,1.67783,[158 310] ; [4 3],[159.61263158 308.38736842] ; [2.38736842 4.61263158],0
p2,1,0.222773,1.486415,[412  61] ; [5 2],[410.91875  62.08125] ; [6.08125 0.91875],0
v1,1,0.243636,1.359433,[250 214] ; [4 1],[251.29211087 212.70788913] ; [2.70788913 2.29211087],0
s6,1,0.293805,1.102105,[314 155] ; [6 1],[315.29411765 153.70588235] ; [4.70588235 2.29411765],0
b4,1,0.35104,0.869695,[288 190] ; [3 4],[286.8 191.2] ; [4.2 2.8],0
p8,1,0.357203,0.847701,[252 215] ; [5 2],[253.20464135 213.79535865] ; [3.79535865 3.20464135],0
a6,1,0.36563,0.818462,[333 143] ; [6 1],[334.08695652 141.91304348] ; [4.91304348 2.08695652],0
a5,1,0.389511,0.740467,[338 139] ; [6 1],[339.02479339 137.97520661] ; [4.97520661 2.02479339],0
n4,1,0.581735,0.303439,[366 110] ; [6 1],[366.60869565 109.39130435] ; [5.39130435 1.60869565],0
p1,1,0.636338,0.223563,[ 43 430] ; [1 6],[ 43.35833333 429.64166667] ; [0.64166667 6.35833333],0
r1,1,0.690704,0.158324,[379  97] ; [6 1],[379.42028986  96.57971014] ; [5.57971014 1.42028986],0
p7,1,0.751762,0.100056,[289 170] ; [4 3],[288.59871245 170.40128755] ; [4.40128755 2.59871245],0
d5,1,0.758062,0.094881,[387  90] ; [6 1],[387.3161157  89.6838843] ; [5.6838843 1.3161157],0
s5,1,0.788521,0.071948,[158 303] ; [2 3],[158.2832618 302.7167382] ; [1.7167382 3.2832618],0
a7,1,0.849325,0.036092,[355 121] ; [5 2],[354.7826087 121.2173913] ; [5.2173913 1.7826087],0
b5,1,0.849636,0.035942,[290 188] ; [4 3],[289.75670103 188.24329897] ; [4.24329897 2.75670103],0
s4,1,0.861097,0.030617,[ 79 392] ; [1 6],[ 78.82845188 392.17154812] ; [1.17154812 5.82845188],0
d3,1,0.923425,0.009239,[332 144] ; [5 2],[332.11594203 143.88405797] ; [4.88405797 2.11594203],0
a8,1,0.94725,0.004377,[ 58 374] ; [1 6],[ 58.05922551 373.94077449] ; [0.94077449 6.05922551],0
v2,1,0.959425,0.002588,[272 190] ; [3 2],[272.05567452 189.94432548] ; [2.94432548 2.05567452],0
