Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00094,10.942815,[14 22] ; [12  1],[19.10204082 16.89795918] ; [6.89795918 6.10204082],1
p4,1,0.009546,6.717703,[ 9 27] ; [10  6],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
p11,1,0.010306,6.58125,[18 18] ; [14  2],[22.15384615 13.84615385] ; [9.84615385 6.15384615],0
d1,1,0.013648,6.083125,[20 16] ; [ 3 13],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
a3,1,0.03423,4.483198,[26  9] ; [7 9],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
s4,1,0.037373,4.333333,[ 6 30] ; [7 9],[ 9. 27.] ; [ 4. 12.],0
s8,1,0.049081,3.872586,[10 26] ; [9 7],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
p6,1,0.054292,3.703704,[ 7 28] ; [7 8],[ 9.8 25.2] ; [ 4.2 10.8],0
u2,1,0.05778,3.6,[3 6] ; [7 2],[5. 4.] ; [5. 4.],0
d2,1,0.062683,3.464934,[19 17] ; [ 4 12],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
r3,1,0.07311,3.211786,[22 13] ; [14  2],[24.70588235 10.29411765] ; [11.29411765  4.70588235],0
a4,1,0.075749,3.153819,[16 20] ; [ 3 13],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
s7,1,0.078609,3.093434,[16 17] ; [12  4],[18.85714286 14.14285714] ; [9.14285714 6.85714286],0
p5,1,0.113972,2.498261,[ 2 34] ; [ 3 12],[ 3.52941176 32.47058824] ; [ 1.47058824 13.52941176],0
s6,1,0.131725,2.27206,[19 17] ; [12  4],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
v3,1,0.132953,2.257683,[ 9 27] ; [ 1 14],[ 7.05882353 28.94117647] ; [ 2.94117647 12.05882353],0
b4,1,0.165205,1.925926,[21 15] ; [ 6 10],[18.69230769 17.30769231] ; [8.30769231 7.69230769],0
n3,1,0.169686,1.885714,[9 6] ; [2 5],[7.5 7.5] ; [3.5 3.5],0
p3,1,0.203076,1.620113,[11 24] ; [8 8],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
d4,1,0.234656,1.412417,[30  6] ; [11  5],[28.38461538  7.61538462] ; [12.61538462  3.38461538],0
p2,1,0.258547,1.276518,[23 13] ; [12  3],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
n6,1,0.279184,1.17106,[21 14] ; [7 9],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
b2,1,0.28245,1.155266,[ 7 15] ; [ 2 11],[ 5.65714286 16.34285714] ; [3.34285714 9.65714286],0
b3,1,0.28245,1.155266,[ 7 15] ; [ 2 11],[ 5.65714286 16.34285714] ; [3.34285714 9.65714286],0
r2,1,0.294551,1.098701,[24  9] ; [8 6],[22.46808511 10.53191489] ; [9.53191489 4.46808511],0
a5,1,0.33025,0.947917,[21 15] ; [7 9],[19.38461538 16.61538462] ; [8.61538462 7.38461538],0
a6,1,0.33123,0.944081,[22 14] ; [12  4],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
d5,1,0.358471,0.843243,[27  9] ; [10  6],[25.61538462 10.38461538] ; [11.38461538  4.61538462],0
b5,1,0.370798,0.80099,[20 16] ; [11  5],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
v4,1,0.377681,0.778235,[23 12] ; [11  3],[24.28571429 10.71428571] ; [9.71428571 4.28571429],0
n1,1,0.381905,0.76456,[ 6 10] ; [4 3],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
v2,1,0.386282,0.750613,[15 19] ; [ 5 11],[13.6 20.4] ; [6.4 9.6],0
r1,1,0.4305,0.621475,[13 23] ; [ 4 12],[11.76923077 24.23076923] ; [ 5.23076923 10.76923077],0
d3,1,0.454152,0.560269,[22 14] ; [8 8],[20.76923077 15.23076923] ; [9.23076923 6.76923077],0
n4,1,0.47155,0.518341,[24 12] ; [9 7],[22.84615385 13.15384615] ; [10.15384615  5.84615385],0
a7,1,0.54789,0.361111,[17 19] ; [9 7],[18. 18.] ; [8. 8.],0
a1,1,0.583142,0.301182,[ 4 32] ; [ 1 15],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
v1,1,0.618743,0.247638,[12 21] ; [7 9],[12.79591837 20.20408163] ; [6.20408163 9.79591837],0
s1,1,0.638069,0.221277,[ 3 33] ; [ 2 14],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
a2,1,0.638069,0.221277,[ 3 33] ; [ 2 14],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
n5,1,0.653841,0.201092,[22 13] ; [9 7],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
p10,1,0.699676,0.14881,[21 15] ; [9 5],[21.6 14.4] ; [8.4 5.6],0
s2,1,0.733801,0.11565,[23 13] ; [11  5],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
u3,1,0.844674,0.038384,[4 6] ; [4 5],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
b1,1,0.8532,0.034239,[17 19] ; [8 8],[17.30769231 18.69230769] ; [7.69230769 8.30769231],0
a8,1,0.868951,0.027222,[ 3 32] ; [ 1 13],[ 2.85714286 32.14285714] ; [ 1.14285714 12.85714286],0
s5,1,0.881655,0.022163,[ 9 25] ; [ 4 10],[ 9.20833333 24.79166667] ; [ 3.79166667 10.20833333],0
u1,1,0.921037,0.009826,[ 2 34] ; [ 1 15],[ 2.07692308 33.92307692] ; [ 0.92307692 15.07692308],0
p9,1,0.960061,0.002508,[25 11] ; [11  5],[24.92307692 11.07692308] ; [11.07692308  4.92307692],0
