Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,135.107406,[275   9] ; [11 22],[256.22712934  27.77287066] ; [29.77287066  3.22712934],1
p11,1,0.0,29.25779,[251  33] ; [18 16],[240.23899371  43.76100629] ; [28.76100629  5.23899371],1
n6,1,1e-06,24.903026,[259  22] ; [21 12],[250.57324841  30.42675159] ; [29.42675159  3.57324841],1
n5,1,1e-06,23.835429,[251  31] ; [19 14],[241.71428571  40.28571429] ; [28.28571429  4.71428571],1
d5,1,0.00015,14.368796,[245  37] ; [21 13],[237.37974684  44.62025316] ; [28.62025316  5.37974684],1
d1,1,0.00119,10.505519,[189  95] ; [13 21],[180.40251572 103.59748428] ; [21.59748428 12.40251572],0
p4,1,0.007307,7.195888,[218  65] ; [19 15],[211.58044164  71.41955836] ; [25.41955836  8.58044164],0
s8,1,0.007483,7.15328,[163 119] ; [11 22],[155.77142857 126.22857143] ; [18.22857143 14.77142857],0
s7,1,0.007885,7.059499,[160 110] ; [12 22],[152.76315789 117.23684211] ; [19.23684211 14.76315789],0
n4,1,0.008507,6.923509,[241  43] ; [22 11],[235.6214511  48.3785489] ; [27.3785489  5.6214511],0
p2,1,0.01397,6.041954,[262  22] ; [27  7],[258.10062893  25.89937107] ; [30.89937107  3.10062893],0
a3,1,0.014275,6.003781,[226  56] ; [21 13],[220.42405063  61.57594937] ; [26.57594937  7.42405063],0
p3,1,0.015913,5.812515,[192  91] ; [16 18],[185.69085174  97.30914826] ; [22.30914826 11.69085174],0
p8,1,0.035528,4.419604,[207  76] ; [19 15],[201.76025237  81.23974763] ; [24.23974763  9.76025237],0
r4,1,0.044121,4.051934,[268  16] ; [29  5],[265.24528302  18.75471698] ; [31.75471698  2.24528302],0
r3,1,0.044671,4.031029,[277   7] ; [31  3],[275.06918239   8.93081761] ; [32.93081761  1.06918239],0
s5,1,0.047923,3.912694,[126 152] ; [ 9 24],[120.67524116 157.32475884] ; [14.32475884 18.67524116],0
a5,1,0.054699,3.691226,[225  59] ; [22 12],[220.59119497  63.40880503] ; [26.40880503  7.59119497],0
s6,1,0.058491,3.579655,[203  74] ; [19 14],[198.36774194  78.63225806] ; [23.63225806  9.36774194],0
b5,1,0.059782,3.54342,[170 114] ; [26  8],[175.04402516 108.95597484] ; [20.95597484 13.04402516],0
d4,1,0.062668,3.46533,[248  34] ; [26  8],[244.51898734  37.48101266] ; [29.48101266  4.51898734],0
p6,1,0.075844,3.15178,[157 125] ; [13 20],[152.19047619 129.80952381] ; [17.80952381 15.19047619],0
a4,1,0.093109,2.819779,[143 140] ; [12 22],[138.37539432 144.62460568] ; [16.62460568 17.37539432],0
b3,1,0.093377,2.815164,[ 85 106] ; [ 5 15],[ 81.46919431 109.53080569] ; [ 8.53080569 11.46919431],0
b2,1,0.093377,2.815164,[ 85 106] ; [ 5 15],[ 81.46919431 109.53080569] ; [ 8.53080569 11.46919431],0
s2,1,0.100456,2.698287,[158 124] ; [14 20],[153.49367089 128.50632911] ; [18.50632911 15.49367089],0
v3,1,0.108519,2.575651,[150 127] ; [13 20],[145.6483871 131.3516129] ; [17.3516129 15.6483871],0
p1,1,0.142814,2.147375,[ 31 252] ; [ 1 33],[ 28.56782334 254.43217666] ; [ 3.43217666 30.56782334],0
p12,1,0.14411,2.133513,[ 31 253] ; [ 1 33],[ 28.57861635 255.42138365] ; [ 3.42138365 30.57861635],0
b1,1,0.190501,1.713736,[109 175] ; [17 17],[112.52830189 171.47169811] ; [13.47169811 20.52830189],0
p5,1,0.19161,1.705192,[ 50 233] ; [ 3 31],[ 47.31545741 235.68454259] ; [ 5.68454259 28.31545741],0
v2,1,0.198193,1.655643,[200  80] ; [20 13],[196.80511182  83.19488818] ; [23.19488818  9.80511182],0
d2,1,0.22034,1.502155,[148 135] ; [14 20],[144.62460568 138.37539432] ; [17.37539432 16.62460568],0
r2,1,0.241391,1.372454,[268  12] ; [31  3],[266.62420382  13.37579618] ; [32.37579618  1.62420382],0
r1,1,0.252005,1.312152,[244  39] ; [26  7],[241.80379747  41.19620253] ; [28.19620253  4.80379747],0
u1,1,0.276553,1.183953,[ 65 219] ; [ 5 29],[ 62.51572327 221.48427673] ; [ 7.48427673 26.51572327],0
a7,1,0.321529,0.982717,[206  77] ; [22 12],[203.54574132  79.45425868] ; [24.45425868  9.54574132],0
a1,1,0.362844,0.828027,[ 20 264] ; [ 1 33],[ 18.75471698 265.24528302] ; [ 2.24528302 31.75471698],0
a2,1,0.369846,0.804182,[ 79 205] ; [ 7 27],[ 76.80503145 207.19496855] ; [ 9.19496855 24.80503145],0
s4,1,0.458243,0.550184,[ 47 234] ; [ 4 30],[ 45.4952381 235.5047619] ; [ 5.5047619 28.4952381],0
n1,1,0.574306,0.31553,[18 22] ; [6 5],[18.82352941 21.17647059] ; [5.17647059 5.82352941],0
s3,1,0.596015,0.281048,[161 118] ; [18 16],[159.55591054 119.44408946] ; [19.44408946 14.55591054],0
u3,1,0.666585,0.185623,[35 23] ; [7 6],[34.30985915 23.69014085] ; [7.69014085 5.30985915],0
b4,1,0.710616,0.137663,[166 118] ; [21 13],[167.00628931 116.99371069] ; [19.99371069 14.00628931],0
n3,1,0.757793,0.095098,[31  9] ; [9 2],[31.37254902  8.62745098] ; [8.62745098 2.37254902],0
v4,1,0.853025,0.034321,[271  10] ; [33  1],[271.18730159   9.81269841] ; [32.81269841  1.18730159],0
d3,1,0.854419,0.033666,[204  79] ; [24 10],[203.54574132  79.45425868] ; [24.45425868  9.54574132],0
u4,1,0.866876,0.028099,[  7 277] ; [ 1 33],[  7.14465409 276.85534591] ; [ 0.85534591 33.14465409],0
a8,1,0.901035,0.015464,[ 45 211] ; [ 5 25],[ 44.75524476 211.24475524] ; [ 5.24475524 24.75524476],0
a6,1,0.908723,0.013144,[188  94] ; [23 11],[188.29746835  93.70253165] ; [22.70253165 11.29746835],0
u2,1,0.91338,0.011832,[30 28] ; [6 6],[29.82857143 28.17142857] ; [6.17142857 5.82857143],0
s1,1,0.972449,0.001193,[  8 274] ; [ 1 33],[  8.03164557 273.96835443] ; [ 0.96835443 33.03164557],0
