Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,38.349753,[63 29] ; [ 8 45],[45.04827586 46.95172414] ; [25.95172414 27.04827586],1
p6,1,0.0,26.202918,[54 39] ; [ 8 46],[39.2244898 53.7755102] ; [22.7755102 31.2244898],1
p4,1,1.7e-05,18.510678,[68 25] ; [20 34],[55.67346939 37.32653061] ; [32.32653061 21.67346939],1
p2,1,2e-05,18.186128,[82 11] ; [31 23],[71.48979592 21.51020408] ; [41.51020408 12.48979592],1
p3,1,4.5e-05,16.650868,[60 33] ; [16 38],[48.08163265 44.91836735] ; [27.91836735 26.08163265],1
p10,1,0.003159,8.713055,[83 10] ; [37 16],[76.43835616 16.56164384] ; [43.56164384  9.43835616],0
s7,1,0.003649,8.45056,[62 29] ; [22 29],[53.83098592 37.16901408] ; [30.16901408 20.83098592],0
s8,1,0.010791,6.499428,[53 40] ; [19 35],[45.55102041 47.44897959] ; [26.44897959 27.55102041],0
p9,1,0.013641,6.084016,[84  9] ; [39 13],[78.88965517 14.11034483] ; [44.11034483  7.88965517],0
p5,1,0.022903,5.175811,[12 81] ; [ 1 53],[ 8.2244898 84.7755102] ; [ 4.7755102 49.2244898],0
d5,1,0.023444,5.135336,[79 13] ; [38 16],[73.7260274 18.2739726] ; [43.2739726 10.7260274],0
n5,1,0.029436,4.741935,[68 25] ; [30 24],[62. 31.] ; [36. 18.],0
p1,1,0.066985,3.355405,[12 81] ; [ 2 52],[ 8.85714286 84.14285714] ; [ 5.14285714 48.85714286],0
p11,1,0.070771,3.265051,[70 23] ; [33 21],[65.16326531 27.83673469] ; [37.83673469 16.16326531],0
s5,1,0.075351,3.16242,[51 36] ; [20 27],[46.09701493 40.90298507] ; [24.90298507 22.09701493],0
s6,1,0.093761,2.80859,[80 10] ; [40 11],[76.59574468 13.40425532] ; [43.40425532  7.59574468],0
v3,1,0.106091,2.611507,[32 58] ; [12 41],[27.69230769 62.30769231] ; [16.30769231 36.69230769],0
b1,1,0.142152,2.154509,[37 56] ; [15 39],[32.89795918 60.10204082] ; [19.10204082 34.89795918],0
d1,1,0.168146,1.899399,[59 34] ; [28 26],[55.04081633 37.95918367] ; [31.95918367 22.04081633],0
n6,1,0.170078,1.882259,[81 11] ; [43 11],[78.1369863 13.8630137] ; [45.8630137  8.1369863],0
n3,1,0.17279,1.858568,[20  3] ; [14  6],[18.18604651  4.81395349] ; [15.81395349  4.18604651],0
b5,1,0.173313,1.854053,[55 38] ; [38 16],[58.83673469 34.16326531] ; [34.16326531 19.83673469],0
r1,1,0.178533,1.809796,[76 17] ; [39 15],[72.75510204 20.24489796] ; [42.24489796 11.75510204],0
b4,1,0.208303,1.583178,[54 39] ; [37 17],[57.57142857 35.42857143] ; [33.42857143 20.57142857],0
u3,1,0.209756,1.573111,[15 12] ; [14  5],[17.02173913  9.97826087] ; [11.97826087  7.02173913],0
v1,1,0.226714,1.461362,[47 45] ; [22 32],[43.47945205 48.52054795] ; [25.52054795 28.47945205],0
s1,1,0.239906,1.381149,[ 3 90] ; [ 4 49],[ 4.45890411 88.54109589] ; [ 2.54109589 50.45890411],0
a2,1,0.254024,1.301038,[21 72] ; [ 8 46],[18.34693878 74.65306122] ; [10.65306122 43.34693878],0
r3,1,0.25758,1.281719,[89  3] ; [50  4],[87.5890411  4.4109589] ; [51.4109589  2.5890411],0
p12,1,0.266689,1.233699,[ 8 85] ; [ 2 51],[ 6.36986301 86.63013699] ; [ 3.63013699 49.36986301],0
s3,1,0.303634,1.058166,[70 23] ; [35 17],[67.34482759 25.65517241] ; [37.65517241 14.34482759],0
a7,1,0.326329,0.963412,[61 31] ; [40 14],[63.64383562 28.35616438] ; [37.35616438 16.64383562],0
n2,1,0.328979,0.952912,[19  4] ; [14  6],[17.65116279  5.34883721] ; [15.34883721  4.65116279],0
v2,1,0.392586,0.730917,[44 46] ; [22 31],[41.53846154 48.46153846] ; [24.46153846 28.53846154],0
a3,1,0.437984,0.601559,[66 27] ; [35 19],[63.89795918 29.10204082] ; [37.10204082 16.89795918],0
b2,1,0.441078,0.593476,[13 40] ; [ 4 20],[11.7012987 41.2987013] ; [ 5.2987013 18.7012987],0
b3,1,0.441078,0.593476,[13 40] ; [ 4 20],[11.7012987 41.2987013] ; [ 5.2987013 18.7012987],0
d2,1,0.476032,0.507939,[47 46] ; [24 30],[44.91836735 48.08163265] ; [26.08163265 27.91836735],0
a5,1,0.551756,0.354182,[68 25] ; [37 17],[66.42857143 26.57142857] ; [38.57142857 15.42857143],0
u1,1,0.575355,0.313805,[19 74] ; [ 9 45],[17.71428571 75.28571429] ; [10.28571429 43.71428571],0
n4,1,0.585491,0.297442,[61 32] ; [33 21],[59.46938776 33.53061224] ; [34.53061224 19.46938776],0
a1,1,0.621592,0.243637,[ 3 90] ; [ 1 53],[ 2.53061224 90.46938776] ; [ 1.46938776 52.53061224],0
u2,1,0.655254,0.19934,[11 16] ; [ 9 10],[11.73913043 15.26086957] ; [ 8.26086957 10.73913043],0
a6,1,0.679726,0.170434,[60 33] ; [33 21],[58.83673469 34.16326531] ; [34.16326531 19.83673469],0
a8,1,0.699237,0.149267,[ 4 83] ; [ 3 46],[ 4.47794118 82.52205882] ; [ 2.52205882 46.47794118],0
r4,1,0.711522,0.136762,[86  7] ; [49  5],[85.40816327  7.59183673] ; [49.59183673  4.40816327],0
v4,1,0.711628,0.136657,[89  4] ; [50  3],[88.54109589  4.45890411] ; [50.45890411  2.54109589],0
n1,1,0.749993,0.101537,[ 7 16] ; [ 7 13],[ 7.48837209 15.51162791] ; [ 6.51162791 13.48837209],0
d4,1,0.797352,0.065933,[74 19] ; [42 12],[73.3877551 19.6122449] ; [42.6122449 11.3877551],0
a4,1,0.860249,0.030996,[41 52] ; [23 31],[40.48979592 52.51020408] ; [23.51020408 30.48979592],0
s2,1,0.961781,0.002296,[66 27] ; [36 15],[65.875 27.125] ; [36.125 14.875],0
d3,1,0.982446,0.000484,[70 22] ; [41 13],[69.94520548 22.05479452] ; [41.05479452 12.94520548],0
