Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,87.195968,[191  78] ; [ 40 122],[144.17401392 124.82598608] ; [86.82598608 75.17401392],1
p8,1,0.0,49.131,[179  89] ; [ 51 109],[144.01869159 123.98130841] ; [85.98130841 74.01869159],1
p6,1,0.0,36.26689,[138 128] ; [ 35 123],[108.53301887 157.46698113] ; [64.46698113 93.53301887],1
p7,1,0.0,28.003552,[200  65] ; [76 76],[175.39568345  89.60431655] ; [100.60431655  51.39568345],1
p2,1,0.0,27.579164,[246  22] ; [119  44],[226.96055684  41.03944316] ; [138.03944316  24.96055684],1
p5,1,1e-06,24.474268,[ 50 215] ; [  4 158],[ 33.51288056 231.48711944] ; [ 20.48711944 141.51288056],1
r4,1,2e-06,22.484376,[257  12] ; [133  30],[242.84722222  26.15277778] ; [147.15277778  15.84722222],1
n6,1,1.1e-05,19.41441,[237  30] ; [116  45],[220.21261682  46.78738318] ; [132.78738318  28.21261682],1
s2,1,7.8e-05,15.612014,[233  36] ; [116  47],[217.31712963  51.68287037] ; [131.68287037  31.31712963],1
n5,1,0.000125,14.722295,[221  48] ; [106  55],[204.56511628  64.43488372] ; [122.43488372  38.56511628],1
s6,1,0.000412,12.475899,[238  28] ; [122  37],[225.31764706  40.68235294] ; [134.68235294  24.31764706],1
d1,1,0.000528,12.015301,[207  62] ; [100  63],[191.16435185  77.83564815] ; [115.83564815  47.16435185],1
s7,1,0.000852,11.124791,[184  73] ; [89 71],[168.25179856  88.74820144] ; [104.74820144  55.25179856],1
d3,1,0.000991,10.843427,[219  50] ; [110  53],[204.86342593  64.13657407] ; [124.13657407  38.86342593],1
p11,1,0.001275,10.377695,[225  44] ; [115  48],[211.71296296  57.28703704] ; [128.28703704  34.71296296],0
s8,1,0.001558,10.008736,[173  95] ; [80 83],[157.31786543 110.68213457] ; [95.68213457 67.31786543],0
p12,1,0.001642,9.912139,[ 40 228] ; [  8 152],[ 30.05607477 237.94392523] ; [ 17.94392523 142.05607477],0
n4,1,0.002282,9.307596,[223  46] ; [114  48],[210.33178654  58.66821346] ; [126.66821346  35.33178654],0
v4,1,0.002354,9.250377,[262   7] ; [147  15],[255.26914153  13.73085847] ; [153.73085847   8.26914153],0
p9,1,0.004444,8.093035,[243  25] ; [129  30],[233.48009368  34.51990632] ; [138.51990632  20.48009368],0
a5,1,0.005621,7.668059,[215  54] ; [111  52],[202.99537037  66.00462963] ; [123.00462963  39.99537037],0
p10,1,0.007075,7.253863,[233  35] ; [123  37],[222.91588785  45.08411215] ; [133.08411215  26.91588785],0
u1,1,0.009394,6.746272,[ 68 201] ; [ 24 139],[ 57.28703704 211.71296296] ; [ 34.71296296 128.28703704],0
a2,1,0.01544,5.865566,[ 85 184] ; [ 34 129],[ 74.09953704 194.90046296] ; [ 44.90046296 118.09953704],0
v3,1,0.019966,5.414829,[114 140] ; [ 53 106],[102.70702179 151.29297821] ; [64.29297821 94.70702179],0
v1,1,0.027974,4.82969,[154 105] ; [76 81],[143.19711538 115.80288462] ; [86.80288462 70.19711538],0
u4,1,0.033852,4.502187,[ 14 255] ; [  2 161],[  9.96296296 259.03703704] ; [  6.03703704 156.96296296],0
r3,1,0.035515,4.420264,[262   6] ; [151  10],[258.004662   9.995338] ; [154.995338   6.004662],0
r1,1,0.038538,4.281128,[231  37] ; [128  35],[223.22969838  44.77030162] ; [135.77030162  27.22969838],0
s5,1,0.043296,4.083791,[123 133] ; [57 94],[113.21867322 142.78132678] ; [66.78132678 84.21867322],0
a4,1,0.04729,3.935031,[142 127] ; [70 93],[132.00925926 136.99074074] ; [79.99074074 83.00925926],0
u2,1,0.091746,2.843467,[39 13] ; [24 17],[35.22580645 16.77419355] ; [27.77419355 13.22580645],0
u3,1,0.094176,2.80151,[39 12] ; [26 17],[35.26595745 15.73404255] ; [29.73404255 13.26595745],0
d2,1,0.106388,2.607069,[160 109] ; [84 79],[151.93518519 117.06481481] ; [92.06481481 70.93518519],0
d5,1,0.136379,2.218344,[238  31] ; [136  27],[232.88425926  36.11574074] ; [141.11574074  21.88425926],0
a3,1,0.161679,1.958449,[216  53] ; [120  41],[210.19534884  58.80465116] ; [125.80465116  35.19534884],0
b1,1,0.170874,1.875262,[117 152] ; [ 60 103],[110.21527778 158.78472222] ; [66.78472222 96.21527778],0
a1,1,0.191191,1.708413,[ 20 249] ; [  7 156],[ 16.8125 252.1875] ; [ 10.1875 152.8125],0
p1,1,0.196677,1.666881,[ 26 241] ; [ 10 152],[ 22.40559441 244.59440559] ; [ 13.59440559 148.40559441],0
