Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,47.544522,[122 104] ; [16 94],[ 92.82142857 133.17857143] ; [45.17857143 64.82142857],1
a3,1,0.0,41.879556,[175  53] ; [44 64],[148.60714286  79.39285714] ; [70.39285714 37.60714286],1
d1,1,0.0,35.255506,[142  86] ; [31 80],[116.3539823 111.6460177] ; [56.6460177 54.3539823],1
d2,1,0.0,32.570293,[123 103] ; [24 87],[ 98.58160237 127.41839763] ; [48.41839763 62.58160237],1
d5,1,2e-06,22.794827,[190  37] ; [66 44],[172.43916914  54.56083086] ; [83.56083086 26.43916914],1
a6,1,6e-06,20.494402,[157  71] ; [48 63],[137.87610619  90.12389381] ; [67.12389381 43.87610619],1
d4,1,2.3e-05,17.944696,[187  40] ; [68 43],[171.25739645  55.74260355] ; [83.74260355 27.25739645],1
u1,1,7.4e-05,15.714717,[ 45 183] ; [  4 107],[ 32.95575221 195.04424779] ; [16.04424779 94.95575221],1
n4,1,0.000184,13.992462,[187  40] ; [71 40],[173.27218935  53.72781065] ; [84.72781065 26.27218935],1
s8,1,0.000418,12.450359,[102 124] ; [28 83],[ 87.1810089 138.8189911] ; [42.8189911 68.1810089],1
r1,1,0.001478,10.106454,[174  52] ; [67 44],[161.62017804  64.37982196] ; [79.37982196 31.62017804],0
d3,1,0.003136,8.726669,[154  74] ; [56 54],[141.65680473  86.34319527] ; [68.34319527 41.65680473],0
s6,1,0.00321,8.684211,[156  64] ; [60 50],[144.  76.] ; [72. 38.],0
v1,1,0.00659,7.381575,[ 95 128] ; [30 80],[ 83.70870871 139.29129129] ; [41.29129129 68.70870871],0
n5,1,0.006602,7.378195,[187  40] ; [77 34],[177.30177515  49.69822485] ; [86.69822485 24.30177515],0
p10,1,0.00903,6.816836,[181  43] ; [74 35],[171.53153153  52.46846847] ; [83.46846847 25.53153153],0
p9,1,0.012284,6.269418,[188  36] ; [78 30],[179.46987952  44.53012048] ; [86.53012048 21.46987952],0
b3,1,0.013903,6.05038,[61 82] ; [14 44],[53.35820896 89.64179104] ; [21.64179104 36.35820896],0
b2,1,0.013903,6.05038,[61 82] ; [14 44],[53.35820896 89.64179104] ; [21.64179104 36.35820896],0
p6,1,0.01606,5.796301,[ 89 139] ; [28 81],[ 79.15727003 148.84272997] ; [37.84272997 71.15727003],0
r2,1,0.016395,5.759989,[211  13] ; [96 15],[205.27761194  18.72238806] ; [101.72238806   9.27761194],0
s7,1,0.041204,4.167612,[109 110] ; [40 66],[100.40307692 118.59692308] ; [48.59692308 57.40307692],0
p11,1,0.044495,4.037679,[179  49] ; [76 35],[171.50442478  56.49557522] ; [83.49557522 27.50442478],0
r4,1,0.044772,4.027207,[203  25] ; [90 21],[197.0619469  30.9380531] ; [95.9380531 15.0619469],0
p4,1,0.070945,3.261013,[138  89] ; [56 55],[130.28994083  96.71005917] ; [63.71005917 47.28994083],0
s5,1,0.074167,3.188294,[ 79 142] ; [28 80],[ 71.87537994 149.12462006] ; [35.12462006 72.87537994],0
a1,1,0.089236,2.888102,[ 10 218] ; [  1 110],[  7.39823009 220.60176991] ; [  3.60176991 107.39823009],0
p5,1,0.106061,2.611951,[ 33 193] ; [ 9 99],[ 28.41916168 197.58083832] ; [13.58083832 94.41916168],0
p3,1,0.135144,2.232394,[107 119] ; [43 68],[100.59347181 125.40652819] ; [49.40652819 61.59347181],0
p8,1,0.175047,1.839179,[119 108] ; [49 61],[113.16320475 113.83679525] ; [54.83679525 55.16320475],0
s4,1,0.186405,1.745801,[ 51 173] ; [18 91],[ 46.41441441 177.58558559] ; [22.58558559 86.41441441],0
b5,1,0.191541,1.705727,[131  97] ; [72 39],[136.53097345  91.46902655] ; [66.46902655 44.53097345],0
p2,1,0.191986,1.702307,[187  40] ; [84 26],[182.54302671  44.45697329] ; [88.45697329 21.54302671],0
p12,1,0.204327,1.611173,[ 16 210] ; [  4 107],[ 13.41246291 212.58753709] ; [  6.58753709 104.41246291],0
p7,1,0.211798,1.559092,[135  90] ; [57 51],[129.72972973  95.27027027] ; [62.27027027 45.72972973],0
v4,1,0.220318,1.502299,[217  11] ; [101   9],[214.50887574  13.49112426] ; [103.49112426   6.50887574],0
a8,1,0.267276,1.230672,[ 23 191] ; [15 84],[ 25.98083067 188.01916933] ; [12.01916933 86.98083067],0
n3,1,0.289056,1.124013,[46 18] ; [17 11],[43.82608696 20.17391304] ; [19.17391304  8.82608696],0
n1,1,0.391333,0.734795,[29 35] ; [10 18],[27.13043478 36.86956522] ; [11.86956522 16.13043478],0
s1,1,0.545492,0.365455,[  9 216] ; [  6 104],[ 10.07462687 214.92537313] ; [  4.92537313 105.07462687],0
v3,1,0.563289,0.334042,[ 46 181] ; [19 89],[ 44.04477612 182.95522388] ; [20.95522388 87.04477612],0
