Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,66.913725,[ 1 33] ; [104  28],[21.5060241 12.4939759] ; [83.4939759 48.5060241],1
p11,1,0.0,44.577935,[ 3 31] ; [95 37],[20.07228916 13.92771084] ; [77.92771084 54.07228916],1
v4,1,0.0,25.796592,[16 18] ; [114  17],[26.78787879  7.21212121] ; [103.21212121  27.78787879],1
p2,1,1e-06,23.451701,[ 7 27] ; [88 44],[19.45783133 14.54216867] ; [75.54216867 56.45783133],1
n6,1,0.000115,14.865771,[12 22] ; [93 38],[21.63636364 12.36363636] ; [83.36363636 47.63636364],1
p10,1,0.000154,14.319572,[ 9 24] ; [83 47],[18.62576687 14.37423313] ; [73.37423313 56.62576687],1
a7,1,0.000159,14.265789,[13 21] ; [96 36],[22.3253012 11.6746988] ; [86.6746988 45.3253012],1
p9,1,0.000224,13.616597,[10 21] ; [88 41],[18.9875 12.0125] ; [79.0125 49.9875],1
a1,1,0.000242,13.470487,[ 7 27] ; [  4 128],[ 2.25301205 31.74698795] ; [  8.74698795 123.25301205],1
v2,1,0.00027,13.270047,[ 3 30] ; [55 72],[11.9625 21.0375] ; [46.0375 80.9625],1
r1,1,0.000388,12.58839,[11 23] ; [87 45],[20.07228916 13.92771084] ; [77.92771084 54.07228916],1
d4,1,0.001066,10.709791,[18 16] ; [106  26],[25.39759036  8.60240964] ; [98.60240964 33.39759036],0
b5,1,0.00411,8.234353,[11 23] ; [79 53],[18.43373494 15.56626506] ; [71.56626506 60.43373494],0
n3,1,0.011602,6.370704,[ 5 13] ; [26 15],[9.45762712 8.54237288] ; [21.54237288 19.45762712],0
u2,1,0.014389,5.989744,[ 2 13] ; [23 24],[6.0483871 8.9516129] ; [18.9516129 28.0483871],0
d5,1,0.01577,5.828315,[18 16] ; [98 34],[23.75903614 10.24096386] ; [92.24096386 39.75903614],0
u3,1,0.024509,5.058216,[ 3 12] ; [25 22],[6.77419355 8.22580645] ; [21.22580645 25.77419355],0
r2,1,0.035903,4.401694,[23  9] ; [114  17],[26.89570552  5.10429448] ; [110.10429448  20.89570552],0
p8,1,0.039498,4.239324,[ 3 31] ; [33 98],[ 7.41818182 26.58181818] ; [ 28.58181818 102.41818182],0
p4,1,0.041747,4.145443,[ 4 30] ; [38 94],[ 8.60240964 25.39759036] ; [33.39759036 98.60240964],0
b1,1,0.050465,3.825934,[20 14] ; [53 79],[14.95180723 19.04819277] ; [58.04819277 73.95180723],0
v1,1,0.053811,3.718556,[ 6 28] ; [45 84],[10.63803681 23.36196319] ; [40.36196319 88.63803681],0
d3,1,0.057505,3.607922,[15 19] ; [82 50],[19.86746988 14.13253012] ; [77.13253012 54.86746988],0
b3,1,0.073035,3.213447,[13  9] ; [27 45],[ 9.36170213 12.63829787] ; [30.63829787 41.36170213],0
b2,1,0.073035,3.213447,[13  9] ; [27 45],[ 9.36170213 12.63829787] ; [30.63829787 41.36170213],0
a6,1,0.104486,2.635696,[17 17] ; [86 46],[21.09638554 12.90361446] ; [81.90361446 50.09638554],0
n5,1,0.114687,2.48842,[25  9] ; [77 54],[21.01818182 12.98181818] ; [80.98181818 50.01818182],0
p6,1,0.121909,2.392618,[ 1 32] ; [ 16 115],[ 3.42073171 29.57926829] ; [ 13.57926829 117.42073171],0
p3,1,0.172182,1.863838,[ 4 30] ; [ 29 101],[ 6.84146341 27.15853659] ; [ 26.15853659 103.84146341],0
n2,1,0.189064,1.7249,[ 9 10] ; [28 15],[11.33870968  7.66129032] ; [25.66129032 17.33870968],0
d1,1,0.193943,1.687411,[12 22] ; [63 69],[15.36144578 18.63855422] ; [59.63855422 72.36144578],0
p1,1,0.201192,1.6337,[ 5 29] ; [ 10 121],[ 3.09090909 30.90909091] ; [ 11.90909091 119.09090909],0
s1,1,0.22586,1.466742,[ 3 31] ; [  5 126],[ 1.64848485 32.35151515] ; [  6.35151515 124.64848485],0
b4,1,0.22955,1.443646,[17 17] ; [81 51],[20.07228916 13.92771084] ; [77.92771084 54.07228916],0
n1,1,0.265732,1.238648,[ 9 10] ; [14 29],[ 7.0483871 11.9516129] ; [15.9516129 27.0483871],0
a8,1,0.265784,1.238377,[ 1 32] ; [ 11 114],[ 2.50632911 30.49367089] ; [  9.49367089 115.50632911],0
a5,1,0.289767,1.120702,[18 16] ; [83 49],[20.68674699 13.31325301] ; [80.31325301 51.68674699],0
s2,1,0.32663,0.962212,[ 3 31] ; [ 20 110],[ 4.76829268 29.23170732] ; [ 18.23170732 111.76829268],0
u1,1,0.347198,0.88367,[ 2 32] ; [ 15 117],[ 3.48192771 30.51807229] ; [ 13.51807229 118.48192771],0
a3,1,0.468007,0.526679,[19 14] ; [85 47],[20.8 12.2] ; [83.2 48.8],0
s7,1,0.478086,0.503226,[ 4 28] ; [ 22 102],[ 5.33333333 26.66666667] ; [ 20.66666667 103.33333333],0
s4,1,0.533731,0.387283,[ 4 30] ; [ 11 121],[ 3.07228916 30.92771084] ; [ 11.92771084 120.07228916],0
p12,1,0.586846,0.295296,[ 1 33] ; [  2 128],[ 0.62195122 33.37804878] ; [  2.37804878 127.62195122],0
v3,1,0.660102,0.1934,[ 7 27] ; [30 94],[ 7.96202532 26.03797468] ; [29.03797468 94.96202532],0
a4,1,0.693732,0.155075,[13 20] ; [57 75],[14. 19.] ; [56. 76.],0
s5,1,0.849198,0.036154,[ 3 30] ; [ 10 114],[ 2.73248408 30.26751592] ; [ 10.26751592 113.73248408],0
s8,1,0.861659,0.030367,[ 4 30] ; [ 17 115],[ 4.30120482 29.69879518] ; [ 16.69879518 115.30120482],0
a2,1,0.863331,0.029631,[ 5 29] ; [ 21 111],[ 5.3253012 28.6746988] ; [ 20.6746988 111.3253012],0
d2,1,0.900242,0.015714,[14 19] ; [54 77],[13.68292683 19.31707317] ; [54.31707317 76.68292683],0
s3,1,0.908626,0.013172,[ 7 26] ; [ 29 102],[ 7.24390244 25.75609756] ; [ 28.75609756 102.24390244],0
n4,1,0.961238,0.002362,[22 12] ; [86 46],[22.12048193 11.87951807] ; [85.87951807 46.12048193],0
p5,1,0.972858,0.001158,[ 1 33] ; [  4 127],[ 1.03030303 32.96969697] ; [  3.96969697 127.03030303],0
