Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.609266,[57 11] ; [ 4 11],[49.97590361 18.02409639] ; [11.02409639  3.97590361],1
p11,1,0.000637,11.663649,[56 12] ; [6 9],[50.79518072 17.20481928] ; [11.20481928  3.79518072],1
p9,1,0.008211,6.98692,[60  8] ; [9 6],[56.53012048 11.46987952] ; [12.46987952  2.53012048],0
p10,1,0.014753,5.945701,[59  9] ; [9 6],[55.71084337 12.28915663] ; [12.28915663  2.71084337],0
a5,1,0.023934,5.099411,[55 13] ; [8 7],[51.61445783 16.38554217] ; [11.38554217  3.61445783],0
n4,1,0.035476,4.422117,[54 14] ; [8 7],[50.79518072 17.20481928] ; [11.20481928  3.79518072],0
p4,1,0.037491,4.327947,[60  8] ; [10  5],[57.34939759 10.65060241] ; [12.65060241  2.34939759],0
b1,1,0.04051,4.196404,[30 38] ; [11  4],[33.59036145 34.40963855] ; [7.40963855 7.59036145],0
r4,1,0.054664,3.692307,[62  6] ; [11  4],[59.80722892  8.19277108] ; [13.19277108  1.80722892],0
p8,1,0.057428,3.610153,[49 19] ; [7 8],[45.87951807 22.12048193] ; [10.12048193  4.87951807],0
a7,1,0.059384,3.554514,[45 23] ; [6 9],[41.78313253 26.21686747] ; [9.21686747 5.78313253],0
u2,1,0.062579,3.467692,[ 6 12] ; [4 1],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
p6,1,0.068141,3.327239,[37 31] ; [12  3],[40.14457831 27.85542169] ; [8.85542169 6.14457831],0
r2,1,0.074925,3.171694,[64  4] ; [12  3],[62.26506024  5.73493976] ; [13.73493976  1.26506024],0
s6,1,0.101215,2.686293,[59  7] ; [11  4],[57.03703704  8.96296296] ; [12.96296296  2.03703704],0
p2,1,0.195146,1.678331,[59  9] ; [11  4],[57.34939759 10.65060241] ; [12.65060241  2.34939759],0
v1,1,0.222088,1.490831,[39 29] ; [6 9],[36.86746988 31.13253012] ; [8.13253012 6.86746988],0
r1,1,0.226569,1.462272,[55 13] ; [10  5],[53.25301205 14.74698795] ; [11.74698795  3.25301205],0
d3,1,0.240046,1.380326,[51 17] ; [9 6],[49.15662651 18.84337349] ; [10.84337349  4.15662651],0
n2,1,0.243498,1.360227,[7 4] ; [7 1],[8.10526316 2.89473684] ; [5.89473684 2.10526316],0
s3,1,0.269943,1.217037,[49 18] ; [13  2],[50.65853659 16.34146341] ; [11.34146341  3.65853659],0
u1,1,0.281544,1.159623,[18 50] ; [ 2 13],[16.38554217 51.61445783] ; [ 3.61445783 11.38554217],0
p1,1,0.295916,1.09251,[ 7 61] ; [ 3 12],[ 8.19277108 59.80722892] ; [ 1.80722892 13.19277108],0
s8,1,0.311971,1.022314,[37 31] ; [6 9],[35.22891566 32.77108434] ; [7.77108434 7.22891566],0
v4,1,0.313152,1.017333,[64  4] ; [13  2],[63.08433735  4.91566265] ; [13.91566265  1.08433735],0
a2,1,0.330324,0.947629,[17 51] ; [ 2 13],[15.56626506 52.43373494] ; [ 3.43373494 11.56626506],0
p5,1,0.405877,0.690845,[10 58] ; [ 1 14],[ 9.01204819 58.98795181] ; [ 1.98795181 13.01204819],0
p7,1,0.422815,0.642479,[56 12] ; [11  4],[54.89156627 13.10843373] ; [12.10843373  2.89156627],0
u3,1,0.432738,0.615463,[11  7] ; [4 1],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
