Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000167,14.173913,[21 17] ; [83 14],[29.27407407  8.72592593] ; [74.72592593 22.27407407],1
r3,1,0.000447,12.325985,[22 16] ; [84 14],[29.61764706  8.38235294] ; [76.38235294 21.61764706],1
r4,1,0.000721,11.433165,[11 27] ; [60 38],[19.83823529 18.16176471] ; [51.16176471 46.83823529],1
p9,1,0.002998,8.80898,[18 19] ; [71 23],[25.13740458 11.86259542] ; [63.86259542 30.13740458],0
p10,1,0.006825,7.318408,[15 22] ; [63 32],[21.86363636 15.13636364] ; [56.13636364 38.86363636],0
p11,1,0.010943,6.474585,[17 21] ; [67 31],[23.47058824 14.52941176] ; [60.52941176 37.47058824],0
p2,1,0.020573,5.362572,[18 19] ; [68 29],[23.74626866 13.25373134] ; [62.25373134 34.74626866],0
b1,1,0.03766,4.320301,[21 17] ; [35 63],[15.64705882 22.35294118] ; [40.35294118 57.64705882],0
n4,1,0.049414,3.861228,[17 21] ; [62 36],[22.07352941 15.92647059] ; [56.92647059 41.07352941],0
p8,1,0.053887,3.716211,[ 8 28] ; [39 58],[12.72180451 23.27819549] ; [34.27819549 62.72180451],0
s5,1,0.065483,3.392756,[ 3 33] ; [21 73],[ 6.64615385 29.35384615] ; [17.35384615 76.64615385],0
d2,1,0.094331,2.798868,[19 19] ; [33 63],[14.74626866 23.25373134] ; [37.25373134 58.74626866],0
b4,1,0.103088,2.657109,[17 21] ; [59 39],[21.23529412 16.76470588] ; [54.76470588 43.23529412],0
p4,1,0.152628,2.045785,[11 27] ; [41 56],[14.63703704 23.36296296] ; [37.36296296 59.63703704],0
p3,1,0.182781,1.774866,[ 8 30] ; [32 66],[11.17647059 26.82352941] ; [28.82352941 69.17647059],0
s2,1,0.215344,1.535131,[ 9 29] ; [34 64],[12.01470588 25.98529412] ; [30.98529412 67.01470588],0
v3,1,0.219743,1.50605,[ 4 33] ; [19 77],[ 6.39849624 30.60150376] ; [16.60150376 79.39849624],0
s4,1,0.227653,1.455466,[11 27] ; [19 79],[ 8.38235294 29.61764706] ; [21.61764706 76.38235294],0
n2,1,0.231154,1.433749,[9 7] ; [27 10],[10.86792453  5.13207547] ; [25.13207547 11.86792453],0
b5,1,0.233892,1.417033,[19 19] ; [60 38],[22.07352941 15.92647059] ; [56.92647059 41.07352941],0
a1,1,0.267122,1.231466,[ 5 33] ; [ 7 91],[ 3.35294118 34.64705882] ; [ 8.64705882 89.35294118],0
s6,1,0.271047,1.21144,[12 26] ; [41 57],[14.80882353 23.19117647] ; [38.19117647 59.80882353],0
r2,1,0.273765,1.197785,[25 12] ; [73 22],[27.46969697  9.53030303] ; [70.53030303 24.46969697],0
d5,1,0.296561,1.089596,[21 17] ; [63 34],[23.64444444 14.35555556] ; [60.35555556 36.64444444],0
n5,1,0.352752,0.863532,[21 17] ; [62 35],[23.36296296 14.63703704] ; [59.63703704 37.36296296],0
s7,1,0.388388,0.743982,[ 8 28] ; [28 66],[ 9.96923077 26.03076923] ; [26.03076923 67.96923077],0
d4,1,0.390547,0.737238,[21 17] ; [62 36],[23.19117647 14.80882353] ; [59.80882353 38.19117647],0
a3,1,0.417494,0.657358,[18 20] ; [54 44],[20.11764706 17.88235294] ; [51.88235294 46.11764706],0
s8,1,0.449048,0.573053,[ 7 31] ; [24 74],[ 8.66176471 29.33823529] ; [22.33823529 75.66176471],0
n1,1,0.486919,0.483327,[6 8] ; [12 25],[4.94117647 9.05882353] ; [13.05882353 23.94117647],0
u1,1,0.529013,0.396287,[ 1 37] ; [ 5 93],[ 1.67647059 36.32352941] ; [ 4.32352941 93.67647059],0
b2,1,0.530503,0.393429,[ 8 17] ; [22 34],[ 9.25925926 15.74074074] ; [20.74074074 35.25925926],0
b3,1,0.530503,0.393429,[ 8 17] ; [22 34],[ 9.25925926 15.74074074] ; [20.74074074 35.25925926],0
p5,1,0.539496,0.376474,[ 1 36] ; [ 5 92],[ 1.65671642 35.34328358] ; [ 4.34328358 92.65671642],0
d3,1,0.562132,0.336027,[17 20] ; [50 47],[18.5 18.5] ; [48.5 48.5],0
a5,1,0.581592,0.303668,[17 21] ; [49 49],[18.44117647 19.55882353] ; [47.55882353 50.44117647],0
s3,1,0.583048,0.301333,[15 22] ; [34 62],[13.63157895 23.36842105] ; [35.36842105 60.63157895],0
a8,1,0.619548,0.246503,[ 3 35] ; [10 83],[ 3.77099237 34.22900763] ; [ 9.22900763 83.77099237],0
a6,1,0.641245,0.217117,[23 15] ; [55 43],[21.79411765 16.20588235] ; [56.20588235 41.79411765],0
u3,1,0.705131,0.14319,[ 7 13] ; [13 30],[ 6.34920635 13.65079365] ; [13.65079365 29.34920635],0
a7,1,0.705734,0.142575,[19 19] ; [52 45],[19.98518519 18.01481481] ; [51.01481481 45.98518519],0
p6,1,0.872754,0.025652,[10 27] ; [27 68],[10.37121212 26.62878788] ; [26.62878788 68.37121212],0
p7,1,0.886651,0.020319,[17 19] ; [44 52],[16.63636364 19.36363636] ; [44.36363636 51.63636364],0
v2,1,0.887086,0.020162,[ 9 28] ; [22 73],[ 8.68939394 28.31060606] ; [22.31060606 72.68939394],0
u2,1,0.891896,0.01847,[ 9 11] ; [19 25],[ 8.75 11.25] ; [19.25 24.75],0
s1,1,0.912743,0.012008,[ 1 36] ; [ 3 95],[ 1.0962963 35.9037037] ; [ 2.9037037 95.0962963],0
n3,1,0.932528,0.007168,[11  5] ; [25 12],[10.86792453  5.13207547] ; [25.13207547 11.86792453],0
a4,1,0.941415,0.005401,[12 26] ; [30 67],[11.82222222 26.17777778] ; [30.17777778 66.82222222],0
a2,1,0.955749,0.003079,[ 4 34] ; [10 88],[ 3.91176471 34.08823529] ; [10.08823529 87.91176471],0
d1,1,0.957584,0.002829,[13 25] ; [34 64],[13.13235294 24.86764706] ; [33.86764706 64.13235294],0
p1,1,0.970327,0.001384,[ 4 34] ; [10 87],[ 3.94074074 34.05925926] ; [10.05925926 86.94074074],0
