Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,23.614607,[ 6 22] ; [33  8],[15.82608696 12.17391304] ; [23.17391304 17.82608696],1
v4,1,5.5e-05,16.269585,[13 14] ; [36  3],[20.04545455  6.95454545] ; [28.95454545 10.04545455],1
r2,1,0.000597,11.785048,[15 11] ; [38  3],[20.56716418  5.43283582] ; [32.43283582  8.56716418],1
n5,1,0.000972,10.880852,[19  9] ; [11 29],[12.35294118 15.64705882] ; [17.64705882 22.35294118],1
u3,1,0.007122,7.241944,[ 4 11] ; [12  4],[7.74193548 7.25806452] ; [8.25806452 7.74193548],0
s6,1,0.007898,7.056491,[ 7 21] ; [23 17],[12.35294118 15.64705882] ; [17.64705882 22.35294118],0
d4,1,0.013943,6.045322,[12 16] ; [29 11],[16.88235294 11.11764706] ; [24.11764706 15.88235294],0
u2,1,0.015079,5.907222,[7 8] ; [14  2],[10.16129032  4.83870968] ; [10.83870968  5.16129032],0
n2,1,0.024705,5.04442,[9 6] ; [15  1],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
s8,1,0.026548,4.919937,[ 3 25] ; [14 27],[ 6.89855072 21.10144928] ; [10.10144928 30.89855072],0
p11,1,0.02936,4.74637,[11 17] ; [27 14],[15.42028986 12.57971014] ; [22.57971014 18.42028986],0
b4,1,0.02936,4.74637,[11 17] ; [27 14],[15.42028986 12.57971014] ; [22.57971014 18.42028986],0
a5,1,0.031146,4.644896,[ 9 19] ; [24 17],[13.39130435 14.60869565] ; [19.60869565 21.39130435],0
s3,1,0.041284,4.164339,[11 16] ; [27 14],[15.08823529 11.91176471] ; [22.91176471 18.08823529],0
p3,1,0.047827,3.91605,[ 5 22] ; [17 24],[ 8.73529412 18.26470588] ; [13.26470588 27.73529412],0
v3,1,0.049399,3.861735,[ 3 25] ; [11 24],[ 6.22222222 21.77777778] ; [ 7.77777778 27.22222222],0
n3,1,0.05818,3.588517,[7 8] ; [12  3],[9.5 5.5] ; [9.5 5.5],0
d1,1,0.082996,3.005226,[ 6 22] ; [17 24],[ 9.33333333 18.66666667] ; [13.66666667 27.33333333],0
s7,1,0.135043,2.233551,[ 5 20] ; [14 23],[ 7.66129032 17.33870968] ; [11.33870968 25.66129032],0
d5,1,0.138347,2.196252,[12 16] ; [25 16],[15.01449275 12.98550725] ; [21.98550725 19.01449275],0
b1,1,0.158555,1.987957,[21  7] ; [24 17],[18.26086957  9.73913043] ; [26.73913043 14.26086957],0
s5,1,0.160099,1.973286,[ 4 24] ; [11 27],[ 6.36363636 21.63636364] ; [ 8.63636364 29.36363636],0
a1,1,0.173243,1.854654,[ 4 24] ; [ 2 39],[ 2.43478261 25.56521739] ; [ 3.56521739 37.43478261],0
v2,1,0.18641,1.745762,[ 8 19] ; [17 20],[10.546875 16.453125] ; [14.453125 22.546875],0
p1,1,0.211896,1.558425,[ 1 27] ; [ 5 36],[ 2.43478261 25.56521739] ; [ 3.56521739 37.43478261],0
a3,1,0.232916,1.422967,[13 15] ; [25 16],[15.42028986 12.57971014] ; [22.57971014 18.42028986],0
b5,1,0.240545,1.377395,[11 17] ; [22 19],[13.39130435 14.60869565] ; [19.60869565 21.39130435],0
p4,1,0.248827,1.329876,[ 9 18] ; [19 21],[11.28358209 15.71641791] ; [16.71641791 23.28358209],0
n1,1,0.273322,1.2,[6 9] ; [9 6],[7.5 7.5] ; [7.5 7.5],0
d2,1,0.282327,1.155856,[10 18] ; [20 21],[12.17391304 15.82608696] ; [17.82608696 23.17391304],0
p8,1,0.291018,1.114905,[ 6 21] ; [14 27],[ 7.94117647 19.05882353] ; [12.05882353 28.94117647],0
p9,1,0.294,1.101213,[12 15] ; [23 17],[14.10447761 12.89552239] ; [20.89552239 19.10447761],0
v1,1,0.32901,0.952789,[11 17] ; [21 20],[12.98550725 15.01449275] ; [19.01449275 21.98550725],0
p5,1,0.358853,0.841905,[ 2 26] ; [ 1 39],[ 1.23529412 26.76470588] ; [ 1.76470588 38.23529412],0
d3,1,0.370677,0.801394,[ 8 20] ; [16 25],[ 9.73913043 18.26086957] ; [14.26086957 26.73913043],0
s1,1,0.498021,0.459152,[ 1 27] ; [ 3 37],[ 1.64705882 26.35294118] ; [ 2.35294118 37.64705882],0
p6,1,0.511083,0.431849,[ 5 21] ; [10 28],[ 6.09375 19.90625] ; [ 8.90625 29.09375],0
a2,1,0.51325,0.427436,[ 1 27] ; [ 3 38],[ 1.62318841 26.37681159] ; [ 2.37681159 38.62318841],0
p10,1,0.540651,0.374335,[11 15] ; [20 20],[12.21212121 13.78787879] ; [18.78787879 21.21212121],0
s2,1,0.559246,0.341011,[ 9 19] ; [16 25],[10.14492754 17.85507246] ; [14.85507246 26.14492754],0
a4,1,0.625587,0.238093,[ 8 20] ; [14 27],[ 8.92753623 19.07246377] ; [13.07246377 27.92753623],0
