Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.860703,[1 4] ; [98  9],[4.41964286 0.58035714] ; [94.58035714 12.41964286],1
r3,1,0.000498,12.12149,[3 2] ; [101   4],[4.72727273 0.27272727] ; [99.27272727  5.72727273],1
p9,1,0.000685,11.529518,[2 3] ; [94 10],[4.40366972 0.59633028] ; [91.59633028 12.40366972],1
a7,1,0.011848,6.333547,[1 4] ; [77 29],[3.51351351 1.48648649] ; [74.48648649 31.51351351],0
v4,1,0.042842,4.101627,[4 1] ; [104   3],[4.82142857 0.17857143] ; [103.17857143   3.82142857],0
s5,1,0.059787,3.543287,[1 4] ; [61 37],[3.00970874 1.99029126] ; [58.99029126 39.00970874],0
b1,1,0.06314,3.452921,[4 1] ; [41 66],[2.00892857 2.99107143] ; [42.99107143 64.00892857],0
r1,1,0.064438,3.419315,[2 3] ; [82 25],[3.75 1.25] ; [80.25 26.75],0
d3,1,0.077679,3.112798,[2 3] ; [80 26],[3.69369369 1.30630631] ; [78.30630631 27.69369369],0
a3,1,0.140248,2.175239,[2 3] ; [76 31],[3.48214286 1.51785714] ; [74.51785714 32.48214286],0
p10,1,0.143665,2.138256,[3 2] ; [89 16],[4.18181818 0.81818182] ; [87.81818182 17.18181818],0
a5,1,0.155903,2.013526,[2 3] ; [75 32],[3.4375 1.5625] ; [73.5625 33.4375],0
d2,1,0.157448,1.998568,[1 4] ; [56 51],[2.54464286 2.45535714] ; [54.45535714 52.54464286],0
d5,1,0.164488,1.932472,[3 2] ; [89 17],[4.14414414 0.85585586] ; [87.85585586 18.14414414],0
a4,1,0.169868,1.884112,[1 4] ; [55 52],[2.5 2.5] ; [53.5 53.5],0
p3,1,0.182863,1.774197,[4 1] ; [53 54],[2.54464286 2.45535714] ; [54.45535714 52.54464286],0
n6,1,0.190628,1.712756,[3 2] ; [88 18],[4.0990991 0.9009009] ; [86.9009009 19.0990991],0
p8,1,0.204141,1.612497,[4 1] ; [53 51],[2.6146789 2.3853211] ; [54.3853211 49.6146789],0
b5,1,0.246248,1.344465,[2 3] ; [70 37],[3.21428571 1.78571429] ; [68.78571429 38.21428571],0
s1,1,0.257665,1.281258,[1 4] ; [ 7 99],[0.36036036 4.63963964] ; [ 7.63963964 98.36036036],0
d1,1,0.287676,1.130467,[2 3] ; [68 39],[3.125 1.875] ; [66.875 40.125],0
s6,1,0.333785,0.934157,[4 1] ; [95  8],[4.58333333 0.41666667] ; [94.41666667  8.58333333],0
p4,1,0.346397,0.886612,[4 1] ; [63 44],[2.99107143 2.00892857] ; [64.00892857 42.99107143],0
p1,1,0.374419,0.788946,[1 4] ; [ 9 98],[0.44642857 4.55357143] ; [ 9.55357143 97.44642857],0
s8,1,0.40311,0.69903,[2 3] ; [63 44],[2.90178571 2.09821429] ; [62.09821429 44.90178571],0
s3,1,0.433957,0.612209,[4 1] ; [97 10],[4.50892857 0.49107143] ; [96.49107143 10.50892857],0
n1,1,0.456511,0.554435,[1 1] ; [ 8 23],[0.54545455 1.45454545] ; [ 8.45454545 22.54545455],0
n2,1,0.456511,0.554435,[1 1] ; [23  8],[1.45454545 0.54545455] ; [22.54545455  8.45454545],0
n4,1,0.476631,0.506562,[4 1] ; [69 38],[3.25892857 1.74107143] ; [69.74107143 37.25892857],0
p7,1,0.482665,0.492837,[4 1] ; [66 36],[3.27102804 1.72897196] ; [66.72897196 35.27102804],0
p6,1,0.503771,0.446984,[3 2] ; [47 58],[2.27272727 2.72727273] ; [47.72727273 57.27272727],0
p11,1,0.562757,0.334953,[3 2] ; [77 30],[3.57142857 1.42857143] ; [76.42857143 30.57142857],0
u2,1,0.617918,0.248805,[2 1] ; [16 15],[1.58823529 1.41176471] ; [16.41176471 14.58823529],0
v3,1,0.6556,0.198913,[1 4] ; [31 75],[1.44144144 3.55855856] ; [30.55855856 75.44144144],0
v1,1,0.66208,0.191006,[2 3] ; [53 53],[2.47747748 2.52252252] ; [52.52252252 53.47747748],0
n5,1,0.700325,0.148134,[3 2] ; [73 34],[3.39285714 1.60714286] ; [72.60714286 34.39285714],0
v2,1,0.740459,0.109724,[2 3] ; [49 54],[2.36111111 2.63888889] ; [48.63888889 54.36111111],0
a6,1,0.769246,0.086061,[3 2] ; [71 36],[3.30357143 1.69642857] ; [70.69642857 36.30357143],0
u3,1,0.87594,0.024373,[2 1] ; [22  9],[2.11764706 0.88235294] ; [21.88235294  9.11764706],0
d4,1,0.89815,0.016384,[4 1] ; [88 19],[4.10714286 0.89285714] ; [87.89285714 19.10714286],0
s7,1,0.982167,0.0005,[3 1] ; [77 25],[3.01886792 0.98113208] ; [76.98113208 25.01886792],0
p2,1,0.983593,0.000423,[4 1] ; [86 21],[4.01785714 0.98214286] ; [85.98214286 21.01785714],0
