Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7e-06,20.120317,[ 7 30] ; [32 15],[17.17857143 19.82142857] ; [21.82142857 25.17857143],1
p4,1,0.000327,12.907751,[14 23] ; [36 11],[22.02380952 14.97619048] ; [27.97619048 19.02380952],1
p6,1,0.00173,9.816526,[ 6 30] ; [23 23],[12.73170732 23.26829268] ; [16.26829268 29.73170732],0
p3,1,0.002225,9.354085,[14 22] ; [34 13],[20.81927711 15.18072289] ; [27.18072289 19.81927711],0
v2,1,0.006455,7.418805,[16 19] ; [36 12],[21.92771084 13.07228916] ; [30.07228916 17.92771084],0
p11,1,0.014035,6.033762,[22 15] ; [40  8],[26.98823529 10.01176471] ; [35.01176471 12.98823529],0
v3,1,0.020149,5.398901,[10 25] ; [26 22],[15.18072289 19.81927711] ; [20.81927711 27.18072289],0
p2,1,0.030591,4.675791,[24 13] ; [40  7],[28.19047619  8.80952381] ; [35.80952381 11.19047619],0
u3,1,0.06727,3.348397,[10  4] ; [ 7 11],[7.4375 6.5625] ; [9.5625 8.4375],0
n4,1,0.08041,3.056605,[22 15] ; [37 11],[25.68235294 11.31764706] ; [33.31764706 14.68235294],0
n6,1,0.089333,2.886348,[25 12] ; [40  8],[28.29411765  8.70588235] ; [36.70588235 11.29411765],0
n5,1,0.141154,2.165329,[24 13] ; [38 10],[26.98823529 10.01176471] ; [35.01176471 12.98823529],0
s6,1,0.175574,1.834699,[21 15] ; [32 12],[23.85 12.15] ; [29.15 14.85],0
d2,1,0.178162,1.812892,[16 21] ; [14 34],[13.05882353 23.94117647] ; [16.94117647 31.05882353],0
p10,1,0.185128,1.755973,[27 10] ; [39  7],[29.42168675  7.57831325] ; [36.57831325  9.42168675],0
s7,1,0.193239,1.69275,[12 24] ; [21 23],[14.85 21.15] ; [18.15 25.85],0
r4,1,0.236817,1.399441,[20 17] ; [32 16],[22.63529412 14.36470588] ; [29.36470588 18.63529412],0
p1,1,0.255509,1.292929,[ 5 32] ; [ 3 45],[ 3.48235294 33.51764706] ; [ 4.51764706 43.48235294],0
p12,1,0.264039,1.247456,[ 1 36] ; [ 4 43],[ 2.20238095 34.79761905] ; [ 2.79761905 44.20238095],0
a1,1,0.274021,1.196509,[ 1 36] ; [ 4 44],[ 2.17647059 34.82352941] ; [ 2.82352941 45.17647059],0
p5,1,0.313333,1.016572,[ 4 33] ; [ 9 39],[ 5.65882353 31.34117647] ; [ 7.34117647 40.65882353],0
n3,1,0.3268,0.961538,[6 6] ; [9 4],[7.2 4.8] ; [7.8 5.2],0
s8,1,0.345934,0.888317,[11 26] ; [19 29],[13.05882353 23.94117647] ; [16.94117647 31.05882353],0
a4,1,0.39905,0.711188,[14 23] ; [14 34],[12.18823529 24.81176471] ; [15.81176471 32.18823529],0
p9,1,0.414968,0.664523,[30  7] ; [42  6],[31.34117647  5.65882353] ; [40.65882353  7.34117647],0
u1,1,0.443858,0.586289,[ 3 34] ; [ 2 46],[ 2.17647059 34.82352941] ; [ 2.82352941 45.17647059],0
v4,1,0.451857,0.565989,[31  6] ; [42  5],[32.1547619  4.8452381] ; [40.8452381  6.1547619],0
s3,1,0.486352,0.484586,[18 19] ; [27 21],[19.58823529 17.41176471] ; [25.41176471 22.58823529],0
b3,1,0.488247,0.480387,[ 7 10] ; [11 24],[ 5.88461538 11.11538462] ; [12.11538462 22.88461538],0
b2,1,0.488247,0.480387,[ 7 10] ; [11 24],[ 5.88461538 11.11538462] ; [12.11538462 22.88461538],0
a7,1,0.497094,0.461135,[25 12] ; [29 19],[23.50588235 13.49411765] ; [30.49411765 17.50588235],0
d4,1,0.504494,0.44547,[27 10] ; [38 10],[28.29411765  8.70588235] ; [36.70588235 11.29411765],0
r3,1,0.554113,0.35,[29  7] ; [41  7],[30.  6.] ; [40.  8.],0
s2,1,0.574716,0.314855,[20 17] ; [23 25],[18.71764706 18.28235294] ; [24.28235294 23.71764706],0
u2,1,0.576086,0.312605,[8 6] ; [8 9],[7.22580645 6.77419355] ; [8.77419355 8.22580645],0
d3,1,0.592045,0.287162,[21 16] ; [30 18],[22.2 14.8] ; [28.8 19.2],0
a5,1,0.62557,0.238116,[22 15] ; [26 22],[20.89411765 16.10588235] ; [27.10588235 20.89411765],0
b4,1,0.62557,0.238116,[22 15] ; [26 22],[20.89411765 16.10588235] ; [27.10588235 20.89411765],0
r2,1,0.627238,0.235824,[29  8] ; [38  8],[29.86746988  7.13253012] ; [37.13253012  8.86746988],0
d5,1,0.66311,0.189768,[27 10] ; [37 11],[27.85882353  9.14117647] ; [36.14117647 11.85882353],0
s5,1,0.740282,0.109879,[11 23] ; [13 32],[10.32911392 23.67088608] ; [13.67088608 31.32911392],0
s4,1,0.761271,0.092302,[ 6 31] ; [ 9 39],[ 6.52941176 30.47058824] ; [ 8.47058824 39.52941176],0
a8,1,0.77287,0.083303,[ 2 32] ; [ 2 43],[ 1.72151899 32.27848101] ; [ 2.27848101 42.72151899],0
