Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001541,10.028639,[11 31] ; [12  5],[16.37288136 25.62711864] ; [ 6.62711864 10.37288136],0
a3,1,0.009042,6.814434,[14 28] ; [12  5],[18.50847458 23.49152542] ; [7.49152542 9.50847458],0
p9,1,0.041091,4.172246,[25 16] ; [15  2],[28.27586207 12.72413793] ; [11.72413793  5.27586207],0
p10,1,0.072069,3.235248,[23 17] ; [14  3],[25.96491228 14.03508772] ; [11.03508772  5.96491228],0
n2,1,0.086673,2.935101,[10  7] ; [9 1],[11.96296296  5.03703704] ; [7.03703704 2.96296296],0
r1,1,0.091418,2.849222,[17 25] ; [11  6],[19.93220339 22.06779661] ; [8.06779661 8.93220339],0
s7,1,0.099811,2.708565,[ 9 32] ; [7 9],[11.50877193 29.49122807] ; [ 4.49122807 11.50877193],0
d2,1,0.117952,2.444308,[ 7 35] ; [ 6 11],[ 9.25423729 32.74576271] ; [ 3.74576271 13.25423729],0
u3,1,0.125825,2.343277,[12 16] ; [4 1],[13.57575758 14.42424242] ; [2.42424242 2.57575758],0
a4,1,0.154696,2.02532,[ 4 38] ; [ 4 13],[ 5.69491525 36.30508475] ; [ 2.30508475 14.69491525],0
v2,1,0.216981,1.524229,[12 28] ; [8 9],[14.03508772 25.96491228] ; [ 5.96491228 11.03508772],0
p6,1,0.225982,1.465977,[11 31] ; [ 2 15],[ 9.25423729 32.74576271] ; [ 3.74576271 13.25423729],0
s5,1,0.273159,1.200812,[ 7 35] ; [ 1 16],[ 5.69491525 36.30508475] ; [ 2.30508475 14.69491525],0
s6,1,0.29596,1.092312,[16 26] ; [9 8],[17.79661017 24.20338983] ; [7.20338983 9.79661017],0
p8,1,0.304475,1.054489,[18 23] ; [ 5 12],[16.25862069 24.74137931] ; [ 6.74137931 10.25862069],0
s3,1,0.323449,0.974948,[14 28] ; [8 9],[15.66101695 26.33898305] ; [ 6.33898305 10.66101695],0
n6,1,0.323449,0.974948,[28 14] ; [9 8],[26.33898305 15.66101695] ; [10.66101695  6.33898305],0
d5,1,0.329964,0.94904,[16 25] ; [9 8],[17.67241379 23.32758621] ; [7.32758621 9.67241379],0
s1,1,0.332532,0.939012,[ 2 40] ; [ 2 15],[ 2.84745763 39.15254237] ; [ 1.15254237 15.84745763],0
p1,1,0.346125,0.887614,[ 2 39] ; [ 2 15],[ 2.82758621 38.17241379] ; [ 1.17241379 15.82758621],0
r2,1,0.38803,0.745106,[33  9] ; [15  2],[34.16949153  7.83050847] ; [13.83050847  3.16949153],0
p7,1,0.423672,0.640106,[24 17] ; [8 9],[22.62068966 18.37931034] ; [9.37931034 7.62068966],0
b5,1,0.435589,0.607875,[22 20] ; [ 7 10],[20.6440678 21.3559322] ; [8.3559322 8.6440678],0
r4,1,0.458871,0.548648,[28 14] ; [13  4],[29.18644068 12.81355932] ; [11.81355932  5.18644068],0
u2,1,0.478247,0.502857,[12 16] ; [3 2],[12.72727273 15.27272727] ; [2.27272727 2.72727273],0
n5,1,0.512719,0.428514,[17 25] ; [8 8],[18.10344828 23.89655172] ; [6.89655172 9.10344828],0
n1,1,0.529233,0.395865,[ 5 11] ; [2 8],[ 4.30769231 11.69230769] ; [2.69230769 7.30769231],0
r3,1,0.559566,0.340456,[37  5] ; [14  3],[36.30508475  5.69491525] ; [14.69491525  2.30508475],0
s8,1,0.568563,0.325093,[13 29] ; [ 4 13],[12.10169492 29.89830508] ; [ 4.89830508 12.10169492],0
p11,1,0.568777,0.324733,[28 14] ; [10  7],[27.05084746 14.94915254] ; [10.94915254  6.05084746],0
s2,1,0.568777,0.324733,[14 28] ; [ 7 10],[14.94915254 27.05084746] ; [ 6.05084746 10.94915254],0
v3,1,0.583631,0.300402,[ 5 36] ; [ 3 14],[ 5.65517241 35.34482759] ; [ 2.34482759 14.65517241],0
n3,1,0.5891,0.291752,[14  3] ; [9 1],[14.48148148  2.51851852] ; [8.51851852 1.48148148],0
d3,1,0.597704,0.278473,[ 7 33] ; [ 4 13],[ 7.71929825 32.28070175] ; [ 3.28070175 13.71929825],0
a8,1,0.615138,0.25276,[ 4 36] ; [ 1 16],[ 3.50877193 36.49122807] ; [ 1.49122807 15.50877193],0
p4,1,0.643071,0.214749,[17 25] ; [8 9],[17.79661017 24.20338983] ; [7.20338983 9.79661017],0
b2,1,0.678088,0.172286,[ 3 16] ; [2 7],[ 3.39285714 15.60714286] ; [1.60714286 7.39285714],0
b3,1,0.678088,0.172286,[ 3 16] ; [2 7],[ 3.39285714 15.60714286] ; [1.60714286 7.39285714],0
a6,1,0.775952,0.080996,[19 23] ; [ 7 10],[18.50847458 23.49152542] ; [7.49152542 9.50847458],0
p2,1,0.791065,0.070187,[28 13] ; [11  6],[27.56896552 13.43103448] ; [11.43103448  5.56896552],0
a7,1,0.848667,0.036412,[23 18] ; [10  7],[23.32758621 17.67241379] ; [9.67241379 7.32758621],0
p5,1,0.89144,0.018627,[ 2 38] ; [ 1 16],[ 2.10526316 37.89473684] ; [ 0.89473684 16.10526316],0
s4,1,0.900444,0.01565,[ 8 34] ; [ 3 14],[ 7.83050847 34.16949153] ; [ 3.16949153 13.83050847],0
b4,1,0.905816,0.013999,[18 24] ; [ 7 10],[17.79661017 24.20338983] ; [7.20338983 9.79661017],0
p3,1,0.948534,0.004166,[12 30] ; [ 5 12],[12.10169492 29.89830508] ; [ 4.89830508 12.10169492],0
