Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.005407,7.738095,[ 7 17] ; [19  9],[12. 12.] ; [14. 14.],0
b1,1,0.01151,6.384903,[17  7] ; [10 18],[12.46153846 11.53846154] ; [14.53846154 13.46153846],0
s2,1,0.035875,4.403051,[11 13] ; [ 5 22],[ 7.52941176 16.47058824] ; [ 8.47058824 18.52941176],0
a6,1,0.042874,4.100378,[ 7 17] ; [16 12],[10.61538462 13.38461538] ; [12.38461538 15.61538462],0
p3,1,0.074203,3.1875,[11 13] ; [ 6 21],[ 8. 16.] ; [ 9. 18.],0
d5,1,0.113331,2.507143,[12 12] ; [20  8],[14.76923077  9.23076923] ; [17.23076923 10.76923077],0
n4,1,0.126922,2.329749,[17  7] ; [14 14],[14.30769231  9.69230769] ; [16.69230769 11.30769231],0
n5,1,0.126922,2.329749,[17  7] ; [14 14],[14.30769231  9.69230769] ; [16.69230769 11.30769231],0
b5,1,0.181681,1.783822,[11 13] ; [18 10],[13.38461538 10.61538462] ; [15.61538462 12.38461538],0
v3,1,0.198851,1.650794,[ 8 16] ; [ 5 23],[ 6. 18.] ; [ 7. 21.],0
d2,1,0.201513,1.631373,[10 14] ; [ 7 21],[ 7.84615385 16.15384615] ; [ 9.15384615 18.84615385],0
s1,1,0.228385,1.450893,[ 3 21] ; [ 1 27],[ 1.84615385 22.15384615] ; [ 2.15384615 25.84615385],0
s3,1,0.233953,1.416667,[10 14] ; [ 7 20],[ 8. 16.] ; [ 9. 18.],0
b4,1,0.283235,1.151502,[11 13] ; [17 11],[12.92307692 11.07692308] ; [15.07692308 12.92307692],0
s7,1,0.285201,1.142136,[ 8 15] ; [ 5 19],[ 6.36170213 16.63829787] ; [ 6.63829787 17.36170213],0
r1,1,0.306758,1.044581,[ 7 17] ; [12 16],[ 8.76923077 15.23076923] ; [10.23076923 17.76923077],0
s4,1,0.31335,1.016504,[ 5 19] ; [ 3 25],[ 3.69230769 20.30769231] ; [ 4.30769231 23.69230769],0
p5,1,0.31335,1.016504,[ 5 19] ; [ 3 25],[ 3.69230769 20.30769231] ; [ 4.30769231 23.69230769],0
v1,1,0.322409,0.979147,[10 14] ; [ 8 20],[ 8.30769231 15.69230769] ; [ 9.69230769 18.30769231],0
n1,1,0.329114,0.952381,[4 6] ; [2 8],[3. 7.] ; [3. 7.],0
n3,1,0.329114,0.952381,[6 4] ; [8 2],[7. 3.] ; [7. 3.],0
d4,1,0.33025,0.947917,[15  9] ; [21  7],[16.61538462  7.38461538] ; [19.38461538  8.61538462],0
p11,1,0.334564,0.931151,[17  7] ; [23  5],[18.46153846  5.53846154] ; [21.53846154  6.46153846],0
p12,1,0.377062,0.780258,[ 1 23] ; [ 3 25],[ 1.84615385 22.15384615] ; [ 2.15384615 25.84615385],0
p7,1,0.391691,0.733686,[14 10] ; [13 15],[12.46153846 11.53846154] ; [14.53846154 13.46153846],0
a5,1,0.415801,0.662152,[11 13] ; [16 12],[12.46153846 11.53846154] ; [14.53846154 13.46153846],0
u2,1,0.420113,0.65,[7 6] ; [9 4],[8. 5.] ; [8. 5.],0
p1,1,0.462833,0.539035,[ 2 22] ; [ 1 27],[ 1.38461538 22.61538462] ; [ 1.61538462 26.38461538],0
r4,1,0.4816,0.495238,[ 8 16] ; [12 16],[ 9.23076923 14.76923077] ; [10.76923077 17.23076923],0
p4,1,0.54789,0.361111,[14 10] ; [14 14],[12.92307692 11.07692308] ; [15.07692308 12.92307692],0
d1,1,0.570866,0.321236,[ 6 18] ; [ 9 19],[ 6.92307692 17.07692308] ; [ 8.07692308 19.92307692],0
a3,1,0.577973,0.309524,[11 13] ; [15 13],[12. 12.] ; [14. 14.],0
b2,1,0.59933,0.276008,[ 6 13] ; [ 3 10],[ 5.34375 13.65625] ; [3.65625 9.34375],0
b3,1,0.59933,0.276008,[ 6 13] ; [ 3 10],[ 5.34375 13.65625] ; [3.65625 9.34375],0
p8,1,0.606498,0.265306,[12 12] ; [12 16],[11.07692308 12.92307692] ; [12.92307692 15.07692308],0
n2,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
v2,1,0.642429,0.21558,[10 14] ; [13 14],[10.82352941 13.17647059] ; [12.17647059 14.82352941],0
a8,1,0.645586,0.21151,[ 3 19] ; [ 5 22],[ 3.59183673 18.40816327] ; [ 4.40816327 22.59183673],0
p6,1,0.668691,0.183137,[ 5 19] ; [ 7 20],[ 5.64705882 18.35294118] ; [ 6.35294118 20.64705882],0
u3,1,0.68017,0.169935,[4 9] ; [5 8],[4.5 8.5] ; [4.5 8.5],0
n6,1,0.690648,0.158385,[16  7] ; [18 10],[15.33333333  7.66666667] ; [18.66666667  9.33333333],0
p9,1,0.71154,0.136744,[18  6] ; [19  8],[17.41176471  6.58823529] ; [19.58823529  7.41176471],0
a4,1,0.722206,0.126389,[ 5 19] ; [ 7 21],[ 5.53846154 18.46153846] ; [ 6.46153846 21.53846154],0
p10,1,0.776011,0.080952,[16  8] ; [19  8],[16.47058824  7.52941176] ; [18.52941176  8.47058824],0
v4,1,0.816684,0.053737,[17  7] ; [19  9],[16.61538462  7.38461538] ; [19.38461538  8.61538462],0
a1,1,0.872405,0.025794,[ 2 22] ; [ 2 26],[ 1.84615385 22.15384615] ; [ 2.15384615 25.84615385],0
s5,1,0.909933,0.012797,[ 4 20] ; [ 5 23],[ 4.15384615 19.84615385] ; [ 4.84615385 23.15384615],0
s8,1,0.927308,0.008323,[ 8 16] ; [ 9 19],[ 7.84615385 16.15384615] ; [ 9.15384615 18.84615385],0
p2,1,0.962329,0.002231,[17  7] ; [20  8],[17.07692308  6.92307692] ; [19.92307692  8.07692308],0
s6,1,1.0,0.0,[12 12] ; [14 14],[12. 12.] ; [14. 14.],0
