Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,38.918129,[353   7] ; [65 15],[342.  18.] ; [76.  4.],1
p10,1,0.0,28.909619,[321  39] ; [53 28],[305.30612245  54.69387755] ; [68.69387755 12.30612245],1
p9,1,0.0,27.121039,[327  31] ; [56 24],[313.0456621  44.9543379] ; [69.9543379 10.0456621],1
p2,1,3.2e-05,17.304894,[316  45] ; [55 25],[303.6984127  57.3015873] ; [67.3015873 12.6984127],1
r4,1,0.000115,14.878725,[340  23] ; [65 16],[331.11486486  31.88513514] ; [73.88513514  7.11486486],1
p4,1,0.000523,12.030979,[259 101] ; [41 38],[246.01366743 113.98633257] ; [53.98633257 25.01366743],1
p7,1,0.000562,11.898305,[249 105] ; [39 39],[236. 118.] ; [52. 26.],1
n6,1,0.000783,11.281467,[333  27] ; [65 16],[324.89795918  35.10204082] ; [73.10204082  7.89795918],1
p8,1,0.003066,8.767754,[211 144] ; [33 47],[199.12643678 155.87356322] ; [44.87356322 35.12643678],0
v4,1,0.00509,7.84715,[347  13] ; [72  9],[342.04081633  17.95918367] ; [76.95918367  4.04081633],0
b1,1,0.006214,7.487149,[133 230] ; [43 38],[143.89189189 219.10810811] ; [32.10810811 48.89189189],0
n5,1,0.007652,7.113181,[324  37] ; [64 17],[316.8959276  44.1040724] ; [71.1040724  9.8959276],0
d2,1,0.012334,6.262184,[267  93] ; [69 10],[275.53530752  84.46469248] ; [60.46469248 18.53530752],0
v1,1,0.020735,5.348962,[214 137] ; [38 43],[204.75 146.25] ; [47.25 33.75],0
s1,1,0.029478,4.739482,[  9 347] ; [ 6 75],[ 12.21967963 343.78032037] ; [ 2.78032037 78.21967963],0
v2,1,0.037798,4.314072,[225 125] ; [42 39],[216.82134571 133.17865429] ; [50.17865429 30.82134571],0
n1,1,0.052481,3.760369,[18 36] ; [17 14],[22.23529412 31.76470588] ; [12.76470588 18.23529412],0
v3,1,0.05914,3.56134,[169 176] ; [29 49],[161.4893617 183.5106383] ; [36.5106383 41.4893617],0
p12,1,0.083123,3.002762,[ 41 319] ; [ 4 77],[ 36.73469388 323.26530612] ; [ 8.26530612 72.73469388],0
a4,1,0.142916,2.146279,[217 145] ; [55 25],[222.76923077 139.23076923] ; [49.23076923 30.76923077],0
r1,1,0.234311,1.414498,[312  49] ; [65 15],[308.60997732  52.39002268] ; [68.39002268 11.60997732],0
a3,1,0.239381,1.384237,[297  65] ; [70 10],[300.57466063  61.42533937] ; [66.42533937 13.57466063],0
p5,1,0.24497,1.351767,[ 54 306] ; [ 8 72],[ 50.72727273 309.27272727] ; [11.27272727 68.72727273],0
s8,1,0.289366,1.122569,[194 165] ; [38 42],[189.72209567 169.27790433] ; [42.27790433 37.72209567],0
s4,1,0.290324,1.118118,[ 50 305] ; [15 65],[ 53.04597701 301.95402299] ; [11.95402299 68.04597701],0
u1,1,0.292061,1.110098,[104 259] ; [28 53],[107.91891892 255.08108108] ; [24.08108108 56.91891892],0
u2,1,0.315456,1.007695,[40 25] ; [5 6],[38.48684211 26.51315789] ; [6.51315789 4.48684211],0
b4,1,0.319634,0.990444,[219 144] ; [44 37],[215.02027027 147.97972973] ; [47.97972973 33.02027027],0
a8,1,0.3282,0.955986,[ 53 268] ; [ 8 60],[ 50.33676093 270.66323907] ; [10.66323907 57.33676093],0
a2,1,0.370019,0.803602,[133 230] ; [34 47],[136.53378378 226.46621622] ; [30.46621622 50.53378378],0
r2,1,0.386931,0.748565,[346  11] ; [76  1],[347.12903226   9.87096774] ; [74.87096774  2.12903226],0
a5,1,0.418151,0.655507,[317  46] ; [68 13],[314.76351351  48.23648649] ; [70.23648649 10.76351351],0
a6,1,0.437248,0.603495,[268  93] ; [56 24],[265.2244898  95.7755102] ; [58.7755102 21.2244898],0
s2,1,0.437392,0.603114,[205 153] ; [42 38],[201.88584475 156.11415525] ; [45.11415525 34.88584475],0
s6,1,0.438905,0.599144,[248 107] ; [51 27],[245.13856813 109.86143187] ; [53.86143187 24.13856813],0
b2,1,0.461618,0.54197,[101 148] ; [16 30],[ 98.7559322 150.2440678] ; [18.2440678 27.7559322],0
b3,1,0.461618,0.54197,[101 148] ; [16 30],[ 98.7559322 150.2440678] ; [18.2440678 27.7559322],0
d3,1,0.464397,0.535276,[315  47] ; [72  8],[316.95475113  45.04524887] ; [70.04524887  9.95475113],0
n3,1,0.499439,0.456128,[41 14] ; [21 10],[39.65116279 15.34883721] ; [22.34883721  8.65116279],0
p3,1,0.526501,0.40114,[203 157] ; [42 38],[200.45454545 159.54545455] ; [44.54545455 35.45454545],0
s3,1,0.549949,0.357408,[212 142] ; [45 35],[209.62672811 144.37327189] ; [47.37327189 32.62672811],0
a7,1,0.554702,0.34896,[275  87] ; [59 22],[272.93002257  89.06997743] ; [61.06997743 19.93002257],0
p6,1,0.608475,0.262401,[151 205] ; [36 43],[153.03908046 202.96091954] ; [33.96091954 45.03908046],0
d4,1,0.613834,0.25463,[354   6] ; [78  2],[353.45454545   6.54545455] ; [78.54545455  1.45454545],0
d5,1,0.676082,0.17457,[354   7] ; [79  1],[354.45124717   6.54875283] ; [78.54875283  1.45124717],0
p1,1,0.689046,0.16012,[ 35 328] ; [ 9 72],[ 35.97297297 327.02702703] ; [ 8.02702703 72.97297297],0
u3,1,0.704344,0.143993,[40 26] ; [6 5],[39.42857143 26.57142857] ; [6.57142857 4.42857143],0
a1,1,0.724205,0.124499,[ 23 340] ; [ 6 75],[ 23.70945946 339.29054054] ; [ 5.29054054 75.70945946],0
b5,1,0.746015,0.10491,[217 146] ; [50 31],[218.29054054 144.70945946] ; [48.70945946 32.29054054],0
