Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,124.528302,[105  27] ; [ 70 238],[52.5 79.5] ; [122.5 185.5],1
s6,1,0.0,46.860632,[99 32] ; [121 183],[66.25287356 64.74712644] ; [153.74712644 150.25287356],1
s5,1,4.2e-05,16.787063,[44 85] ; [ 49 251],[ 27.96503497 101.03496503] ; [ 65.03496503 234.96503497],1
s8,1,0.000189,13.934726,[40 93] ; [ 46 265],[ 25.76126126 107.23873874] ; [ 60.23873874 250.76126126],1
p12,1,0.002251,9.332422,[ 13 119] ; [  9 299],[  6.6 125.4] ; [ 15.4 292.6],0
s4,1,0.007878,7.060999,[ 25 104] ; [ 31 277],[ 16.53089245 112.46910755] ; [ 39.46910755 268.53089245],0
p10,1,0.021024,5.324806,[107  24] ; [217  88],[97.34862385 33.65137615] ; [226.65137615  78.34862385],0
d4,1,0.021777,5.263484,[115  18] ; [240  72],[106.1011236  26.8988764] ; [248.8988764  63.1011236],0
a7,1,0.049291,3.86541,[105  26] ; [222  90],[96.69751693 34.30248307] ; [230.30248307  81.69751693],0
n3,1,0.072661,3.221852,[21 11] ; [62 14],[24.59259259  7.40740741] ; [58.40740741 17.59259259],0
n4,1,0.142863,2.146846,[82 51] ; [214  97],[88.66666667 44.33333333] ; [207.33333333 103.66666667],0
p4,1,0.159856,1.975586,[72 60] ; [145 162],[65.24829157 66.75170843] ; [151.75170843 155.24829157],0
p6,1,0.182939,1.773588,[41 89] ; [ 77 227],[35.34562212 94.65437788] ; [ 82.65437788 221.34562212],0
u1,1,0.221911,1.491969,[ 19 114] ; [ 32 280],[ 15.24269663 117.75730337] ; [ 35.75730337 276.24269663],0
v3,1,0.237848,1.393304,[44 82] ; [ 88 214],[38.85981308 87.14018692] ; [ 93.14018692 208.85981308],0
u3,1,0.255192,1.294657,[33 24] ; [59 62],[29.46067416 27.53932584] ; [62.53932584 58.46067416],0
p1,1,0.274986,1.191707,[  6 125] ; [ 23 288],[  8.59502262 122.40497738] ; [ 20.40497738 290.59502262],0
a3,1,0.283619,1.149669,[74 59] ; [190 121],[79.08108108 53.91891892] ; [184.91891892 126.08108108],0
u2,1,0.287414,1.131694,[32 26] ; [56 64],[28.6741573 29.3258427] ; [59.3258427 60.6741573],0
a4,1,0.294,1.101214,[46 87] ; [124 187],[50.92342342 82.07657658] ; [119.07657658 191.92342342],0
d1,1,0.365788,0.817924,[74 59] ; [159 153],[69.63820225 63.36179775] ; [163.36179775 148.63820225],0
v1,1,0.435622,0.607788,[64 64] ; [140 165],[60.30484988 67.69515012] ; [143.69515012 161.30484988],0
s1,1,0.488743,0.479292,[  2 129] ; [  8 299],[  2.99086758 128.00913242] ; [  7.00913242 299.99086758],0
a1,1,0.493091,0.469775,[  5 128] ; [  8 304],[  3.88539326 129.11460674] ; [  9.11460674 302.88539326],0
b4,1,0.499252,0.456526,[76 57] ; [189 123],[79.20224719 53.79775281] ; [185.79775281 126.20224719],0
p9,1,0.505637,0.443086,[105  25] ; [240  68],[102.39726027  27.60273973] ; [242.60273973  65.39726027],0
p3,1,0.518355,0.417165,[55 77] ; [119 191],[51.9638009 80.0361991] ; [122.0361991 187.9638009],0
p8,1,0.541821,0.372175,[59 73] ; [146 159],[61.9221968 70.0778032] ; [143.0778032 161.9221968],0
v4,1,0.566382,0.328774,[125   7] ; [290  21],[123.65688488   8.34311512] ; [291.34311512  19.65688488],0
a6,1,0.58313,0.301202,[89 44] ; [217  95],[91.45617978 41.54382022] ; [214.54382022  97.45617978],0
b2,1,0.586776,0.295407,[19 46] ; [ 55 112],[20.73275862 44.26724138] ; [ 53.26724138 113.73275862],0
b3,1,0.586776,0.295407,[19 46] ; [ 55 112],[20.73275862 44.26724138] ; [ 53.26724138 113.73275862],0
n2,1,0.61471,0.253372,[24  7] ; [56 21],[22.96296296  8.03703704] ; [57.03703704 19.96296296],0
d3,1,0.63412,0.226514,[88 44] ; [200 111],[85.81489842 46.18510158] ; [202.18510158 108.81489842],0
r2,1,0.640132,0.21857,[123   9] ; [283  25],[121.8  10.2] ; [284.2  23.8],0
a2,1,0.64576,0.211287,[ 25 108] ; [ 53 259],[ 23.31235955 109.68764045] ; [ 54.68764045 257.31235955],0
p11,1,0.670098,0.181488,[106  27] ; [243  69],[104.30786517  28.69213483] ; [244.69213483  67.30786517],0
n5,1,0.694618,0.154132,[84 48] ; [202 106],[85.8 46.2] ; [200.2 107.8],0
n6,1,0.7016,0.146812,[102  29] ; [248  64],[103.49887133  27.50112867] ; [246.50112867  65.49887133],0
