Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,5.8e-05,16.173588,[4 2] ; [75  1],[5.7804878 0.2195122] ; [73.2195122  2.7804878],1
n4,1,0.000505,12.096981,[3 3] ; [72  5],[5.42168675 0.57831325] ; [69.57831325  7.42168675],1
s3,1,0.011611,6.36935,[1 5] ; [51 24],[3.85185185 2.14814815] ; [48.14814815 26.85185185],0
n5,1,0.022686,5.192397,[4 2] ; [72  5],[5.4939759 0.5060241] ; [70.5060241  6.4939759],0
r4,1,0.022686,5.192397,[4 2] ; [72  5],[5.4939759 0.5060241] ; [70.5060241  6.4939759],0
r1,1,0.034845,4.452769,[3 3] ; [65 12],[4.91566265 1.08433735] ; [63.08433735 13.91566265],0
p4,1,0.043205,4.087364,[4 2] ; [70  6],[5.41463415 0.58536585] ; [68.58536585  7.41463415],0
s8,1,0.085782,2.951806,[2 4] ; [51 24],[3.92592593 2.07407407] ; [49.07407407 25.92592593],0
d1,1,0.106157,2.610515,[2 4] ; [51 26],[3.8313253 2.1686747] ; [49.1686747 27.8313253],0
d3,1,0.11206,2.524921,[2 4] ; [50 26],[3.80487805 2.19512195] ; [48.19512195 27.80487805],0
s2,1,0.129919,2.293474,[2 4] ; [49 27],[3.73170732 2.26829268] ; [47.26829268 28.73170732],0
s7,1,0.154949,2.022845,[3 3] ; [55 17],[4.46153846 1.53846154] ; [53.53846154 18.46153846],0
s6,1,0.164976,1.928013,[4 2] ; [62  9],[5.14285714 0.85714286] ; [60.85714286 10.14285714],0
a7,1,0.175827,1.832548,[3 3] ; [58 19],[4.40963855 1.59036145] ; [56.59036145 20.40963855],0
p6,1,0.213776,1.54567,[3 3] ; [56 20],[4.31707317 1.68292683] ; [54.68292683 21.31707317],0
v1,1,0.30289,1.061425,[3 3] ; [52 22],[4.125 1.875] ; [50.875 23.125],0
p12,1,0.3553,0.854439,[3 3] ; [24 52],[1.97560976 4.02439024] ; [25.02439024 50.97560976],0
r3,1,0.360989,0.834449,[5 1] ; [71  5],[5.56097561 0.43902439] ; [70.43902439  5.56097561],0
p3,1,0.374883,0.787414,[4 2] ; [62 14],[4.82926829 1.17073171] ; [61.17073171 14.82926829],0
d5,1,0.374883,0.787414,[4 2] ; [62 14],[4.82926829 1.17073171] ; [61.17073171 14.82926829],0
d2,1,0.396374,0.719298,[4 2] ; [37 39],[3. 3.] ; [38. 38.],0
n2,1,0.421317,0.646639,[1 1] ; [13  4],[1.47368421 0.52631579] ; [12.52631579  4.47368421],0
p1,1,0.421546,0.646002,[1 5] ; [25 52],[1.87951807 4.12048193] ; [24.12048193 52.87951807],0
v3,1,0.494398,0.466941,[3 3] ; [48 27],[3.77777778 2.22222222] ; [47.22222222 27.77777778],0
a4,1,0.525106,0.403853,[2 4] ; [36 41],[2.74698795 3.25301205] ; [35.25301205 41.74698795],0
a3,1,0.527351,0.399493,[4 2] ; [60 17],[4.62650602 1.37349398] ; [59.37349398 17.62650602],0
a6,1,0.566999,0.32773,[3 3] ; [47 29],[3.65853659 2.34146341] ; [46.34146341 29.65853659],0
p2,1,0.633862,0.22686,[5 1] ; [69  8],[5.34939759 0.65060241] ; [68.65060241  8.34939759],0
v2,1,0.678935,0.171327,[3 3] ; [44 31],[3.48148148 2.51851852] ; [43.51851852 31.48148148],0
u3,1,0.683406,0.166317,[1 1] ; [11  6],[1.26315789 0.73684211] ; [10.73684211  6.26315789],0
b1,1,0.693133,0.155714,[2 4] ; [32 45],[2.45783133 3.54216867] ; [31.54216867 45.45783133],0
a2,1,0.756722,0.095969,[1 5] ; [17 60],[1.30120482 4.69879518] ; [16.69879518 60.30120482],0
b5,1,0.781475,0.076949,[3 3] ; [34 43],[2.6746988 3.3253012] ; [34.3253012 42.6746988],0
u1,1,0.810003,0.057803,[1 5] ; [16 61],[1.22891566 4.77108434] ; [15.77108434 61.22891566],0
p7,1,0.818604,0.052597,[5 1] ; [65 10],[5.18518519 0.81481481] ; [64.81481481 10.18518519],0
b4,1,0.83278,0.044579,[4 2] ; [48 29],[3.75903614 2.24096386] ; [48.24096386 28.75903614],0
a1,1,0.873092,0.025514,[1 5] ; [11 66],[0.86746988 5.13253012] ; [11.13253012 65.86746988],0
d4,1,0.883674,0.021408,[5 1] ; [65 11],[5.12195122 0.87804878] ; [64.87804878 11.12195122],0
a8,1,0.927816,0.008207,[1 5] ; [11 61],[0.92307692 5.07692308] ; [11.07692308 60.92307692],0
n3,1,0.937193,0.006209,[1 1] ; [9 8],[1.05263158 0.94736842] ; [8.94736842 8.05263158],0
s5,1,0.94181,0.005328,[4 2] ; [47 22],[4.08 1.92] ; [46.92 22.08],0
