Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.007835,7.070707,[19  3] ; [2 4],[16.5  5.5] ; [4.5 1.5],0
d5,1,0.043676,4.069043,[61  8] ; [27 10],[57.28301887 11.71698113] ; [30.71698113  6.28301887],0
b5,1,0.049796,3.848315,[47 22] ; [18 19],[42.31132075 26.68867925] ; [22.68867925 14.31132075],0
s5,1,0.064771,3.410798,[27 40] ; [ 8 28],[22.76699029 44.23300971] ; [12.23300971 23.76699029],0
s2,1,0.081149,3.041742,[22 47] ; [ 6 31],[18.22641509 50.77358491] ; [ 9.77358491 27.22641509],0
a3,1,0.081149,3.041742,[47 22] ; [31  6],[50.77358491 18.22641509] ; [27.22641509  9.77358491],0
p6,1,0.088109,2.908597,[37 32] ; [13 23],[32.85714286 36.14285714] ; [17.14285714 18.85714286],0
n1,1,0.093028,2.821181,[ 3 13] ; [5 5],[ 4.92307692 11.07692308] ; [3.07692308 6.92307692],0
v3,1,0.113872,2.499648,[30 37] ; [22 14],[33.82524272 33.17475728] ; [18.17475728 17.82524272],0
r4,1,0.174278,1.845752,[65  4] ; [32  5],[63.14150943  5.85849057] ; [33.85849057  3.14150943],0
v2,1,0.178161,1.812899,[38 30] ; [25 11],[41.19230769 26.80769231] ; [21.80769231 14.19230769],0
p2,1,0.178253,1.812132,[52 17] ; [32  5],[54.67924528 14.32075472] ; [29.32075472  7.67924528],0
u1,1,0.190664,1.712481,[19 50] ; [ 6 31],[16.27358491 52.72641509] ; [ 8.72641509 28.27358491],0
p11,1,0.190664,1.712481,[50 19] ; [31  6],[52.72641509 16.27358491] ; [28.27358491  8.72641509],0
p12,1,0.229692,1.442766,[ 6 62] ; [ 1 36],[ 4.53333333 63.46666667] ; [ 2.46666667 34.53333333],0
p8,1,0.234464,1.413574,[33 33] ; [23 14],[35.88349515 30.11650485] ; [20.11650485 16.88349515],0
p4,1,0.245047,1.351321,[47 22] ; [21 16],[44.26415094 24.73584906] ; [23.73584906 13.26415094],0
a2,1,0.247074,1.339772,[18 51] ; [ 6 31],[15.62264151 53.37735849] ; [ 8.37735849 28.62264151],0
s7,1,0.31243,1.020375,[42 23] ; [19 16],[39.65 25.35] ; [21.35 13.65],0
n2,1,0.315266,1.008485,[8 8] ; [7 3],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
s4,1,0.326801,0.961532,[10 58] ; [ 3 34],[ 8.41904762 59.58095238] ; [ 4.58095238 32.41904762],0
b2,1,0.354311,0.857959,[20 27] ; [14 12],[21.89041096 25.10958904] ; [12.10958904 13.89041096],0
b3,1,0.354311,0.857959,[20 27] ; [14 12],[21.89041096 25.10958904] ; [12.10958904 13.89041096],0
n6,1,0.367003,0.813788,[57 12] ; [33  4],[58.58490566 10.41509434] ; [31.41509434  5.58490566],0
a8,1,0.368345,0.80924,[ 9 53] ; [ 7 25],[10.55319149 51.44680851] ; [ 5.44680851 26.55319149],0
a5,1,0.393297,0.728724,[57 12] ; [28  9],[55.33018868 13.66981132] ; [29.66981132  7.33018868],0
u3,1,0.410004,0.678788,[15  7] ; [3 3],[14.14285714  7.85714286] ; [3.85714286 2.14285714],0
p10,1,0.438847,0.599295,[59  9] ; [30  7],[57.63809524 10.36190476] ; [31.36190476  5.63809524],0
a1,1,0.473792,0.513119,[ 4 65] ; [ 1 36],[ 3.25471698 65.74528302] ; [ 1.74528302 35.25471698],0
p5,1,0.502881,0.448852,[ 8 61] ; [ 6 31],[ 9.11320755 59.88679245] ; [ 4.88679245 32.11320755],0
r3,1,0.518525,0.416826,[67  2] ; [35  2],[66.39622642  2.60377358] ; [35.60377358  1.39622642],0
p7,1,0.546175,0.364214,[48 20] ; [24 13],[46.62857143 21.37142857] ; [25.37142857 11.62857143],0
r1,1,0.553883,0.350407,[59 10] ; [30  7],[57.93396226 11.06603774] ; [31.06603774  5.93396226],0
b1,1,0.583247,0.301015,[28 41] ; [13 24],[26.68867925 42.31132075] ; [14.31132075 22.68867925],0
a6,1,0.594161,0.283892,[41 28] ; [20 17],[39.70754717 29.29245283] ; [21.29245283 15.70754717],0
n4,1,0.595679,0.281562,[57 12] ; [29  8],[55.98113208 13.01886792] ; [30.01886792  6.98113208],0
n3,1,0.609834,0.260417,[9 7] ; [6 3],[9.6 6.4] ; [5.4 3.6],0
p1,1,0.6479,0.208558,[ 4 65] ; [ 3 34],[ 4.55660377 64.44339623] ; [ 2.44339623 34.55660377],0
p3,1,0.663997,0.188704,[38 31] ; [22 15],[39.05660377 29.94339623] ; [20.94339623 16.05660377],0
d1,1,0.675292,0.175474,[40 29] ; [23 14],[41.00943396 27.99056604] ; [21.99056604 15.00943396],0
d4,1,0.73703,0.112754,[56 13] ; [31  6],[56.63207547 12.36792453] ; [30.36792453  6.63207547],0
r2,1,0.740345,0.109823,[62  6] ; [33  4],[61.52380952  6.47619048] ; [33.47619048  3.52380952],0
v4,1,0.806596,0.059936,[66  3] ; [35  2],[65.74528302  3.25471698] ; [35.25471698  1.74528302],0
n5,1,0.852468,0.034585,[51 18] ; [26 10],[50.6 18.4] ; [26.4  9.6],0
a4,1,0.853357,0.034165,[33 36] ; [17 20],[32.54716981 36.45283019] ; [17.45283019 19.54716981],0
d2,1,0.867852,0.027685,[38 31] ; [21 16],[38.40566038 30.59433962] ; [20.59433962 16.40566038],0
p9,1,0.883319,0.02154,[60  8] ; [33  4],[60.22857143  7.77142857] ; [32.77142857  4.22857143],0
b4,1,0.896365,0.016966,[42 27] ; [23 14],[42.31132075 26.68867925] ; [22.68867925 14.31132075],0
a7,1,0.939919,0.005681,[48 21] ; [26 11],[48.16981132 20.83018868] ; [25.83018868 11.16981132],0
s1,1,0.944138,0.00491,[ 2 66] ; [ 1 36],[ 1.94285714 66.05714286] ; [ 1.05714286 35.94285714],0
v1,1,0.949525,0.004007,[40 28] ; [22 15],[40.15238095 27.84761905] ; [21.84761905 15.15238095],0
d3,1,0.971047,0.001317,[45 24] ; [24 13],[44.91509434 24.08490566] ; [24.08490566 12.91509434],0
