Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000142,14.481914,[5 1] ; [ 3 25],[1.41176471 4.58823529] ; [ 6.58823529 21.41176471],1
s8,1,0.008903,6.842262,[5 3] ; [ 5 25],[2.10526316 5.89473684] ; [ 7.89473684 22.10526316],0
v2,1,0.019042,5.497661,[6 1] ; [11 19],[3.21621622 3.78378378] ; [13.78378378 16.21621622],0
a2,1,0.021887,5.254747,[3 5] ; [ 2 28],[1.05263158 6.94736842] ; [ 3.94736842 26.05263158],0
n3,1,0.038989,4.261364,[1 3] ; [9 2],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
d1,1,0.057669,3.603179,[5 3] ; [ 8 22],[2.73684211 5.26315789] ; [10.26315789 19.73684211],0
v1,1,0.057669,3.603179,[5 3] ; [ 8 22],[2.73684211 5.26315789] ; [10.26315789 19.73684211],0
p4,1,0.078132,3.103333,[6 2] ; [12 18],[3.78947368 4.21052632] ; [14.21052632 15.78947368],0
d3,1,0.10819,2.580456,[7 1] ; [17 13],[5.05263158 2.94736842] ; [18.94736842 11.05263158],0
p12,1,0.133276,2.253922,[2 6] ; [ 2 28],[0.84210526 7.15789474] ; [ 3.15789474 26.84210526],0
r1,1,0.133719,2.248792,[5 3] ; [10 20],[3.15789474 4.84210526] ; [11.84210526 18.15789474],0
d2,1,0.139487,2.183614,[4 4] ; [ 7 23],[2.31578947 5.68421053] ; [ 8.68421053 21.31578947],0
p10,1,0.153609,2.03604,[6 1] ; [17 13],[4.35135135 2.64864865] ; [18.64864865 11.35135135],0
u3,1,0.163165,1.944643,[3 1] ; [5 9],[1.77777778 2.22222222] ; [6.22222222 7.77777778],0
p9,1,0.199408,1.646703,[6 1] ; [18 12],[4.54054054 2.45945946] ; [19.45945946 10.54054054],0
n5,1,0.20638,1.596639,[6 2] ; [15 15],[4.42105263 3.57894737] ; [16.57894737 13.42105263],0
p11,1,0.248313,1.332772,[7 1] ; [20 10],[5.68421053 2.31578947] ; [21.31578947  8.68421053],0
s6,1,0.255445,1.293277,[5 3] ; [12 18],[3.57894737 4.42105263] ; [13.42105263 16.57894737],0
a4,1,0.289389,1.122462,[4 4] ; [ 9 21],[2.73684211 5.26315789] ; [10.26315789 19.73684211],0
d4,1,0.317916,0.9975,[7 1] ; [21  9],[5.89473684 2.10526316] ; [22.10526316  7.89473684],0
p6,1,0.326535,0.962592,[3 5] ; [ 6 23],[1.94594595 6.05405405] ; [ 7.05405405 21.94594595],0
r3,1,0.326535,0.962592,[5 3] ; [23  6],[6.05405405 1.94594595] ; [21.94594595  7.05405405],0
a6,1,0.345883,0.888502,[6 2] ; [17 13],[4.84210526 3.15789474] ; [18.15789474 11.84210526],0
s5,1,0.421357,0.646528,[2 6] ; [ 4 26],[1.26315789 6.73684211] ; [ 4.73684211 25.26315789],0
p8,1,0.423026,0.641893,[4 4] ; [10 19],[3.02702703 4.97297297] ; [10.97297297 18.02702703],0
p2,1,0.434519,0.610714,[6 2] ; [18 12],[5.05263158 2.94736842] ; [18.94736842 11.05263158],0
b5,1,0.493009,0.469952,[4 4] ; [19 11],[4.84210526 3.15789474] ; [18.15789474 11.84210526],0
u1,1,0.586682,0.295556,[1 7] ; [ 2 28],[0.63157895 7.36842105] ; [ 2.36842105 27.63157895],0
p7,1,0.64314,0.214659,[3 5] ; [14 16],[3.57894737 4.42105263] ; [13.42105263 16.57894737],0
r4,1,0.685117,0.164423,[3 5] ; [ 9 21],[2.52631579 5.47368421] ; [ 9.47368421 20.52631579],0
u2,1,0.6885,0.160714,[3 1] ; [9 5],[2.66666667 1.33333333] ; [9.33333333 4.66666667],0
a8,1,0.700803,0.147638,[1 6] ; [ 6 23],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
n6,1,0.766526,0.088163,[5 3] ; [17 13],[4.63157895 3.36842105] ; [17.36842105 12.63157895],0
b4,1,0.766526,0.088163,[5 3] ; [17 13],[4.63157895 3.36842105] ; [17.36842105 12.63157895],0
s3,1,0.771159,0.084599,[2 5] ; [ 7 23],[1.7027027 5.2972973] ; [ 7.2972973 22.7027027],0
a3,1,0.794944,0.067546,[4 4] ; [16 13],[4.32432432 3.67567568] ; [15.67567568 13.32432432],0
b2,1,0.80725,0.059524,[1 3] ; [ 5 11],[1.2 2.8] ; [ 4.8 11.2],0
b3,1,0.80725,0.059524,[1 3] ; [ 5 11],[1.2 2.8] ; [ 4.8 11.2],0
p5,1,0.862026,0.030205,[1 7] ; [ 3 26],[0.86486486 7.13513514] ; [ 3.13513514 25.86486486],0
n2,1,0.875996,0.024351,[2 2] ; [6 5],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
s2,1,0.877698,0.023682,[1 6] ; [ 5 25],[1.13513514 5.86486486] ; [ 4.86486486 25.13513514],0
a5,1,0.897724,0.016522,[5 3] ; [18 12],[4.84210526 3.15789474] ; [18.15789474 11.84210526],0
p3,1,0.959872,0.002531,[2 6] ; [ 7 22],[1.94594595 6.05405405] ; [ 7.05405405 21.94594595],0
v4,1,0.96537,0.001885,[5 3] ; [19 11],[5.05263158 2.94736842] ; [18.94736842 11.05263158],0
n4,1,1.0,0.0,[4 4] ; [15 15],[4. 4.] ; [15. 15.],0
b1,1,1.0,0.0,[4 4] ; [15 15],[4. 4.] ; [15. 15.],0
