Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000117,14.848413,[29  8] ; [ 2 10],[23.40816327 13.59183673] ; [7.59183673 4.40816327],1
n6,1,0.001817,9.725561,[30  7] ; [4 8],[25.67346939 11.32653061] ; [8.32653061 3.67346939],0
n2,1,0.002454,9.174553,[18  4] ; [1 5],[14.92857143  7.07142857] ; [4.07142857 1.92857143],0
a5,1,0.005561,7.68736,[26 11] ; [3 9],[21.89795918 15.10204082] ; [7.10204082 4.89795918],0
u3,1,0.027397,4.865608,[4 8] ; [6 1],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
d2,1,0.034877,4.451201,[19 18] ; [ 2 10],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
v2,1,0.047968,3.911111,[14 22] ; [ 1 11],[11.25 24.75] ; [3.75 8.25],0
s2,1,0.053974,3.713518,[14 23] ; [ 1 11],[11.32653061 25.67346939] ; [3.67346939 8.32653061],0
s3,1,0.056453,3.638631,[14 21] ; [ 1 10],[11.41304348 23.58695652] ; [3.58695652 7.41304348],0
p6,1,0.074117,3.189414,[13 24] ; [ 1 11],[10.57142857 26.42857143] ; [3.42857143 8.57142857],0
a6,1,0.079696,3.071082,[20 17] ; [3 9],[17.36734694 19.63265306] ; [5.63265306 6.36734694],0
a3,1,0.085192,2.962963,[25 11] ; [5 7],[22.5 13.5] ; [7.5 4.5],0
a7,1,0.110763,2.543305,[18 19] ; [9 3],[20.3877551 16.6122449] ; [6.6122449 5.3877551],0
v3,1,0.123658,2.37037,[11 25] ; [ 1 11],[ 9. 27.] ; [3. 9.],0
s6,1,0.13057,2.285714,[18 18] ; [3 9],[15.75 20.25] ; [5.25 6.75],0
a4,1,0.157299,2.0,[14 22] ; [ 2 10],[12. 24.] ; [4. 8.],0
s7,1,0.166091,1.917873,[14 20] ; [2 9],[12.08888889 21.91111111] ; [3.91111111 7.08888889],0
r4,1,0.174149,1.846864,[14 23] ; [ 2 10],[12.08163265 24.91836735] ; [3.91836735 8.08163265],0
s8,1,0.208209,1.583838,[13 23] ; [ 2 10],[11.25 24.75] ; [3.75 8.25],0
p4,1,0.232932,1.422868,[16 20] ; [3 9],[14.25 21.75] ; [4.75 7.25],0
d4,1,0.259709,1.270306,[21 16] ; [9 3],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
s5,1,0.348443,0.879121,[11 25] ; [ 2 10],[ 9.75 26.25] ; [3.25 8.75],0
n1,1,0.356981,0.848485,[12 10] ; [2 4],[11. 11.] ; [3. 3.],0
u2,1,0.361466,0.832792,[6 6] ; [5 2],[6.94736842 5.05263158] ; [4.05263158 2.94736842],0
p3,1,0.368688,0.808081,[10 26] ; [5 7],[11.25 24.75] ; [3.75 8.25],0
v1,1,0.416871,0.659119,[14 23] ; [3 9],[12.83673469 24.16326531] ; [4.16326531 7.83673469],0
r1,1,0.455714,0.5564,[20 17] ; [5 7],[18.87755102 18.12244898] ; [6.12244898 5.87755102],0
b5,1,0.543891,0.368375,[21 16] ; [8 4],[21.89795918 15.10204082] ; [7.10204082 4.89795918],0
d3,1,0.559775,0.340094,[18 19] ; [7 5],[18.87755102 18.12244898] ; [6.12244898 5.87755102],0
n3,1,0.600698,0.273945,[13  8] ; [3 3],[12.44444444  8.55555556] ; [3.55555556 2.44444444],0
a2,1,0.634295,0.226282,[ 5 32] ; [ 1 11],[ 4.53061224 32.46938776] ; [ 1.46938776 10.53061224],0
b1,1,0.656128,0.198261,[22 15] ; [8 4],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
d1,1,0.656128,0.198261,[15 22] ; [4 8],[14.34693878 22.65306122] ; [4.65306122 7.34693878],0
b4,1,0.683393,0.166332,[24 13] ; [7 5],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
s4,1,0.711322,0.13696,[ 8 29] ; [ 2 10],[ 7.55102041 29.44897959] ; [2.44897959 9.55102041],0
p2,1,0.730647,0.118519,[22 14] ; [8 4],[22.5 13.5] ; [7.5 4.5],0
p8,1,0.738005,0.111888,[17 19] ; [5 7],[16.5 19.5] ; [5.5 6.5],0
p10,1,0.778505,0.079111,[23 14] ; [8 4],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
p11,1,0.79565,0.067071,[17 20] ; [5 7],[16.6122449 20.3877551] ; [5.3877551 6.6122449],0
r2,1,0.80008,0.064133,[28  7] ; [10  2],[28.29787234  6.70212766] ; [9.70212766 2.29787234],0
p9,1,0.902418,0.015033,[22 12] ; [8 4],[22.17391304 11.82608696] ; [7.82608696 4.17391304],0
d5,1,0.909281,0.012984,[24 13] ; [8 4],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
p7,1,0.911385,0.012386,[13 21] ; [4 7],[12.84444444 21.15555556] ; [4.15555556 6.84444444],0
p1,1,0.980246,0.000613,[ 3 34] ; [ 1 11],[ 3.02040816 33.97959184] ; [ 0.97959184 11.02040816],0
