Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,34.185069,[278  81] ; [92 83],[248.74531835 110.25468165] ; [121.25468165  53.74531835],1
p11,1,0.0,27.330144,[316  44] ; [121  54],[294.05607477  65.94392523] ; [142.94392523  32.05607477],1
p3,1,4e-06,21.431833,[243 116] ; [82 93],[218.49250936 140.50749064] ; [106.50749064  68.49250936],1
p5,1,5.9e-05,16.1457,[ 65 295] ; [  9 164],[ 49.98123827 310.01876173] ; [ 24.01876173 148.98123827],1
p6,1,0.000183,14.001669,[196 161] ; [ 65 108],[175.80566038 181.19433962] ; [85.19433962 87.80566038],1
p2,1,0.000499,12.118331,[334  25] ; [145  29],[322.62851782  36.37148218] ; [156.37148218  17.62851782],1
n5,1,0.001967,9.58013,[292  67] ; [120  53],[278.02255639  80.97744361] ; [133.97744361  39.02255639],0
p12,1,0.002686,9.009197,[ 37 322] ; [  5 170],[ 28.23595506 330.76404494] ; [ 13.76404494 161.23595506],0
p10,1,0.003104,8.745416,[318  42] ; [136  37],[306.64165103  53.35834897] ; [147.35834897  25.64165103],0
p1,1,0.007555,7.135994,[ 42 315] ; [  8 167],[ 33.55263158 323.44736842] ; [ 16.44736842 158.55263158],0
s5,1,0.008243,6.97991,[149 199] ; [ 53 119],[135.18461538 212.81538462] ; [ 66.81538462 105.18461538],0
p9,1,0.011543,6.379692,[319  39] ; [142  33],[309.63977486  48.36022514] ; [151.36022514  23.63977486],0
n6,1,0.012641,6.218723,[319  36] ; [143  31],[310.03780718  44.96219282] ; [151.96219282  22.03780718],0
n4,1,0.019471,5.458735,[294  66] ; [126  47],[283.67729831  76.32270169] ; [136.32270169  36.67729831],0
a2,1,0.031491,4.625968,[ 82 278] ; [ 55 120],[ 92.18691589 267.81308411] ; [ 44.81308411 130.18691589],0
v3,1,0.037062,4.347545,[158 192] ; [ 60 109],[147.01348748 202.98651252] ; [70.98651252 98.01348748],0
d1,1,0.038394,4.287474,[229 131] ; [95 80],[218.01869159 141.98130841] ; [105.98130841  69.01869159],0
v1,1,0.051402,3.795119,[213 141] ; [87 83],[202.67175573 151.32824427] ; [97.32824427 72.67175573],0
s8,1,0.077527,3.115993,[183 174] ; [75 99],[173.45762712 183.54237288] ; [84.54237288 89.45762712],0
s6,1,0.084097,2.983891,[251  97] ; [112  61],[242.46449136 105.53550864] ; [120.53550864  52.46449136],0
a5,1,0.097816,2.740789,[275  85] ; [122  53],[267.14018692  92.85981308] ; [129.85981308  45.14018692],0
v4,1,0.099997,2.705599,[352   6] ; [167   7],[349.2518797   8.7481203] ; [169.7481203   4.2518797],0
r1,1,0.111238,2.536541,[307  51] ; [139  34],[300.69303202  57.30696798] ; [145.30696798  27.69303202],0
r4,1,0.111968,2.526218,[345  15] ; [162  13],[341.1588785  18.8411215] ; [165.8411215   9.1588785],0
b5,1,0.122357,2.386884,[201 159] ; [110  65],[209.27102804 150.72897196] ; [101.72897196  73.27102804],0
d3,1,0.128364,2.312178,[261  98] ; [114  58],[253.53107345 105.46892655] ; [121.46892655  50.53107345],0
a7,1,0.166574,1.913505,[268  91] ; [120  54],[261.3358349  97.6641651] ; [126.6641651  47.3358349],0
b4,1,0.230921,1.435179,[211 149] ; [93 82],[204.56074766 155.43925234] ; [99.43925234 75.56074766],0
s1,1,0.232954,1.422731,[  8 350] ; [  7 165],[ 10.13207547 347.86792453] ; [  4.86792453 167.13207547],0
u1,1,0.242565,1.365624,[ 63 297] ; [ 38 137],[ 67.96261682 292.03738318] ; [ 33.03738318 141.96261682],0
d4,1,0.252162,1.311286,[300  58] ; [138  35],[295.29943503  62.70056497] ; [142.70056497  30.29943503],0
d5,1,0.288566,1.126301,[299  59] ; [138  35],[294.6252354  63.3747646] ; [142.3747646  30.6252354],0
a4,1,0.294087,1.100816,[156 203] ; [84 90],[161.65103189 197.34896811] ; [78.34896811 95.65103189],0
u4,1,0.299366,1.077014,[  9 351] ; [  2 173],[  7.40186916 352.59813084] ; [  3.59813084 171.40186916],0
n3,1,0.304497,1.054394,[40 14] ; [38  8],[42.12 11.88] ; [35.88 10.12],0
r3,1,0.357133,0.847949,[347  11] ; [172   3],[348.59662289   9.40337711] ; [170.40337711   4.59662289],0
a6,1,0.361794,0.831658,[239 119] ; [123  51],[243.60150376 114.39849624] ; [118.39849624  55.60150376],0
b1,1,0.380556,0.768907,[138 222] ; [ 74 101],[142.65420561 217.34579439] ; [ 69.34579439 105.65420561],0
u2,1,0.382955,0.761195,[51 48] ; [25 17],[53.36170213 45.63829787] ; [22.63829787 19.36170213],0
s2,1,0.521476,0.410974,[189 169] ; [97 77],[192.45864662 165.54135338] ; [93.54135338 80.45864662],0
a1,1,0.545323,0.365762,[ 21 339] ; [  8 167],[ 19.51401869 340.48598131] ; [  9.48598131 165.51401869],0
s3,1,0.556023,0.346638,[208 147] ; [106  67],[211.11742424 143.88257576] ; [102.88257576  70.11742424],0
d2,1,0.563983,0.332854,[172 187] ; [88 86],[175.12195122 183.87804878] ; [84.87804878 89.12195122],0
n2,1,0.593507,0.2849,[44 11] ; [34 11],[42.9 12.1] ; [35.1  9.9],0
s7,1,0.619274,0.246889,[189 153] ; [90 80],[186.36328125 155.63671875] ; [92.63671875 77.36328125],0
a3,1,0.657636,0.196408,[261  97] ; [130  44],[263.11654135  94.88345865] ; [127.88345865  46.11654135],0
b2,1,0.662741,0.190211,[ 83 135] ; [47 69],[ 84.8502994 133.1497006] ; [45.1497006 70.8502994],0
b3,1,0.662741,0.190211,[ 83 135] ; [47 69],[ 84.8502994 133.1497006] ; [45.1497006 70.8502994],0
n1,1,0.725734,0.123064,[19 35] ; [14 30],[18.18367347 35.81632653] ; [14.81632653 29.18367347],0
