Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5.8e-05,16.151204,[ 4 11] ; [20  2],[9.72972973 5.27027027] ; [14.27027027  7.72972973],1
n6,1,0.01796,5.6,[ 4 11] ; [14  7],[7.5 7.5] ; [10.5 10.5],0
s3,1,0.049436,3.860482,[ 3 12] ; [11 10],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
p8,1,0.053309,3.734217,[7 7] ; [ 4 17],[4.4 9.6] ; [ 6.6 14.4],0
a6,1,0.055538,3.665861,[7 8] ; [17  5],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
a8,1,0.101981,2.674286,[ 2 13] ; [ 8 13],[ 4.16666667 10.83333333] ; [ 5.83333333 15.16666667],0
r3,1,0.171857,1.866667,[13  2] ; [14  7],[11.25  3.75] ; [15.75  5.25],0
d4,1,0.182227,1.779364,[12  3] ; [13  9],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
p4,1,0.182227,1.779364,[ 3 12] ; [ 9 13],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
s7,1,0.186832,1.742425,[5 9] ; [ 3 16],[ 3.39393939 10.60606061] ; [ 4.60606061 14.39393939],0
v3,1,0.198203,1.655568,[ 2 13] ; [ 7 15],[ 3.64864865 11.35135135] ; [ 5.35135135 16.64864865],0
b1,1,0.253995,1.301196,[6 9] ; [13  9],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
p10,1,0.256839,1.285714,[ 5 10] ; [11 10],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
s6,1,0.265114,1.241854,[7 8] ; [ 6 15],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
s2,1,0.278272,1.17551,[ 2 13] ; [ 6 15],[ 3.33333333 11.66666667] ; [ 4.66666667 16.33333333],0
b2,1,0.28255,1.154783,[4 7] ; [ 2 10],[2.86956522 8.13043478] ; [3.13043478 8.86956522],0
b3,1,0.28255,1.154783,[4 7] ; [ 2 10],[2.86956522 8.13043478] ; [3.13043478 8.86956522],0
b4,1,0.29158,1.112314,[10  5] ; [18  4],[11.35135135  3.64864865] ; [16.64864865  5.35135135],0
u2,1,0.303052,1.060714,[1 4] ; [3 3],[1.81818182 3.18181818] ; [2.18181818 3.81818182],0
p3,1,0.311898,1.022623,[ 2 13] ; [ 6 16],[ 3.24324324 11.75675676] ; [ 4.75675676 17.24324324],0
s8,1,0.311898,1.022623,[ 2 13] ; [ 6 16],[ 3.24324324 11.75675676] ; [ 4.75675676 17.24324324],0
