Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,8.9e-05,15.352786,[15  4] ; [10 30],[ 8.05084746 10.94915254] ; [16.94915254 23.05084746],1
s5,1,0.000378,12.637017,[ 9 10] ; [ 3 37],[ 3.86440678 15.13559322] ; [ 8.13559322 31.86440678],1
s6,1,0.002654,9.030964,[10  8] ; [ 7 34],[ 5.18644068 12.81355932] ; [11.81355932 29.18644068],0
n6,1,0.003567,8.492266,[14  4] ; [15 26],[8.84745763 9.15254237] ; [20.15254237 20.84745763],0
p8,1,0.004859,7.931163,[9 9] ; [ 6 34],[ 4.65517241 13.34482759] ; [10.34482759 29.65517241],0
p5,1,0.005309,7.771065,[ 5 14] ; [ 1 38],[ 1.96551724 17.03448276] ; [ 4.03448276 34.96551724],0
p10,1,0.007594,7.126784,[13  6] ; [13 28],[ 8.23333333 10.76666667] ; [17.76666667 23.23333333],0
p9,1,0.010677,6.518281,[13  5] ; [14 25],[8.52631579 9.47368421] ; [18.47368421 20.52631579],0
p7,1,0.012882,6.18519,[9 8] ; [ 8 32],[ 5.07017544 11.92982456] ; [11.92982456 28.07017544],0
p4,1,0.013568,6.093476,[ 9 10] ; [ 7 34],[ 5.06666667 13.93333333] ; [10.93333333 30.06666667],0
b5,1,0.021485,5.286998,[13  6] ; [15 26],[ 8.86666667 10.13333333] ; [19.13333333 21.86666667],0
v4,1,0.047661,3.921889,[14  5] ; [19 22],[10.45  8.55] ; [22.55 18.45],0
s2,1,0.052092,3.772809,[ 7 12] ; [ 6 35],[ 4.11666667 14.88333333] ; [ 8.88333333 32.11666667],0
p6,1,0.056626,3.633548,[ 4 15] ; [ 2 38],[ 1.93220339 17.06779661] ; [ 4.06779661 35.93220339],0
u2,1,0.058274,3.585835,[5 4] ; [ 3 13],[2.88 6.12] ; [ 5.12 10.88],0
s7,1,0.073405,3.205184,[ 7 10] ; [ 7 31],[ 4.32727273 12.67272727] ; [ 9.67272727 28.32727273],0
b1,1,0.082617,3.012654,[ 8 11] ; [27 14],[11.08333333  7.91666667] ; [23.91666667 17.08333333],0
r4,1,0.094711,2.792419,[ 5 14] ; [ 4 37],[ 2.85 16.15] ; [ 6.15 34.85],0
a5,1,0.100615,2.695764,[14  5] ; [21 20],[11.08333333  7.91666667] ; [23.91666667 17.08333333],0
b2,1,0.113153,2.50963,[ 3 12] ; [12 15],[5.35714286 9.64285714] ; [ 9.64285714 17.35714286],0
b3,1,0.113153,2.50963,[ 3 12] ; [12 15],[5.35714286 9.64285714] ; [ 9.64285714 17.35714286],0
s8,1,0.141855,2.157721,[ 5 13] ; [ 5 36],[ 3.05084746 14.94915254] ; [ 6.94915254 34.05084746],0
a1,1,0.150467,2.067507,[ 1 18] ; [ 8 33],[ 2.85 16.15] ; [ 6.15 34.85],0
p3,1,0.165071,1.927145,[ 7 12] ; [ 8 32],[ 4.83050847 14.16949153] ; [10.16949153 29.83050847],0
s3,1,0.170639,1.877324,[8 9] ; [11 28],[ 5.76785714 11.23214286] ; [13.23214286 25.76785714],0
b4,1,0.21101,1.564484,[13  6] ; [21 20],[10.76666667  8.23333333] ; [23.23333333 17.76666667],0
r2,1,0.251417,1.315415,[15  4] ; [25 14],[13.10344828  5.89655172] ; [26.89655172 12.10344828],0
v3,1,0.287372,1.131892,[ 2 17] ; [ 9 32],[ 3.48333333 15.51666667] ; [ 7.51666667 33.48333333],0
d1,1,0.303223,1.059967,[ 4 15] ; [14 27],[ 5.7 13.3] ; [12.3 28.7],0
u3,1,0.317113,1.000817,[4 5] ; [ 4 12],[2.88 6.12] ; [ 5.12 10.88],0
p1,1,0.371419,0.798913,[ 4 15] ; [ 5 36],[ 2.85 16.15] ; [ 6.15 34.85],0
a3,1,0.401942,0.702509,[10  9] ; [25 14],[11.46551724  7.53448276] ; [23.53448276 15.46551724],0
s4,1,0.405079,0.693196,[ 5 14] ; [ 7 34],[ 3.8 15.2] ; [ 8.2 32.8],0
n2,1,0.451587,0.566667,[6 4] ; [11 13],[5. 5.] ; [12. 12.],0
a4,1,0.465564,0.532486,[ 5 14] ; [14 25],[ 6.22413793 12.77586207] ; [12.77586207 26.22413793],0
d2,1,0.470904,0.519854,[ 9 10] ; [15 25],[ 7.72881356 11.27118644] ; [16.27118644 23.72881356],0
s1,1,0.498278,0.458602,[ 3 16] ; [ 4 37],[ 2.21666667 16.78333333] ; [ 4.78333333 36.21666667],0
n5,1,0.544148,0.367905,[14  5] ; [27 14],[12.98333333  6.01666667] ; [28.01666667 12.98333333],0
a2,1,0.558047,0.343097,[ 1 18] ; [ 4 37],[ 1.58333333 17.41666667] ; [ 3.41666667 37.58333333],0
n4,1,0.577723,0.30993,[13  6] ; [25 16],[12.03333333  6.96666667] ; [25.96666667 15.03333333],0
a6,1,0.650154,0.205706,[10  9] ; [19 22],[9.18333333 9.81666667] ; [19.81666667 21.18333333],0
a7,1,0.758981,0.094138,[ 8 11] ; [19 22],[ 8.55 10.45] ; [18.45 22.55],0
d4,1,0.758981,0.094138,[11  8] ; [22 19],[10.45  8.55] ; [22.55 18.45],0
d5,1,0.781375,0.077022,[10  9] ; [20 21],[9.5 9.5] ; [20.5 20.5],0
r1,1,0.820734,0.051348,[ 8 11] ; [16 25],[ 7.6 11.4] ; [16.4 24.6],0
n1,1,0.824479,0.04919,[5 5] ; [11 13],[4.70588235 5.29411765] ; [11.29411765 12.70588235],0
v1,1,0.85583,0.033009,[ 6 13] ; [12 29],[ 5.7 13.3] ; [12.3 28.7],0
n3,1,0.908575,0.013187,[5 5] ; [11 12],[4.84848485 5.15151515] ; [11.15151515 11.84848485],0
d3,1,0.918902,0.010367,[ 9 10] ; [20 21],[9.18333333 9.81666667] ; [19.81666667 21.18333333],0
