Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.007262,7.2071,[37  5] ; [21 13],[32.05263158  9.94736842] ; [25.94736842  8.05263158],0
d2,1,0.059176,3.560328,[16 27] ; [ 6 28],[12.28571429 30.71428571] ; [ 9.71428571 24.28571429],0
u3,1,0.059613,3.54812,[10 10] ; [ 4 15],[ 7.17948718 12.82051282] ; [ 6.82051282 12.17948718],0
s3,1,0.06987,3.286069,[21 20] ; [10 23],[17.17567568 23.82432432] ; [13.82432432 19.17567568],0
d1,1,0.106396,2.606952,[18 26] ; [ 8 26],[14.66666667 29.33333333] ; [11.33333333 22.66666667],0
b1,1,0.152582,2.046242,[20 24] ; [21 13],[23.12820513 20.87179487] ; [17.87179487 16.12820513],0
p10,1,0.164142,1.935646,[32 12] ; [19 14],[29.14285714 14.85714286] ; [21.85714286 11.14285714],0
p4,1,0.170675,1.877005,[19 25] ; [20 14],[22. 22.] ; [17. 17.],0
p9,1,0.189927,1.718182,[34 10] ; [21 12],[31.42857143 12.57142857] ; [23.57142857  9.42857143],0
s5,1,0.222048,1.491083,[11 31] ; [ 5 29],[ 8.84210526 33.15789474] ; [ 7.15789474 26.84210526],0
b5,1,0.226746,1.461157,[28 16] ; [17 17],[25.38461538 18.61538462] ; [19.61538462 14.38461538],0
d5,1,0.245836,1.346812,[29 15] ; [18 16],[26.51282051 17.48717949] ; [20.48717949 13.51282051],0
a3,1,0.308014,1.039172,[24 19] ; [15 19],[21.77922078 21.22077922] ; [17.22077922 16.77922078],0
p6,1,0.31041,1.028932,[15 29] ; [ 8 26],[12.97435897 31.02564103] ; [10.02564103 23.97435897],0
a4,1,0.31041,1.028932,[15 29] ; [ 8 26],[12.97435897 31.02564103] ; [10.02564103 23.97435897],0
n1,1,0.329131,0.952315,[ 6 10] ; [ 4 14],[ 4.70588235 11.29411765] ; [ 5.29411765 12.70588235],0
s2,1,0.337361,0.920436,[19 24] ; [11 22],[16.97368421 26.02631579] ; [13.02631579 19.97368421],0
b4,1,0.340974,0.906766,[28 16] ; [18 16],[25.94871795 18.05128205] ; [20.05128205 13.94871795],0
r1,1,0.355124,0.855064,[11 32] ; [12 22],[12.84415584 30.15584416] ; [10.15584416 23.84415584],0
a1,1,0.411064,0.675722,[ 1 43] ; [ 2 32],[ 1.69230769 42.30769231] ; [ 1.30769231 32.69230769],0
a7,1,0.414094,0.667016,[23 20] ; [15 19],[21.22077922 21.77922078] ; [16.77922078 17.22077922],0
v3,1,0.435401,0.608373,[11 33] ; [ 6 28],[ 9.58974359 34.41025641] ; [ 7.41025641 26.58974359],0
p1,1,0.441434,0.592553,[ 3 41] ; [ 1 33],[ 2.25641026 41.74358974] ; [ 1.74358974 32.25641026],0
v1,1,0.448718,0.573888,[18 23] ; [12 22],[16.4 24.6] ; [13.6 20.4],0
v2,1,0.502413,0.449836,[18 24] ; [12 22],[16.57894737 25.42105263] ; [13.42105263 20.57894737],0
u2,1,0.51583,0.422222,[11  8] ; [ 9 10],[10.  9.] ; [10.  9.],0
s7,1,0.548531,0.359955,[17 23] ; [11 20],[15.77464789 24.22535211] ; [12.22535211 18.77464789],0
n4,1,0.564062,0.33272,[23 21] ; [20 14],[24.25641026 19.74358974] ; [18.74358974 15.25641026],0
p8,1,0.571462,0.320243,[15 28] ; [14 20],[16.19480519 26.80519481] ; [12.80519481 21.19480519],0
a2,1,0.597966,0.278075,[ 4 40] ; [ 2 32],[ 3.38461538 40.61538462] ; [ 2.61538462 31.38461538],0
d4,1,0.604164,0.268761,[29 14] ; [21 13],[27.92207792 15.07792208] ; [22.07792208 11.92207792],0
s6,1,0.609582,0.260784,[21 21] ; [15 19],[19.89473684 22.10526316] ; [16.10526316 17.89473684],0
n6,1,0.609776,0.260501,[31 12] ; [22 11],[29.98684211 13.01315789] ; [23.01315789  9.98684211],0
d3,1,0.611631,0.257807,[24 19] ; [17 17],[22.8961039 20.1038961] ; [18.1038961 15.8961039],0
b2,1,0.685167,0.164367,[ 7 17] ; [ 5 16],[ 6.4 17.6] ; [ 5.6 15.4],0
b3,1,0.685167,0.164367,[ 7 17] ; [ 5 16],[ 6.4 17.6] ; [ 5.6 15.4],0
s8,1,0.707837,0.140447,[11 32] ; [10 24],[11.72727273 31.27272727] ; [ 9.27272727 24.72727273],0
s4,1,0.744292,0.10639,[ 9 35] ; [ 8 26],[ 9.58974359 34.41025641] ; [ 7.41025641 26.58974359],0
n5,1,0.747379,0.103747,[25 18] ; [21 13],[25.68831169 17.31168831] ; [20.31168831 13.68831169],0
p3,1,0.76199,0.091729,[17 27] ; [12 22],[16.35897436 27.64102564] ; [12.64102564 21.35897436],0
u1,1,0.790671,0.070458,[ 2 42] ; [ 2 32],[ 2.25641026 41.74358974] ; [ 1.74358974 32.25641026],0
n2,1,0.799681,0.064394,[10  6] ; [12  6],[10.35294118  5.64705882] ; [11.64705882  6.35294118],0
