Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001679,9.870968,[74 28] ; [81 72],[62. 40.] ; [93. 60.],0
p11,1,0.003634,8.458059,[75 27] ; [85 68],[64. 38.] ; [96. 57.],0
s5,1,0.011185,6.435692,[15 79] ; [ 45 103],[23.30578512 70.69421488] ; [ 36.69421488 111.30578512],0
s7,1,0.015222,5.890595,[40 56] ; [ 39 107],[31.33884298 64.66115702] ; [47.66115702 98.33884298],0
a4,1,0.019442,5.461304,[46 56] ; [ 47 106],[37.2 64.8] ; [55.8 97.2],0
a8,1,0.027176,4.879583,[10 84] ; [  5 138],[ 5.94936709 88.05063291] ; [  9.05063291 133.94936709],0
a3,1,0.03616,4.389563,[71 31] ; [86 66],[63.04724409 38.95275591] ; [93.95275591 58.04724409],0
a2,1,0.037347,4.334526,[21 81] ; [ 17 136],[15.2 86.8] ; [ 22.8 130.2],0
r4,1,0.040831,4.183007,[88 14] ; [116  37],[81.6 20.4] ; [122.4  30.6],0
r1,1,0.049595,3.855095,[80 22] ; [102  50],[73.08661417 28.91338583] ; [108.91338583  43.08661417],0
s8,1,0.053485,3.728709,[37 65] ; [ 38 114],[30.11811024 71.88188976] ; [ 44.88188976 107.11811024],0
n3,1,0.05993,3.539307,[19  3] ; [37 20],[15.59493671  6.40506329] ; [40.40506329 16.59493671],0
b1,1,0.073947,3.193163,[46 56] ; [ 52 101],[39.2 62.8] ; [58.8 94.2],0
p3,1,0.077098,3.125033,[44 58] ; [ 49 103],[37.34645669 64.65354331] ; [55.65354331 96.34645669],0
p6,1,0.090155,2.871603,[31 69] ; [ 32 117],[25.30120482 74.69879518] ; [ 37.69879518 111.30120482],0
v2,1,0.117472,2.450704,[55 45] ; [65 80],[48.97959184 51.02040816] ; [71.02040816 73.97959184],0
d2,1,0.130799,2.282991,[47 55] ; [56 97],[41.2 60.8] ; [61.8 91.2],0
p4,1,0.207286,1.590284,[47 54] ; [59 94],[42.1496063 58.8503937] ; [63.8503937 89.1496063],0
s4,1,0.227977,1.453439,[17 85] ; [ 35 118],[20.8 81.2] ; [ 31.2 121.8],0
a6,1,0.250146,1.322489,[66 36] ; [88 65],[61.6 40.4] ; [92.4 60.6],0
r3,1,0.264429,1.245421,[96  6] ; [138  15],[93.6  8.4] ; [140.4  12.6],0
u1,1,0.27206,1.206332,[13 89] ; [ 13 140],[10.4 91.6] ; [ 15.6 137.4],0
u3,1,0.284889,1.143617,[16 15] ; [41 24],[18.40625 12.59375] ; [38.59375 26.40625],0
s6,1,0.28874,1.125488,[49 52] ; [83 67],[53.11553785 47.88446215] ; [78.88446215 71.11553785],0
p2,1,0.316525,1.003252,[77 25] ; [106  46],[73.48818898 28.51181102] ; [109.51181102  42.48818898],0
p8,1,0.325577,0.966409,[35 66] ; [62 90],[38.72332016 62.27667984] ; [58.27667984 93.72332016],0
b4,1,0.345042,0.891608,[66 36] ; [90 63],[62.4 39.6] ; [93.6 59.4],0
p12,1,0.345404,0.890271,[ 4 97] ; [  3 149],[ 2.7944664 98.2055336] ; [  4.2055336 147.7944664],0
v3,1,0.368826,0.807616,[28 70] ; [ 34 111],[25.00411523 72.99588477] ; [ 36.99588477 108.00411523],0
n6,1,0.408125,0.684255,[65 37] ; [89 63],[61.84251969 40.15748031] ; [92.15748031 59.84251969],0
d5,1,0.425884,0.634022,[79 23] ; [111  41],[76.2992126 25.7007874] ; [113.7007874  38.2992126],0
b2,1,0.452948,0.563265,[22 47] ; [18 51],[20. 49.] ; [20. 49.],0
b3,1,0.452948,0.563265,[22 47] ; [18 51],[20. 49.] ; [20. 49.],0
v4,1,0.459587,0.546901,[92  9] ; [134  18],[90.22134387 10.77865613] ; [135.77865613  16.22134387],0
d4,1,0.471883,0.517562,[85 17] ; [122  31],[82.8 19.2] ; [124.2  28.8],0
n1,1,0.489695,0.477196,[ 5 18] ; [17 41],[ 6.24691358 16.75308642] ; [15.75308642 42.24691358],0
r2,1,0.491749,0.472698,[90  9] ; [134  18],[88.35059761 10.64940239] ; [135.64940239  16.35059761],0
v1,1,0.568121,0.325836,[39 60] ; [53 95],[36.87449393 62.12550607] ; [55.12550607 92.87449393],0
s2,1,0.571252,0.320592,[38 63] ; [63 90],[40.16141732 60.83858268] ; [60.83858268 92.16141732],0
u2,1,0.584392,0.299188,[19 12] ; [36 29],[17.76041667 13.23958333] ; [37.23958333 27.76041667],0
d3,1,0.592625,0.286263,[73 29] ; [104  48],[71.07874016 30.92125984] ; [105.92125984  46.07874016],0
a7,1,0.717693,0.130714,[71 31] ; [109  43],[72.28346457 29.71653543] ; [107.71653543  44.28346457],0
p7,1,0.722863,0.125766,[54 48] ; [76 74],[52.61904762 49.38095238] ; [77.38095238 72.61904762],0
s3,1,0.741773,0.108574,[48 51] ; [70 81],[46.728 52.272] ; [71.272 79.728],0
n2,1,0.749795,0.101704,[15  8] ; [35 22],[14.375  8.625] ; [35.625 21.375],0
d1,1,0.798179,0.065385,[53 49] ; [77 76],[52. 50.] ; [78. 75.],0
a1,1,0.801295,0.063338,[ 4 98] ; [  7 146],[ 4.4 97.6] ; [  6.6 146.4],0
b5,1,0.833168,0.044369,[64 38] ; [94 59],[63.2 38.8] ; [94.8 58.2],0
p1,1,0.851348,0.035119,[ 8 93] ; [ 11 140],[ 7.61507937 93.38492063] ; [ 11.38492063 139.61507937],0
p9,1,0.884235,0.0212,[68 33] ; [99 50],[67.468 33.532] ; [99.532 49.468],0
p10,1,0.89071,0.01888,[61 41] ; [91 59],[61.52380952 40.47619048] ; [90.47619048 59.52380952],0
s1,1,0.907471,0.013509,[ 5 97] ; [  8 145],[ 5.2 96.8] ; [  7.8 145.2],0
