Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001475,10.109582,[ 6 35] ; [14 14],[11.88405797 29.11594203] ; [ 8.11594203 19.88405797],0
u2,1,0.050088,3.838503,[ 3 16] ; [5 5],[ 5.24137931 13.75862069] ; [2.75862069 7.24137931],0
r2,1,0.050624,3.82068,[18 20] ; [20  8],[21.87878788 16.12121212] ; [16.12121212 11.87878788],0
r3,1,0.06024,3.530769,[21 19] ; [21  7],[24.70588235 15.29411765] ; [17.29411765 10.70588235],0
d4,1,0.082996,3.005226,[24 17] ; [22  6],[27.33333333 13.66666667] ; [18.66666667  9.33333333],0
p1,1,0.085399,2.95904,[ 7 34] ; [ 1 27],[ 4.75362319 36.24637681] ; [ 3.24637681 24.75362319],0
p8,1,0.093369,2.81531,[ 6 34] ; [ 9 19],[ 8.82352941 31.17647059] ; [ 6.17647059 21.82352941],0
n5,1,0.1263,2.337398,[28 13] ; [14 14],[24.95652174 16.04347826] ; [17.04347826 10.95652174],0
b5,1,0.170178,1.881373,[23 18] ; [11 17],[20.20289855 20.79710145] ; [13.79710145 14.20289855],0
s1,1,0.173243,1.854654,[ 2 39] ; [ 4 24],[ 3.56521739 37.43478261] ; [ 2.43478261 25.56521739],0
a4,1,0.187719,1.735431,[11 29] ; [12 16],[13.52941176 26.47058824] ; [ 9.47058824 18.52941176],0
a5,1,0.203567,1.616598,[20 21] ; [18 10],[22.57971014 18.42028986] ; [15.42028986 12.57971014],0
s5,1,0.205602,1.602127,[ 4 35] ; [ 6 22],[ 5.82089552 33.17910448] ; [ 4.17910448 23.82089552],0
a6,1,0.240545,1.377395,[22 19] ; [11 17],[19.60869565 21.39130435] ; [13.39130435 14.60869565],0
v2,1,0.244744,1.353061,[13 27] ; [13 15],[15.29411765 24.70588235] ; [10.70588235 17.29411765],0
s6,1,0.257637,1.281409,[11 29] ; [11 16],[13.13432836 26.86567164] ; [ 8.86567164 18.13432836],0
p2,1,0.267635,1.228827,[15 26] ; [14 14],[17.23188406 23.76811594] ; [11.76811594 16.23188406],0
a7,1,0.280031,1.166937,[18 23] ; [16 12],[20.20289855 20.79710145] ; [13.79710145 14.20289855],0
a3,1,0.286227,1.137282,[22 19] ; [18  9],[24.11764706 16.88235294] ; [15.88235294 11.11764706],0
p9,1,0.294904,1.097097,[21 18] ; [11 16],[18.90909091 20.09090909] ; [13.09090909 13.90909091],0
d5,1,0.325688,0.965966,[23 18] ; [19  9],[24.95652174 16.04347826] ; [17.04347826 10.95652174],0
b1,1,0.436223,0.606199,[21 20] ; [17 11],[22.57971014 18.42028986] ; [15.42028986 12.57971014],0
s3,1,0.436498,0.605472,[14 26] ; [12 15],[15.52238806 24.47761194] ; [10.47761194 16.52238806],0
b4,1,0.463426,0.537608,[27 14] ; [16 12],[25.55072464 15.44927536] ; [17.44927536 10.55072464],0
s8,1,0.464673,0.534614,[ 6 35] ; [ 6 22],[ 7.13043478 33.86956522] ; [ 4.86956522 23.13043478],0
v1,1,0.470563,0.520654,[11 29] ; [10 18],[12.35294118 27.64705882] ; [ 8.64705882 19.35294118],0
u3,1,0.481915,0.494526,[ 2 17] ; [2 8],[ 2.62068966 16.37931034] ; [1.37931034 8.62068966],0
v3,1,0.484477,0.488769,[10 30] ; [ 5 23],[ 8.82352941 31.17647059] ; [ 6.17647059 21.82352941],0
u1,1,0.51325,0.427436,[ 3 38] ; [ 1 27],[ 2.37681159 38.62318841] ; [ 1.62318841 26.37681159],0
p10,1,0.516852,0.42017,[18 22] ; [10 17],[16.71641791 23.28358209] ; [11.28358209 15.71641791],0
n3,1,0.567996,0.326048,[8 6] ; [6 7],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
a8,1,0.577121,0.310913,[ 7 34] ; [ 3 22],[ 6.21212121 34.78787879] ; [ 3.78787879 21.21212121],0
s7,1,0.589707,0.290801,[ 9 30] ; [ 7 17],[ 9.9047619 29.0952381] ; [ 6.0952381 17.9047619],0
s2,1,0.631819,0.229602,[10 31] ; [ 8 19],[10.85294118 30.14705882] ; [ 7.14705882 19.85294118],0
p7,1,0.632852,0.228213,[11 30] ; [ 9 19],[11.88405797 29.11594203] ; [ 8.11594203 19.88405797],0
p4,1,0.632852,0.228213,[11 30] ; [ 9 19],[11.88405797 29.11594203] ; [ 8.11594203 19.88405797],0
n6,1,0.656424,0.197897,[22 19] ; [13 14],[21.10294118 19.89705882] ; [13.89705882 13.10294118],0
b3,1,0.683135,0.166618,[11 17] ; [ 6 12],[10.34782609 17.65217391] ; [ 6.65217391 11.34782609],0
b2,1,0.683135,0.166618,[11 17] ; [ 6 12],[10.34782609 17.65217391] ; [ 6.65217391 11.34782609],0
p3,1,0.69672,0.151906,[12 29] ; [ 7 21],[11.28985507 29.71014493] ; [ 7.71014493 20.28985507],0
n2,1,0.704738,0.14359,[7 7] ; [8 6],[7.5 6.5] ; [7.5 6.5],0
n1,1,0.704738,0.14359,[7 7] ; [6 8],[6.5 7.5] ; [6.5 7.5],0
s4,1,0.756109,0.096469,[ 7 34] ; [ 4 24],[ 6.53623188 34.46376812] ; [ 4.46376812 23.53623188],0
p11,1,0.835895,0.04291,[18 23] ; [13 15],[18.42028986 22.57971014] ; [12.57971014 15.42028986],0
d3,1,0.847705,0.036882,[20 21] ; [13 15],[19.60869565 21.39130435] ; [13.39130435 14.60869565],0
a2,1,0.850355,0.035595,[ 5 36] ; [ 3 25],[ 4.75362319 36.24637681] ; [ 3.24637681 24.75362319],0
d2,1,0.860964,0.030677,[18 22] ; [12 16],[17.64705882 22.35294118] ; [12.35294118 15.64705882],0
n4,1,0.89318,0.018031,[27 14] ; [18 10],[26.73913043 14.26086957] ; [18.26086957  9.73913043],0
a1,1,0.897002,0.016757,[ 4 37] ; [ 3 25],[ 4.15942029 36.84057971] ; [ 2.84057971 25.15942029],0
p6,1,0.969671,0.001446,[ 7 33] ; [ 5 23],[ 7.05882353 32.94117647] ; [ 4.94117647 23.05882353],0
d1,1,0.982575,0.000477,[16 25] ; [11 17],[16.04347826 24.95652174] ; [10.95652174 17.04347826],0
