Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,34.897238,[84 12] ; [113 102],[60.81028939 35.18971061] ; [136.18971061  78.81028939],1
s2,1,0.0,25.934763,[68 27] ; [ 86 128],[47.34627832 47.65372168] ; [106.65372168 107.34627832],1
s3,1,5.7e-05,16.210302,[66 27] ; [ 99 116],[49.82142857 43.17857143] ; [115.17857143  99.82142857],1
s4,1,5.7e-05,16.208952,[28 66] ; [ 24 191],[15.81877023 78.18122977] ; [ 36.18122977 178.81877023],1
s8,1,0.001282,10.368251,[51 45] ; [ 73 143],[38.15384615 57.84615385] ; [ 85.84615385 130.15384615],0
s7,1,0.002096,9.463331,[57 35] ; [ 87 117],[44.75675676 47.24324324] ; [ 99.24324324 104.75675676],0
d4,1,0.010261,6.58901,[88  8] ; [172  43],[80.25723473 15.74276527] ; [179.74276527  35.25723473],0
p5,1,0.013447,6.109324,[ 9 87] ; [  6 206],[ 4.67532468 91.32467532] ; [ 10.32467532 201.67532468],0
n6,1,0.017466,5.648901,[82 12] ; [161  53],[74.16233766 19.83766234] ; [168.83766234  45.16233766],0
p12,1,0.019494,5.456657,[10 86] ; [  8 207],[ 5.5562701 90.4437299] ; [ 12.4437299 202.5562701],0
p1,1,0.019494,5.456657,[10 86] ; [  8 207],[ 5.5562701 90.4437299] ; [ 12.4437299 202.5562701],0
p7,1,0.021259,5.305465,[49 46] ; [ 80 133],[39.78896104 55.21103896] ; [ 89.21103896 123.78896104],0
p6,1,0.02681,4.903015,[28 67] ; [ 39 175],[20.5987055 74.4012945] ; [ 46.4012945 167.5987055],0
r2,1,0.039468,4.240589,[91  2] ; [194  18],[86.90163934  6.09836066] ; [198.09836066  13.90163934],0
d2,1,0.061977,3.48367,[64 31] ; [120  94],[56.56957929 38.43042071] ; [127.43042071  86.56957929],0
a3,1,0.066207,3.374648,[85 11] ; [172  43],[79.33118971 16.66881029] ; [177.66881029  37.33118971],0
p10,1,0.081272,3.039276,[75 19] ; [151  64],[68.75080906 25.24919094] ; [157.24919094  57.75080906],0
r4,1,0.082962,3.005901,[85 11] ; [174  42],[79.69230769 16.30769231] ; [179.30769231  36.69230769],0
v1,1,0.097327,2.74881,[51 43] ; [ 91 116],[44.34551495 49.65448505] ; [ 97.65448505 109.34551495],0
p3,1,0.106281,2.608668,[41 55] ; [ 71 143],[34.68387097 61.31612903] ; [ 77.31612903 136.68387097],0
v2,1,0.122864,2.380427,[55 38] ; [102 104],[48.83277592 44.16722408] ; [108.16722408  97.83277592],0
d1,1,0.128452,2.311111,[66 30] ; [129  87],[60. 36.] ; [135.  81.],0
n2,1,0.12975,2.295495,[24  6] ; [48 26],[20.76923077  9.23076923] ; [51.23076923 22.76923077],0
n1,1,0.134469,2.240136,[15 14] ; [26 47],[11.65686275 17.34313725] ; [29.34313725 43.65686275],0
p4,1,0.137664,2.203877,[50 45] ; [ 94 122],[43.98713826 51.01286174] ; [100.01286174 115.98713826],0
r1,1,0.147554,2.09736,[79 15] ; [165  50],[74.22653722 19.77346278] ; [169.77346278  45.22653722],0
d5,1,0.154468,2.027567,[87  9] ; [182  33],[83.03536977 12.96463023] ; [185.96463023  29.03536977],0
a2,1,0.159976,1.974451,[39 57] ; [ 70 146],[33.53846154 62.46153846] ; [ 75.46153846 140.53846154],0
p9,1,0.162957,1.946566,[79 16] ; [162  51],[74.33441558 20.66558442] ; [166.66558442  46.33441558],0
r3,1,0.183699,1.76744,[90  5] ; [193  21],[87.00647249  7.99352751] ; [195.99352751  18.00647249],0
v4,1,0.187837,1.734505,[88  6] ; [190  24],[84.84415584  9.15584416] ; [193.15584416  20.84415584],0
a4,1,0.247138,1.339409,[61 35] ; [121  93],[56.36129032 39.63870968] ; [125.63870968  88.36129032],0
p11,1,0.315048,1.009394,[63 33] ; [154  62],[66.76923077 29.23076923] ; [150.23076923  65.76923077],0
a7,1,0.377352,0.779312,[64 32] ; [154  61],[67.2926045 28.7073955] ; [150.7073955  64.2926045],0
b1,1,0.442343,0.590196,[36 60] ; [ 91 125],[39.07692308 56.92307692] ; [ 87.92307692 128.07692308],0
b5,1,0.447185,0.577778,[63 33] ; [132  84],[60. 36.] ; [135.  81.],0
a1,1,0.474286,0.511973,[ 5 91] ; [ 16 200],[ 6.46153846 89.53846154] ; [ 14.53846154 201.46153846],0
d3,1,0.500022,0.454889,[68 28] ; [144  71],[65.44051447 30.55948553] ; [146.55948553  68.44051447],0
