Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8e-06,19.882082,[19  3] ; [ 9 26],[10.80701754 11.19298246] ; [17.19298246 17.80701754],1
s6,1,0.000277,13.217281,[23  2] ; [18 20],[16.26984127  8.73015873] ; [24.73015873 13.26984127],1
n4,1,0.000857,11.112898,[24  1] ; [22 16],[18.25396825  6.74603175] ; [27.74603175 10.25396825],1
r4,1,0.004775,7.962632,[24  1] ; [25 13],[19.44444444  5.55555556] ; [29.55555556  8.44444444],0
n6,1,0.016863,5.710618,[23  2] ; [25 13],[19.04761905  5.95238095] ; [28.95238095  9.04761905],0
r1,1,0.016863,5.710618,[23  2] ; [25 13],[19.04761905  5.95238095] ; [28.95238095  9.04761905],0
r3,1,0.022449,5.210659,[24  1] ; [28 10],[20.63492063  4.36507937] ; [31.36507937  6.63492063],0
a5,1,0.029424,4.742659,[21  4] ; [22 16],[17.06349206  7.93650794] ; [25.93650794 12.06349206],0
p9,1,0.031268,4.638198,[19  6] ; [18 19],[14.91935484 10.08064516] ; [22.08064516 14.91935484],0
u1,1,0.032638,4.564653,[ 7 18] ; [ 3 35],[ 3.96825397 21.03174603] ; [ 6.03174603 31.96825397],0
s2,1,0.043863,4.061842,[15 10] ; [13 25],[11.11111111 13.88888889] ; [16.88888889 21.11111111],0
n5,1,0.047018,3.944758,[21  4] ; [23 15],[17.46031746  7.53968254] ; [26.53968254 11.46031746],0
p11,1,0.053258,3.735789,[18  7] ; [18 20],[14.28571429 10.71428571] ; [21.71428571 16.28571429],0
s5,1,0.059051,3.563838,[10 15] ; [ 7 31],[ 6.74603175 18.25396825] ; [10.25396825 27.74603175],0
d5,1,0.068617,3.315789,[20  5] ; [22 16],[16.66666667  8.33333333] ; [25.33333333 12.66666667],0
d1,1,0.071195,3.255258,[15 10] ; [14 24],[11.50793651 13.49206349] ; [17.49206349 20.50793651],0
p8,1,0.111131,2.538063,[ 4 21] ; [13 25],[ 6.74603175 18.25396825] ; [10.25396825 27.74603175],0
s3,1,0.123377,2.373916,[13 12] ; [12 25],[10.08064516 14.91935484] ; [14.91935484 22.08064516],0
a6,1,0.140266,2.17504,[19  6] ; [22 16],[16.26984127  8.73015873] ; [24.73015873 13.26984127],0
a2,1,0.142172,2.154288,[ 7 18] ; [ 5 33],[ 4.76190476 20.23809524] ; [ 7.23809524 30.76190476],0
s1,1,0.145187,2.122105,[ 1 24] ; [ 6 32],[ 2.77777778 22.22222222] ; [ 4.22222222 33.77777778],0
a7,1,0.145187,2.122105,[14 11] ; [28 10],[16.66666667  8.33333333] ; [25.33333333 12.66666667],0
b1,1,0.160569,1.968862,[13 12] ; [13 25],[10.31746032 14.68253968] ; [15.68253968 22.31746032],0
p10,1,0.19251,1.698304,[17  8] ; [19 18],[14.51612903 10.48387097] ; [21.48387097 15.51612903],0
b5,1,0.195056,1.679014,[16  9] ; [18 20],[13.49206349 11.50793651] ; [20.50793651 17.49206349],0
d4,1,0.22189,1.492105,[20  5] ; [25 13],[17.85714286  7.14285714] ; [27.14285714 10.85714286],0
p6,1,0.241325,1.372839,[ 7 18] ; [ 6 32],[ 5.15873016 19.84126984] ; [ 7.84126984 30.15873016],0
a3,1,0.28976,1.120737,[16  9] ; [29  9],[17.85714286  7.14285714] ; [27.14285714 10.85714286],0
b4,1,0.312038,1.022031,[17  8] ; [21 17],[15.07936508  9.92063492] ; [22.92063492 15.07936508],0
p12,1,0.316579,1.003026,[ 4 21] ; [ 3 35],[ 2.77777778 22.22222222] ; [ 4.22222222 33.77777778],0
u3,1,0.317311,1.0,[7 2] ; [5 4],[6. 3.] ; [6. 3.],0
u2,1,0.317311,1.0,[7 2] ; [5 4],[6. 3.] ; [6. 3.],0
r2,1,0.333971,0.93344,[24  1] ; [33  4],[22.98387097  2.01612903] ; [34.01612903  2.98387097],0
d3,1,0.490744,0.474896,[16  9] ; [21 17],[14.68253968 10.31746032] ; [22.31746032 15.68253968],0
a4,1,0.492742,0.470533,[10 15] ; [12 26],[ 8.73015873 16.26984127] ; [13.26984127 24.73015873],0
v4,1,0.495024,0.465587,[22  3] ; [31  7],[21.03174603  3.96825397] ; [31.96825397  6.03174603],0
p1,1,0.523913,0.406184,[ 2 23] ; [ 5 33],[ 2.77777778 22.22222222] ; [ 4.22222222 33.77777778],0
n3,1,0.589639,0.290909,[3 2] ; [5 6],[2.5 2.5] ; [5.5 5.5],0
s4,1,0.643861,0.213728,[ 3 22] ; [ 6 31],[ 3.62903226 21.37096774] ; [ 5.37096774 31.62903226],0
p7,1,0.645485,0.21164,[ 8 16] ; [10 26],[ 7.2 16.8] ; [10.8 25.2],0
v2,1,0.655914,0.198525,[16  9] ; [21 15],[15.16393443  9.83606557] ; [21.83606557 14.16393443],0
d2,1,0.719031,0.129423,[13 12] ; [18 20],[12.3015873 12.6984127] ; [18.6984127 19.3015873],0
b2,1,0.743971,0.106667,[ 7 13] ; [ 8 12],[ 7.5 12.5] ; [ 7.5 12.5],0
b3,1,0.743971,0.106667,[ 7 13] ; [ 8 12],[ 7.5 12.5] ; [ 7.5 12.5],0
p5,1,0.752462,0.099474,[ 4 21] ; [ 5 33],[ 3.57142857 21.42857143] ; [ 5.42857143 32.57142857],0
n1,1,0.889243,0.019394,[2 4] ; [3 7],[1.875 4.125] ; [3.125 6.875],0
a1,1,0.892577,0.018237,[ 3 22] ; [ 5 33],[ 3.17460317 21.82539683] ; [ 4.82539683 33.17460317],0
n2,1,0.900569,0.015611,[4 2] ; [7 4],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
p4,1,0.904635,0.014354,[ 8 17] ; [11 25],[ 7.78688525 17.21311475] ; [11.21311475 24.78688525],0
v1,1,0.90607,0.013923,[11 13] ; [18 20],[11.22580645 12.77419355] ; [17.77419355 20.22580645],0
p3,1,0.97198,0.001234,[ 8 17] ; [12 26],[ 7.93650794 17.06349206] ; [12.06349206 25.93650794],0
a8,1,0.986844,0.000272,[ 2 21] ; [ 3 32],[ 1.98275862 21.01724138] ; [ 3.01724138 31.98275862],0
