Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,31.373617,[ 6 42] ; [19  5],[16.66666667 31.33333333] ; [ 8.33333333 15.66666667],1
s3,1,0.0,27.62564,[ 7 39] ; [19  5],[17.08571429 28.91428571] ; [ 8.91428571 15.08571429],1
s8,1,0.000221,13.642105,[ 4 44] ; [11 13],[10. 38.] ; [ 5. 19.],1
s7,1,0.000939,10.943605,[ 9 35] ; [14  9],[15.10447761 28.89552239] ; [ 7.89552239 15.10447761],1
p3,1,0.001895,9.648674,[ 7 39] ; [12 12],[12.48571429 33.51428571] ; [ 6.51428571 17.48571429],0
p4,1,0.00551,7.703804,[13 33] ; [15  9],[18.4 27.6] ; [ 9.6 14.4],0
r3,1,0.007637,7.116602,[18 30] ; [17  7],[23.33333333 24.66666667] ; [11.66666667 12.33333333],0
v1,1,0.011035,6.459657,[12 35] ; [13 10],[16.78571429 30.21428571] ; [ 8.21428571 14.78571429],0
p7,1,0.014147,6.019673,[13 33] ; [14 10],[17.74285714 28.25714286] ; [ 9.25714286 14.74285714],0
p6,1,0.024556,5.054945,[ 5 40] ; [ 8 16],[ 8.47826087 36.52173913] ; [ 4.52173913 19.47826087],0
p2,1,0.036365,4.379914,[22 23] ; [18  6],[26.08695652 18.91304348] ; [13.91304348 10.08695652],0
a5,1,0.044752,4.027972,[18 30] ; [15  9],[22. 26.] ; [11. 13.],0
b3,1,0.054292,3.703704,[14 16] ; [ 4 16],[10.8 19.2] ; [ 7.2 12.8],0
b2,1,0.054292,3.703704,[14 16] ; [ 4 16],[10.8 19.2] ; [ 7.2 12.8],0
u3,1,0.059346,3.555556,[ 4 20] ; [4 4],[ 6. 18.] ; [2. 6.],0
s5,1,0.104934,2.628912,[ 5 43] ; [ 6 18],[ 7.33333333 40.66666667] ; [ 3.66666667 20.33333333],0
b4,1,0.132264,2.265734,[29 19] ; [10 14],[26. 22.] ; [13. 11.],0
b5,1,0.133614,2.25,[21 27] ; [15  9],[24. 24.] ; [12. 12.],0
v2,1,0.138661,2.192758,[11 34] ; [10 14],[13.69565217 31.30434783] ; [ 7.30434783 16.69565217],0
v3,1,0.140506,2.172414,[ 7 41] ; [ 7 17],[ 9.33333333 38.66666667] ; [ 4.66666667 19.33333333],0
s4,1,0.179712,1.8,[ 6 42] ; [ 6 18],[ 8. 40.] ; [ 4. 20.],0
s1,1,0.18977,1.719403,[ 2 46] ; [ 3 21],[ 3.33333333 44.66666667] ; [ 1.66666667 22.33333333],0
a3,1,0.209864,1.572363,[24 23] ; [16  8],[26.47887324 20.52112676] ; [13.52112676 10.47887324],0
d3,1,0.210903,1.565217,[13 35] ; [10 14],[15.33333333 32.66666667] ; [ 7.66666667 16.33333333],0
p8,1,0.269295,1.220334,[10 37] ; [ 8 16],[11.91549296 35.08450704] ; [ 6.08450704 17.91549296],0
d5,1,0.317311,1.0,[22 26] ; [14 10],[24. 24.] ; [12. 12.],0
p9,1,0.365028,0.820522,[23 22] ; [15  9],[24.7826087 20.2173913] ; [13.2173913 10.7826087],0
p1,1,0.365712,0.818182,[ 5 43] ; [ 1 23],[ 4. 44.] ; [ 2. 22.],0
r2,1,0.39218,0.732173,[27 19] ; [11 12],[25.33333333 20.66666667] ; [12.66666667 10.33333333],0
a4,1,0.396338,0.71941,[13 34] ; [ 9 15],[14.56338028 32.43661972] ; [ 7.43661972 16.56338028],0
p11,1,0.404475,0.694981,[23 25] ; [14 10],[24.66666667 23.33333333] ; [12.33333333 11.66666667],0
n2,1,0.446805,0.578743,[13 13] ; [7 4],[14.05405405 11.94594595] ; [5.94594595 5.05405405],0
a6,1,0.487696,0.481605,[16 32] ; [10 14],[17.33333333 30.66666667] ; [ 8.66666667 15.33333333],0
p10,1,0.49869,0.457724,[21 25] ; [13 11],[22.34285714 23.65714286] ; [11.65714286 12.34285714],0
d4,1,0.500826,0.453186,[26 22] ; [15  9],[27.33333333 20.66666667] ; [13.66666667 10.33333333],0
a1,1,0.573729,0.316484,[ 4 44] ; [ 3 21],[ 4.66666667 43.33333333] ; [ 2.33333333 21.66666667],0
n4,1,0.595883,0.28125,[31 17] ; [17  7],[32. 16.] ; [16.  8.],0
b1,1,0.605577,0.266667,[31 17] ; [14 10],[30. 18.] ; [15.  9.],0
p12,1,0.623281,0.241283,[ 1 46] ; [ 1 23],[ 1.32394366 45.67605634] ; [ 0.67605634 23.32394366],0
a8,1,0.646563,0.210261,[ 1 44] ; [ 1 23],[ 1.30434783 43.69565217] ; [ 0.69565217 23.30434783],0
p5,1,0.701623,0.146789,[ 3 44] ; [ 1 23],[ 2.64788732 44.35211268] ; [ 1.35211268 22.64788732],0
n3,1,0.717491,0.130909,[13 12] ; [5 6],[12.5 12.5] ; [5.5 5.5],0
d2,1,0.808596,0.058679,[21 26] ; [10 14],[20.52112676 26.47887324] ; [10.47887324 13.52112676],0
u2,1,0.829856,0.046176,[ 8 16] ; [3 5],[ 8.25 15.75] ; [2.75 5.25],0
n5,1,0.852404,0.034615,[35 13] ; [17  7],[34.66666667 13.33333333] ; [17.33333333  6.66666667],0
n1,1,0.904273,0.014464,[10 16] ; [4 7],[ 9.83783784 16.16216216] ; [4.16216216 6.83783784],0
n6,1,0.97085,0.001335,[29 19] ; [14  9],[29.07042254 18.92957746] ; [13.92957746  9.07042254],0
v4,1,0.982763,0.000467,[27 21] ; [13 10],[27.04225352 20.95774648] ; [12.95774648 10.04225352],0
r1,1,1.0,0.0,[12 36] ; [ 6 18],[12. 36.] ; [ 6. 18.],0
d1,1,1.0,0.0,[14 34] ; [ 7 17],[14. 34.] ; [ 7. 17.],0
a2,1,1.0,0.0,[ 2 46] ; [ 1 23],[ 2. 46.] ; [ 1. 23.],0
