Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,72.790009,[ 2 44] ; [135  49],[27.4 18.6] ; [109.6  74.4],1
d4,1,2e-06,22.886513,[27 19] ; [163  21],[38.  8.] ; [152.  32.],1
d2,1,3e-06,21.977216,[10 36] ; [111  73],[24.2 21.8] ; [96.8 87.2],1
a4,1,2.6e-05,17.701498,[ 8 38] ; [95 88],[20.68995633 25.31004367] ; [ 82.31004367 100.68995633],1
d3,1,3.8e-05,16.958742,[21 25] ; [141  43],[32.4 13.6] ; [129.6  54.4],1
u1,1,0.000396,12.551584,[ 1 45] ; [ 48 136],[ 9.8 36.2] ; [ 39.2 144.8],1
r2,1,0.007055,7.258818,[39  6] ; [176   6],[42.62114537  2.37885463] ; [172.37885463   9.62114537],0
v2,1,0.009371,6.750675,[17 27] ; [108  71],[24.66367713 19.33632287] ; [100.33632287  78.66367713],0
a2,1,0.012233,6.276814,[ 5 41] ; [ 53 131],[11.6 34.4] ; [ 46.4 137.6],0
r3,1,0.015721,5.833818,[40  6] ; [176   7],[43.38864629  2.61135371] ; [172.61135371  10.38864629],0
p1,1,0.019987,5.413024,[ 8 38] ; [ 12 171],[ 4.01746725 41.98253275] ; [ 15.98253275 167.01746725],0
a5,1,0.025898,4.962798,[29 17] ; [145  39],[34.8 11.2] ; [139.2  44.8],0
r4,1,0.037004,4.350232,[36 10] ; [165  19],[40.2  5.8] ; [160.8  23.2],0
n4,1,0.038697,4.2741,[33 13] ; [156  28],[37.8  8.2] ; [151.2  32.8],0
r1,1,0.038697,4.2741,[33 13] ; [156  28],[37.8  8.2] ; [151.2  32.8],0
v3,1,0.066818,3.359497,[14 31] ; [81 94],[19.43181818 25.56818182] ; [75.56818182 99.43181818],0
p8,1,0.146819,2.104994,[28 18] ; [88 92],[23.61061947 22.38938053] ; [92.38938053 87.61061947],0
v4,1,0.155553,2.016931,[41  4] ; [176   7],[42.82894737  2.17105263] ; [174.17105263   8.82894737],0
a6,1,0.159549,1.978495,[27 19] ; [128  56],[31. 15.] ; [124.  60.],0
b4,1,0.185578,1.752381,[21 25] ; [104  80],[25. 21.] ; [100.  84.],0
a3,1,0.237883,1.393095,[33 13] ; [146  37],[35.95633188 10.04366812] ; [143.04366812  39.95633188],0
s6,1,0.2433,1.36137,[31 15] ; [138  44],[34.09649123 11.90350877] ; [134.90350877  47.09649123],0
