Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.021718,[40 93] ; [66 41],[58.74166667 74.25833333] ; [47.25833333 59.74166667],1
v3,1,5e-06,20.747909,[ 28 108] ; [52 56],[44.59016393 91.40983607] ; [35.40983607 72.59016393],1
p9,1,0.000464,12.256316,[91 46] ; [92 15],[102.75  34.25] ; [80.25 26.75],1
n4,1,0.00078,11.28922,[74 66] ; [81 29],[86.8 53.2] ; [68.2 41.8],1
p10,1,0.001596,9.963874,[87 52] ; [86 20],[98.15102041 40.84897959] ; [74.84897959 31.15102041],0
p5,1,0.002127,9.436797,[  7 134] ; [18 89],[ 14.21370968 126.78629032] ; [10.78629032 96.21370968],0
s6,1,0.003595,8.477728,[70 69] ; [73 33],[81.13061224 57.86938776] ; [61.86938776 44.13061224],0
p3,1,0.007811,7.076214,[44 97] ; [52 57],[54.144 86.856] ; [41.856 67.144],0
n5,1,0.00844,6.937603,[81 58] ; [81 28],[90.7983871 48.2016129] ; [71.2016129 37.7983871],0
p4,1,0.022011,5.244895,[57 81] ; [61 48],[65.92712551 72.07287449] ; [52.07287449 56.92712551],0
d4,1,0.022136,5.235075,[88 52] ; [84 26],[96.32 43.68] ; [75.68 34.32],0
r2,1,0.024579,5.053313,[120  20] ; [103   6],[125.3815261  14.6184739] ; [97.6184739 11.3815261],0
n1,1,0.028302,4.809565,[13 34] ; [13 11],[17.21126761 29.78873239] ; [ 8.78873239 15.21126761],0
b3,1,0.028753,4.782331,[13 61] ; [21 41],[18.5 55.5] ; [15.5 46.5],0
b2,1,0.028753,4.782331,[13 61] ; [21 41],[18.5 55.5] ; [15.5 46.5],0
a4,1,0.034606,4.464507,[ 18 123] ; [25 84],[ 24.252 116.748] ; [18.748 90.252],0
p12,1,0.045868,3.986438,[  3 137] ; [  8 100],[  6.20967742 133.79032258] ; [  4.79032258 103.20967742],0
p7,1,0.074825,3.173878,[72 63] ; [68 37],[78.75 56.25] ; [61.25 43.75],0
r3,1,0.074921,3.171767,[124  15] ; [104   5],[127.79032258  11.20967742] ; [100.20967742   8.79032258],0
r4,1,0.077142,3.124107,[111  30] ; [96 14],[116.28286853  24.71713147] ; [90.71713147 19.28286853],0
s3,1,0.080127,3.062324,[65 73] ; [63 45],[71.80487805 66.19512195] ; [56.19512195 51.80487805],0
s8,1,0.080601,3.052735,[ 38 103] ; [41 69],[44.37848606 96.62151394] ; [34.62151394 75.37848606],0
s7,1,0.080612,3.052523,[44 93] ; [44 58],[50.44351464 86.55648536] ; [37.55648536 64.44351464],0
p6,1,0.092481,2.830654,[ 40 100] ; [40 63],[46.09053498 93.90946502] ; [33.90946502 69.09053498],0
s5,1,0.113833,2.500177,[ 29 108] ; [31 72],[ 34.25 102.75] ; [25.75 77.25],0
d5,1,0.157859,1.994621,[86 54] ; [77 33],[91.28 48.72] ; [71.72 38.28],0
b4,1,0.161431,1.960774,[88 53] ; [59 51],[82.57768924 58.42231076] ; [64.42231076 45.57768924],0
s2,1,0.17357,1.851834,[56 84] ; [53 56],[61.28514056 78.71485944] ; [47.71485944 61.28514056],0
r1,1,0.194467,1.683449,[89 52] ; [78 32],[93.812749 47.187251] ; [73.187251 36.812749],0
u2,1,0.220378,1.501907,[43 37] ; [36 20],[46.47058824 33.52941176] ; [32.52941176 23.47058824],0
s4,1,0.230681,1.436656,[ 31 107] ; [18 92],[ 27.26612903 110.73387097] ; [21.73387097 88.26612903],0
b1,1,0.27017,1.215881,[57 84] ; [37 73],[52.80478088 88.19521912] ; [41.19521912 68.80478088],0
p2,1,0.29603,1.091994,[106  35] ; [88 21],[109.416  31.584] ; [84.584 24.416],0
d1,1,0.354736,0.856442,[ 41 100] ; [38 72],[44.37848606 96.62151394] ; [34.62151394 75.37848606],0
u3,1,0.359693,0.838964,[42 38] ; [35 23],[44.63768116 35.36231884] ; [32.36231884 25.63768116],0
a6,1,0.377659,0.778307,[69 72] ; [60 50],[72.46613546 68.53386454] ; [56.53386454 53.46613546],0
p11,1,0.378871,0.774363,[98 43] ; [82 28],[101.11553785  39.88446215] ; [78.88446215 31.11553785],0
a3,1,0.379116,0.773565,[60 81] ; [52 56],[63.42168675 77.57831325] ; [48.57831325 59.42168675],0
n3,1,0.435739,0.607478,[31 16] ; [18  6],[32.43661972 14.56338028] ; [16.56338028  7.43661972],0
a1,1,0.471351,0.518807,[  3 138] ; [  4 106],[  3.93227092 137.06772908] ; [  3.06772908 106.93227092],0
d3,1,0.485154,0.487255,[76 63] ; [65 45],[78.71084337 60.28915663] ; [62.28915663 47.71084337],0
d2,1,0.524086,0.405844,[ 30 110] ; [20 90],[ 28. 112.] ; [22. 88.],0
p1,1,0.552733,0.352444,[ 11 129] ; [11 99],[ 12.32 127.68] ; [  9.68 100.32],0
s1,1,0.62541,0.238337,[  7 132] ; [  4 103],[  6.21544715 132.78455285] ; [  4.78455285 102.21544715],0
a7,1,0.658214,0.195701,[93 46] ; [70 39],[91.35887097 47.64112903] ; [71.64112903 37.35887097],0
n2,1,0.660236,0.193237,[33 13] ; [16  8],[32.2 13.8] ; [16.8  7.2],0
n6,1,0.664893,0.187634,[108  33] ; [86 23],[109.416  31.584] ; [84.584 24.416],0
