Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,49.33713,[ 9 26] ; [94 14],[25.20979021  9.79020979] ; [77.79020979 30.20979021],1
b1,1,0.000116,14.862458,[ 2 33] ; [44 64],[11.25874126 23.74125874] ; [34.74125874 73.25874126],1
p2,1,0.00514,7.829532,[22 13] ; [90 16],[27.80141844  7.19858156] ; [84.19858156 21.80141844],0
d2,1,0.005441,7.72673,[10 25] ; [59 47],[17.12765957 17.87234043] ; [51.87234043 54.12765957],0
a4,1,0.008416,6.942736,[ 8 27] ; [52 56],[14.68531469 20.31468531] ; [45.31468531 62.68531469],0
p3,1,0.00924,6.775818,[ 9 26] ; [54 52],[15.63829787 19.36170213] ; [47.36170213 58.63829787],0
s4,1,0.011007,6.464205,[ 7 28] ; [  6 100],[ 3.22695035 31.77304965] ; [ 9.77304965 96.22695035],0
n6,1,0.011645,6.364203,[23 12] ; [92 16],[28.14685315  6.85314685] ; [86.85314685 21.14685315],0
s1,1,0.019123,5.490196,[ 3 32] ; [  1 104],[ 1. 34.] ; [  3. 102.],0
n3,1,0.019596,5.447564,[7 7] ; [15  2],[9.93548387 4.06451613] ; [12.06451613  4.93548387],0
p11,1,0.020055,5.407117,[21 14] ; [86 22],[26.18881119  8.81118881] ; [80.81118881 27.18881119],0
p4,1,0.021042,5.323274,[13 22] ; [62 42],[18.88489209 16.11510791] ; [56.11510791 47.88489209],0
n1,1,0.029096,4.761905,[ 1 13] ; [6 8],[ 3.5 10.5] ; [ 3.5 10.5],0
n2,1,0.048969,3.876416,[8 6] ; [15  2],[10.38709677  3.61290323] ; [12.61290323  4.38709677],0
a2,1,0.090387,2.867472,[ 4 31] ; [27 81],[ 7.58741259 27.41258741] ; [23.41258741 84.58741259],0
p6,1,0.090969,2.857143,[ 5 30] ; [30 75],[ 8.75 26.25] ; [26.25 78.75],0
p7,1,0.142803,2.147496,[16 18] ; [65 41],[19.67142857 14.32857143] ; [61.32857143 44.67142857],0
d4,1,0.155612,2.01636,[31  4] ; [83 24],[28.09859155  6.90140845] ; [85.90140845 21.09859155],0
d1,1,0.191407,1.706757,[17 18] ; [66 42],[20.31468531 14.68531469] ; [62.68531469 45.31468531],0
s6,1,0.201101,1.634359,[20 14] ; [49 57],[16.75714286 17.24285714] ; [52.24285714 53.75714286],0
a5,1,0.20222,1.626267,[22 13] ; [80 28],[24.96503497 10.03496503] ; [77.03496503 30.96503497],0
s2,1,0.223513,1.481673,[14 21] ; [31 76],[11.0915493 23.9084507] ; [33.9084507 73.0915493],0
u2,1,0.230958,1.434949,[7 3] ; [17 18],[5.33333333 4.66666667] ; [18.66666667 16.33333333],0
p8,1,0.241374,1.372549,[15 20] ; [57 48],[18. 17.] ; [54. 51.],0
v4,1,0.246089,1.345374,[32  3] ; [104   4],[33.28671329  1.71328671] ; [102.71328671   5.28671329],0
d5,1,0.254782,1.296889,[25 10] ; [87 21],[27.41258741  7.58741259] ; [84.58741259 23.41258741],0
v1,1,0.257388,1.282753,[18 17] ; [66 40],[20.85106383 14.14893617] ; [63.14893617 42.85106383],0
r4,1,0.269043,1.22162,[29  6] ; [97 11],[30.83916084  4.16083916] ; [95.16083916 12.83916084],0
u1,1,0.287903,1.1294,[ 3 32] ; [17 91],[ 4.8951049 30.1048951] ; [15.1048951 92.8951049],0
a1,1,0.33538,0.928012,[ 1 34] ; [  8 100],[ 2.2027972 32.7972028] ; [  6.7972028 101.2027972],0
v2,1,0.336627,0.923234,[28  6] ; [78 27],[25.92805755  8.07194245] ; [80.07194245 24.92805755],0
