Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,28.24188,[ 6 26] ; [55 19],[18.41509434 13.58490566] ; [42.58490566 31.41509434],1
a2,1,0.001593,9.968161,[ 1 31] ; [23 51],[ 7.24528302 24.75471698] ; [16.75471698 57.24528302],0
b1,1,0.004014,8.277538,[19 13] ; [22 52],[12.37735849 19.62264151] ; [28.62264151 45.37735849],0
u1,1,0.0057,7.642823,[ 2 30] ; [23 51],[ 7.54716981 24.45283019] ; [17.45283019 56.54716981],0
p2,1,0.022978,5.170186,[21 11] ; [63 11],[25.35849057  6.64150943] ; [58.64150943 15.35849057],0
d3,1,0.03204,4.596352,[16 16] ; [53 21],[20.83018868 11.16981132] ; [48.16981132 25.83018868],0
r3,1,0.046575,3.960693,[29  3] ; [73  1],[30.79245283  1.20754717] ; [71.20754717  2.79245283],0
r4,1,0.083116,3.002899,[27  5] ; [70  4],[29.28301887  2.71698113] ; [67.71698113  6.28301887],0
b5,1,0.115538,2.476791,[16 16] ; [49 25],[19.62264151 12.37735849] ; [45.37735849 28.62264151],0
d5,1,0.148191,2.090773,[24  8] ; [64 10],[26.56603774  5.43396226] ; [61.43396226 12.56603774],0
v1,1,0.150492,2.067258,[15 16] ; [47 27],[18.3047619 12.6952381] ; [43.6952381 30.3047619],0
p5,1,0.164139,1.935674,[ 2 30] ; [12 62],[ 4.22641509 27.77358491] ; [ 9.77358491 64.22641509],0
d2,1,0.17446,1.844199,[21 11] ; [38 36],[17.81132075 14.18867925] ; [41.18867925 32.81132075],0
p7,1,0.178954,1.806288,[19 13] ; [53 20],[21.94285714 10.05714286] ; [50.05714286 22.94285714],0
a8,1,0.183854,1.766195,[ 3 28] ; [13 50],[ 5.27659574 25.72340426] ; [10.72340426 52.27659574],0
a4,1,0.189701,1.719942,[12 20] ; [38 36],[15.09433962 16.90566038] ; [34.90566038 39.09433962],0
a3,1,0.221571,1.494167,[21 11] ; [57 17],[23.54716981  8.45283019] ; [54.45283019 19.54716981],0
v2,1,0.222837,1.486004,[16 15] ; [47 26],[18.77884615 12.22115385] ; [44.22115385 28.77884615],0
r1,1,0.281489,1.159887,[25  7] ; [64 10],[26.86792453  5.13207547] ; [62.13207547 11.86792453],0
p9,1,0.327163,0.960096,[26  5] ; [67  7],[27.45714286  3.54285714] ; [65.54285714  8.45714286],0
n1,1,0.420113,0.65,[4 6] ; [ 4 12],[3.07692308 6.92307692] ; [ 4.92307692 11.07692308],0
p3,1,0.420561,0.648747,[20 12] ; [40 34],[18.11320755 13.88679245] ; [41.88679245 32.11320755],0
p12,1,0.42342,0.640802,[ 3 28] ; [ 4 70],[ 2.06666667 28.93333333] ; [ 4.93333333 69.06666667],0
r2,1,0.445145,0.582985,[27  4] ; [68  6],[28.04761905  2.95238095] ; [66.95238095  7.04761905],0
p10,1,0.447428,0.577159,[25  6] ; [64 10],[26.27619048  4.72380952] ; [62.72380952 11.27619048],0
p1,1,0.449961,0.570751,[ 3 29] ; [ 4 70],[ 2.11320755 29.88679245] ; [ 4.88679245 69.11320755],0
n5,1,0.462265,0.540405,[25  7] ; [52 21],[23.46666667  8.53333333] ; [53.53333333 19.46666667],0
p11,1,0.469033,0.524253,[23  9] ; [58 16],[24.45283019  7.54716981] ; [56.54716981 17.45283019],0
b4,1,0.480858,0.496917,[18 14] ; [47 27],[19.62264151 12.37735849] ; [45.37735849 28.62264151],0
d4,1,0.485604,0.486251,[25  7] ; [62 12],[26.26415094  5.73584906] ; [60.73584906 13.26415094],0
s4,1,0.503993,0.446517,[ 5 27] ; [ 8 65],[ 3.96190476 28.03809524] ; [ 9.03809524 63.96190476],0
n2,1,0.530236,0.393939,[5 5] ; [10  6],[5.76923077 4.23076923] ; [9.23076923 6.76923077],0
s5,1,0.584529,0.298969,[ 9 21] ; [26 47],[10.19417476 19.80582524] ; [24.80582524 48.19417476],0
a1,1,0.611169,0.258476,[ 1 31] ; [ 4 70],[ 1.50943396 30.49056604] ; [ 3.49056604 70.50943396],0
n6,1,0.623681,0.240728,[28  4] ; [62 12],[27.16981132  4.83018868] ; [62.83018868 11.16981132],0
