Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.466521,[20 14] ; [ 5 42],[10.49382716 23.50617284] ; [14.50617284 32.49382716],1
s8,1,2e-05,18.190018,[15 20] ; [ 2 45],[ 7.25609756 27.74390244] ; [ 9.74390244 37.25609756],1
s3,1,0.000105,15.038363,[22 12] ; [10 36],[13.6 20.4] ; [18.4 27.6],1
s7,1,0.00042,12.4405,[15 17] ; [ 5 40],[ 8.31168831 23.68831169] ; [11.68831169 33.31168831],1
s4,1,0.002808,8.92817,[12 22] ; [ 4 43],[ 6.71604938 27.28395062] ; [ 9.28395062 37.71604938],0
u3,1,0.004366,8.125,[15  5] ; [11 21],[10. 10.] ; [16. 16.],0
n5,1,0.005358,7.754468,[25 10] ; [19 28],[18.7804878 16.2195122] ; [25.2195122 21.7804878],0
b1,1,0.023451,5.134821,[23 12] ; [19 28],[17.92682927 17.07317073] ; [24.07317073 22.92682927],0
r3,1,0.025848,4.966182,[31  4] ; [31 15],[26.79012346  8.20987654] ; [35.20987654 10.79012346],0
p4,1,0.039222,4.251242,[16 19] ; [11 35],[11.66666667 23.33333333] ; [15.33333333 30.66666667],0
v3,1,0.043337,4.082208,[14 21] ; [ 9 37],[ 9.9382716 25.0617284] ; [13.0617284 32.9382716],0
a7,1,0.046979,3.946146,[23 12] ; [20 26],[18.58024691 16.41975309] ; [24.41975309 21.58024691],0
v4,1,0.058172,3.588751,[30  5] ; [31 15],[26.35802469  8.64197531] ; [34.64197531 11.35802469],0
n6,1,0.062837,3.460877,[27  8] ; [27 20],[23.04878049 11.95121951] ; [30.95121951 16.04878049],0
d3,1,0.066788,3.360242,[19 16] ; [16 31],[14.93902439 20.06097561] ; [20.06097561 26.93902439],0
d5,1,0.088816,2.895706,[23 12] ; [22 25],[19.20731707 15.79268293] ; [25.79268293 21.20731707],0
r4,1,0.111456,2.533453,[24 11] ; [24 23],[20.48780488 14.51219512] ; [27.51219512 19.48780488],0
p3,1,0.113676,2.502356,[13 22] ; [10 37],[ 9.81707317 25.18292683] ; [13.18292683 33.81707317],0
d4,1,0.115549,2.476641,[24 11] ; [23 22],[20.5625 14.4375] ; [26.4375 18.5625],0
s5,1,0.118785,2.433271,[ 8 26] ; [ 5 42],[ 5.45679012 28.54320988] ; [ 7.54320988 39.45679012],0
p8,1,0.120357,2.412668,[12 23] ; [ 9 38],[ 8.96341463 26.03658537] ; [12.03658537 34.96341463],0
p10,1,0.126162,2.339109,[11 24] ; [ 8 39],[ 8.1097561 26.8902439] ; [10.8902439 36.1097561],0
n3,1,0.13244,2.263673,[4 6] ; [15  7],[5.9375 4.0625] ; [13.0625  8.9375],0
r1,1,0.160105,1.973236,[24 11] ; [25 22],[20.91463415 14.08536585] ; [28.08536585 18.91463415],0
u2,1,0.180091,1.796872,[12  7] ; [14 18],[9.68627451 9.31372549] ; [16.31372549 15.68627451],0
b5,1,0.184623,1.760014,[23 12] ; [24 23],[20.06097561 14.93902439] ; [26.93902439 20.06097561],0
d1,1,0.188484,1.729424,[12 23] ; [10 37],[ 9.3902439 25.6097561] ; [12.6097561 34.3902439],0
