Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.009165,6.79032,[ 1 33] ; [2 4],[ 2.55 31.45] ; [0.45 5.55],0
v3,1,0.010572,6.535948,[ 6 28] ; [4 2],[ 8.5 25.5] ; [1.5 4.5],0
p7,1,0.046401,3.966981,[ 9 26] ; [4 2],[11.09756098 23.90243902] ; [1.90243902 4.09756098],0
s3,1,0.049219,3.867863,[14 21] ; [5 1],[16.2195122 18.7804878] ; [2.7804878 3.2195122],0
r4,1,0.049219,3.867863,[14 21] ; [5 1],[16.2195122 18.7804878] ; [2.7804878 3.2195122],0
p6,1,0.080175,3.061354,[ 6 28] ; [3 3],[ 7.65 26.35] ; [1.35 4.65],0
a2,1,0.086791,2.93291,[ 3 32] ; [2 4],[ 4.26829268 30.73170732] ; [0.73170732 5.26829268],0
s7,1,0.100394,2.699276,[ 8 25] ; [3 2],[ 9.55263158 23.44736842] ; [1.44736842 3.55263158],0
a6,1,0.114641,2.489052,[17 18] ; [5 1],[18.7804878 16.2195122] ; [3.2195122 2.7804878],0
s2,1,0.165613,1.922208,[ 8 27] ; [3 3],[ 9.3902439 25.6097561] ; [1.6097561 4.3902439],0
b1,1,0.182077,1.780591,[19 16] ; [5 1],[20.48780488 14.51219512] ; [3.51219512 2.48780488],0
p10,1,0.223946,1.478905,[14 21] ; [4 2],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
p11,1,0.223946,1.478905,[14 21] ; [4 2],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
b5,1,0.223946,1.478905,[14 21] ; [4 2],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
p2,1,0.247232,1.338879,[14 20] ; [4 2],[15.3 18.7] ; [2.7 3.3],0
n5,1,0.272929,1.201966,[21 14] ; [5 1],[22.19512195 12.80487805] ; [3.80487805 2.19512195],0
n4,1,0.328446,0.955014,[22 13] ; [5 1],[23.04878049 11.95121951] ; [3.95121951 2.04878049],0
p4,1,0.328446,0.955014,[13 22] ; [1 5],[11.95121951 23.04878049] ; [2.04878049 3.95121951],0
u2,1,0.382733,0.761905,[ 3 11] ; [1 1],[ 3.5 10.5] ; [0.5 1.5],0
a4,1,0.403414,0.698125,[11 23] ; [3 3],[11.9 22.1] ; [2.1 3.9],0
p9,1,0.412617,0.671247,[17 18] ; [4 2],[17.92682927 17.07317073] ; [3.07317073 2.92682927],0
r1,1,0.412617,0.671247,[17 18] ; [4 2],[17.92682927 17.07317073] ; [3.07317073 2.92682927],0
a7,1,0.412617,0.671247,[17 18] ; [4 2],[17.92682927 17.07317073] ; [3.07317073 2.92682927],0
b3,1,0.446248,0.580165,[10 12] ; [1 3],[ 9.30769231 12.69230769] ; [1.69230769 2.30769231],0
b2,1,0.446248,0.580165,[10 12] ; [1 3],[ 9.30769231 12.69230769] ; [1.69230769 2.30769231],0
p3,1,0.4603,0.545165,[12 23] ; [3 3],[12.80487805 22.19512195] ; [2.19512195 3.80487805],0
d4,1,0.462786,0.539149,[24 11] ; [5 1],[24.75609756 10.24390244] ; [4.24390244 1.75609756],0
p8,1,0.609134,0.261438,[ 8 26] ; [2 4],[ 8.5 25.5] ; [1.5 4.5],0
b4,1,0.645962,0.211029,[21 14] ; [3 3],[20.48780488 14.51219512] ; [3.51219512 2.48780488],0
v2,1,0.74462,0.106108,[15 20] ; [3 3],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
d3,1,0.74462,0.106108,[20 15] ; [3 3],[19.63414634 15.36585366] ; [3.36585366 2.63414634],0
a3,1,0.757093,0.095667,[21 14] ; [4 2],[21.34146341 13.65853659] ; [3.65853659 2.34146341],0
d2,1,0.789452,0.071301,[19 15] ; [3 3],[18.7 15.3] ; [3.3 2.7],0
a5,1,0.845778,0.037833,[19 16] ; [3 3],[18.7804878 16.2195122] ; [3.2195122 2.7804878],0
s5,1,0.861162,0.030588,[ 8 26] ; [1 4],[ 7.84615385 26.15384615] ; [1.15384615 3.84615385],0
v1,1,0.926191,0.008582,[11 24] ; [2 4],[11.09756098 23.90243902] ; [1.90243902 4.09756098],0
d1,1,0.948428,0.004184,[17 18] ; [3 3],[17.07317073 17.92682927] ; [2.92682927 3.07317073],0
