Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,8e-06,19.993891,[ 1 23] ; [34 25],[10.12048193 13.87951807] ; [24.87951807 34.12048193],1
d4,1,4.4e-05,16.691599,[11 13] ; [52  7],[18.21686747  5.78313253] ; [44.78313253 14.21686747],1
d3,1,0.001284,10.365473,[ 7 17] ; [40 19],[13.59036145 10.40963855] ; [33.40963855 25.59036145],0
p7,1,0.006314,7.458482,[16  8] ; [20 39],[10.40963855 13.59036145] ; [25.59036145 33.40963855],0
d2,1,0.01206,6.302073,[ 5 19] ; [30 29],[10.12048193 13.87951807] ; [24.87951807 34.12048193],0
n2,1,0.022688,5.192258,[9 1] ; [11 12],[6.06060606 3.93939394] ; [13.93939394  9.06060606],0
a4,1,0.02595,4.959362,[ 4 20] ; [25 34],[ 8.38554217 15.61445783] ; [20.61445783 38.38554217],0
a3,1,0.036166,4.389264,[ 9 15] ; [37 22],[13.30120482 10.69879518] ; [32.69879518 26.30120482],0
s5,1,0.045713,3.992134,[ 1 23] ; [13 45],[ 4.09756098 19.90243902] ; [ 9.90243902 48.09756098],0
s4,1,0.048748,3.883996,[ 1 23] ; [13 46],[ 4.04819277 19.95180723] ; [ 9.95180723 49.04819277],0
a5,1,0.051219,3.801082,[ 9 15] ; [36 23],[13.01204819 10.98795181] ; [31.98795181 27.01204819],0
a7,1,0.057172,3.617573,[10 14] ; [38 21],[13.87951807 10.12048193] ; [34.12048193 24.87951807],0
s6,1,0.07663,3.134966,[ 5 19] ; [24 34],[ 8.48780488 15.51219512] ; [20.51219512 37.48780488],0
n3,1,0.083053,3.00412,[8 1] ; [13 10],[5.90625 3.09375] ; [15.09375  7.90625],0
u3,1,0.089346,2.88612,[6 9] ; [15  7],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
s7,1,0.139518,2.183264,[ 3 20] ; [15 37],[ 5.52 17.48] ; [12.48 39.52],0
p10,1,0.141386,2.162809,[ 2 22] ; [13 46],[ 4.3373494 19.6626506] ; [10.6626506 48.3373494],0
s3,1,0.142926,2.146175,[12 12] ; [19 39],[ 9.07317073 14.92682927] ; [21.92682927 36.07317073],0
a6,1,0.186548,1.744675,[10 14] ; [34 25],[12.72289157 11.27710843] ; [31.27710843 27.72289157],0
b1,1,0.205709,1.601369,[11 13] ; [36 23],[13.59036145 10.40963855] ; [33.40963855 25.59036145],0
p11,1,0.262337,1.256383,[13 11] ; [24 35],[10.69879518 13.30120482] ; [26.30120482 32.69879518],0
v2,1,0.298805,1.07952,[ 8 15] ; [28 31],[10.09756098 12.90243902] ; [25.90243902 33.09756098],0
b5,1,0.3282,0.955986,[11 13] ; [34 25],[13.01204819 10.98795181] ; [31.98795181 27.01204819],0
b4,1,0.384852,0.755146,[13 11] ; [38 21],[14.74698795  9.25301205] ; [36.25301205 22.74698795],0
n6,1,0.403286,0.698505,[13 11] ; [26 33],[11.27710843 12.72289157] ; [27.72289157 31.27710843],0
v4,1,0.419875,0.650666,[18  6] ; [48 10],[19.31707317  4.68292683] ; [46.68292683 11.31707317],0
p8,1,0.439197,0.59838,[ 9 15] ; [17 42],[ 7.51807229 16.48192771] ; [18.48192771 40.51807229],0
p4,1,0.445515,0.582037,[ 8 16] ; [25 34],[ 9.54216867 14.45783133] ; [23.45783133 35.54216867],0
a8,1,0.531921,0.39072,[ 1 23] ; [ 1 55],[ 0.6 23.4] ; [ 1.4 54.6],0
r2,1,0.539666,0.376159,[18  6] ; [47 11],[19.02439024  4.97560976] ; [45.97560976 12.02439024],0
p6,1,0.565012,0.3311,[ 6 18] ; [11 46],[ 5.03703704 18.96296296] ; [11.96296296 45.03703704],0
v3,1,0.619372,0.246752,[ 7 16] ; [14 42],[ 6.11392405 16.88607595] ; [14.88607595 41.11392405],0
v1,1,0.676559,0.174025,[ 7 17] ; [20 39],[ 7.80722892 16.19277108] ; [19.19277108 39.80722892],0
r4,1,0.676559,0.174025,[17  7] ; [39 20],[16.19277108  7.80722892] ; [39.80722892 19.19277108],0
p2,1,0.733575,0.115854,[14 10] ; [32 27],[13.30120482 10.69879518] ; [32.69879518 26.30120482],0
n4,1,0.82082,0.051298,[10 14] ; [23 36],[ 9.54216867 14.45783133] ; [23.45783133 35.54216867],0
u2,1,0.84213,0.039669,[8 7] ; [11 11],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
s8,1,0.875775,0.024438,[ 3 21] ; [ 8 50],[ 3.2195122 20.7804878] ; [ 7.7804878 50.2195122],0
r3,1,0.897323,0.016652,[21  3] ; [51  8],[20.81927711  3.18072289] ; [51.18072289  7.81927711],0
r1,1,0.920645,0.009924,[16  8] ; [40 19],[16.19277108  7.80722892] ; [39.80722892 19.19277108],0
p3,1,0.959814,0.002539,[ 8 16] ; [19 39],[ 7.90243902 16.09756098] ; [19.09756098 38.90243902],0
n1,1,0.961245,0.002361,[3 7] ; [ 7 17],[2.94117647 7.05882353] ; [ 7.05882353 16.94117647],0
s2,1,0.974337,0.001035,[ 7 17] ; [17 42],[ 6.93975904 17.06024096] ; [17.06024096 41.93975904],0
s1,1,0.983251,0.000441,[ 2 22] ; [ 5 54],[ 2.02409639 21.97590361] ; [ 4.97590361 54.02409639],0
b2,1,0.987155,0.000259,[ 3 10] ; [ 8 27],[ 2.97916667 10.02083333] ; [ 8.02083333 26.97916667],0
b3,1,0.987155,0.000259,[ 3 10] ; [ 8 27],[ 2.97916667 10.02083333] ; [ 8.02083333 26.97916667],0
