Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.00225,9.333333,[ 2 12] ; [10  4],[6. 8.] ; [6. 8.],0
s2,1,0.006459,7.417582,[8 6] ; [ 1 12],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
s4,1,0.012074,6.3,[7 7] ; [ 1 13],[ 4. 10.] ; [ 4. 10.],0
b5,1,0.021947,5.25,[5 9] ; [11  3],[8. 6.] ; [8. 6.],0
v1,1,0.053019,3.743316,[8 6] ; [ 3 11],[5.5 8.5] ; [5.5 8.5],0
p6,1,0.053019,3.743316,[8 6] ; [ 3 11],[5.5 8.5] ; [5.5 8.5],0
u3,1,0.057224,3.616071,[5 3] ; [1 6],[3.2 4.8] ; [2.8 4.2],0
s5,1,0.065436,3.393939,[5 9] ; [ 1 13],[ 3. 11.] ; [ 3. 11.],0
a7,1,0.13057,2.285714,[5 9] ; [9 5],[7. 7.] ; [7. 7.],0
n1,1,0.133614,2.25,[2 1] ; [1 5],[1. 2.] ; [2. 4.],0
n3,1,0.133614,2.25,[1 2] ; [5 1],[2. 1.] ; [4. 2.],0
s7,1,0.161178,1.963141,[6 6] ; [ 3 10],[4.32 7.68] ; [4.68 8.32],0
a8,1,0.208359,1.582792,[ 1 13] ; [3 9],[ 2.15384615 11.84615385] ; [ 1.84615385 10.15384615],0
v3,1,0.224765,1.473684,[6 8] ; [ 3 11],[4.5 9.5] ; [4.5 9.5],0
a5,1,0.245699,1.347594,[10  4] ; [7 7],[8.5 5.5] ; [8.5 5.5],0
d3,1,0.255623,1.292308,[6 8] ; [9 5],[7.5 6.5] ; [7.5 6.5],0
s3,1,0.275973,1.186813,[6 8] ; [ 3 10],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
r3,1,0.280087,1.166667,[11  3] ; [13  1],[12.  2.] ; [12.  2.],0
p10,1,0.303294,1.059655,[12  2] ; [9 4],[10.88888889  3.11111111] ; [10.11111111  2.88888889],0
p5,1,0.356981,0.848485,[ 4 10] ; [ 2 12],[ 3. 11.] ; [ 3. 11.],0
a4,1,0.402784,0.7,[5 9] ; [ 3 11],[ 4. 10.] ; [ 4. 10.],0
n5,1,0.430223,0.622222,[10  4] ; [8 6],[9. 5.] ; [9. 5.],0
r1,1,0.445009,0.583333,[5 9] ; [7 7],[6. 8.] ; [6. 8.],0
d5,1,0.445009,0.583333,[9 5] ; [7 7],[8. 6.] ; [8. 6.],0
r4,1,0.445009,0.583333,[5 9] ; [7 7],[6. 8.] ; [6. 8.],0
b2,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
b3,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
v2,1,0.567996,0.326048,[7 6] ; [6 8],[6.25925926 6.74074074] ; [6.74074074 7.25925926],0
p2,1,0.621705,0.243478,[11  3] ; [12  2],[11.5  2.5] ; [11.5  2.5],0
p12,1,0.621705,0.243478,[ 3 11] ; [ 2 12],[ 2.5 11.5] ; [ 2.5 11.5],0
d1,1,0.662521,0.190476,[ 4 10] ; [ 3 11],[ 3.5 10.5] ; [ 3.5 10.5],0
b1,1,0.685734,0.163743,[9 5] ; [10  4],[9.5 4.5] ; [9.5 4.5],0
d4,1,0.685734,0.163743,[10  4] ; [9 5],[9.5 4.5] ; [9.5 4.5],0
d2,1,0.685734,0.163743,[5 9] ; [ 4 10],[4.5 9.5] ; [4.5 9.5],0
s8,1,0.698791,0.149733,[5 9] ; [6 8],[5.5 8.5] ; [5.5 8.5],0
n4,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
s6,1,0.704738,0.14359,[8 6] ; [7 7],[7.5 6.5] ; [7.5 6.5],0
a3,1,0.704738,0.14359,[6 8] ; [7 7],[6.5 7.5] ; [6.5 7.5],0
u2,1,0.875996,0.024351,[6 2] ; [5 2],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
p9,1,0.918011,0.010597,[11  3] ; [10  3],[10.88888889  3.11111111] ; [10.11111111  2.88888889],0
s1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
n6,1,1.0,0.0,[9 5] ; [9 5],[9. 5.] ; [9. 5.],0
a6,1,1.0,0.0,[8 6] ; [8 6],[8. 6.] ; [8. 6.],0
a2,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
a1,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
p11,1,1.0,0.0,[12  2] ; [12  2],[12.  2.] ; [12.  2.],0
v4,1,1.0,0.0,[10  4] ; [10  4],[10.  4.] ; [10.  4.],0
