Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001881,9.66194,[23 12] ; [ 7 20],[16.93548387 18.06451613] ; [13.06451613 13.93548387],0
p10,1,0.002112,9.449392,[20 15] ; [ 5 22],[14.11290323 20.88709677] ; [10.88709677 16.11290323],0
r2,1,0.004704,7.989739,[28  6] ; [13 14],[22.85245902 11.14754098] ; [18.14754098  8.85245902],0
p9,1,0.009931,6.647321,[19 13] ; [ 7 20],[14.10169492 17.89830508] ; [11.89830508 15.10169492],0
s6,1,0.011225,6.429384,[15 19] ; [ 4 24],[10.41935484 23.58064516] ; [ 8.58064516 19.41935484],0
p2,1,0.01124,6.426913,[18 16] ; [ 6 22],[13.16129032 20.83870968] ; [10.83870968 17.16129032],0
p8,1,0.029363,4.746178,[12 22] ; [ 3 24],[ 8.36065574 25.63934426] ; [ 6.63934426 20.36065574],0
u2,1,0.02951,4.737634,[7 7] ; [ 1 10],[4.48 9.52] ; [3.52 7.48],0
p1,1,0.029727,4.725,[ 2 33] ; [ 7 21],[ 5. 30.] ; [ 4. 24.],0
r1,1,0.040424,4.2,[19 16] ; [ 8 20],[15. 20.] ; [12. 16.],0
s1,1,0.043863,4.061842,[ 1 34] ; [ 5 23],[ 3.33333333 31.66666667] ; [ 2.66666667 25.33333333],0
v2,1,0.052331,3.765171,[ 7 27] ; [ 1 26],[ 4.45901639 29.54098361] ; [ 3.54098361 23.45901639],0
b5,1,0.090602,2.863636,[20 15] ; [10 18],[16.66666667 18.33333333] ; [13.33333333 14.66666667],0
d5,1,0.11351,2.504665,[22 13] ; [12 16],[18.88888889 16.11111111] ; [15.11111111 12.88888889],0
n2,1,0.11827,2.440087,[12  8] ; [ 5 10],[ 9.71428571 10.28571429] ; [7.28571429 7.71428571],0
a7,1,0.124283,2.3625,[18 17] ; [ 9 19],[15. 20.] ; [12. 16.],0
n3,1,0.126647,2.333133,[10  9] ; [ 4 11],[ 7.82352941 11.17647059] ; [6.17647059 8.82352941],0
b4,1,0.134353,2.241474,[24 11] ; [14 14],[21.11111111 13.88888889] ; [16.88888889 11.11111111],0
p11,1,0.176875,1.823684,[13 22] ; [ 6 22],[10.55555556 24.44444444] ; [ 8.44444444 19.55555556],0
s5,1,0.207109,1.591521,[ 8 27] ; [ 3 25],[ 6.11111111 28.88888889] ; [ 4.88888889 23.11111111],0
a1,1,0.28045,1.164906,[ 4 31] ; [ 6 22],[ 5.55555556 29.44444444] ; [ 4.44444444 23.55555556],0
a4,1,0.354971,0.855607,[10 24] ; [11 16],[11.70491803 22.29508197] ; [ 9.29508197 17.70491803],0
d4,1,0.456941,0.553378,[22 13] ; [15 13],[20.55555556 14.44444444] ; [16.44444444 11.55555556],0
s4,1,0.468717,0.525,[ 4 31] ; [ 5 23],[ 5. 30.] ; [ 4. 24.],0
n4,1,0.519798,0.414293,[21 14] ; [19  9],[22.22222222 12.77777778] ; [17.77777778 10.22222222],0
s7,1,0.530628,0.393189,[ 7 25] ; [ 4 22],[ 6.06896552 25.93103448] ; [ 4.93103448 21.06896552],0
a6,1,0.535351,0.384224,[16 19] ; [15 13],[17.22222222 17.77777778] ; [13.77777778 14.22222222],0
p5,1,0.570303,0.322176,[ 4 30] ; [ 2 25],[ 3.3442623 30.6557377] ; [ 2.6557377 24.3442623],0
b2,1,0.74743,0.103704,[ 7 14] ; [ 8 13],[ 7.5 13.5] ; [ 7.5 13.5],0
b3,1,0.74743,0.103704,[ 7 14] ; [ 8 13],[ 7.5 13.5] ; [ 7.5 13.5],0
p7,1,0.754969,0.097403,[ 8 24] ; [ 8 20],[ 8.53333333 23.46666667] ; [ 7.46666667 20.53333333],0
s2,1,0.757798,0.095094,[ 6 29] ; [ 4 24],[ 5.55555556 29.44444444] ; [ 4.44444444 23.55555556],0
v1,1,0.806043,0.060287,[11 24] ; [ 8 20],[10.55555556 24.44444444] ; [ 8.44444444 19.55555556],0
b1,1,0.818954,0.052391,[21 14] ; [16 12],[20.55555556 14.44444444] ; [16.44444444 11.55555556],0
s3,1,0.840263,0.040625,[ 9 24] ; [ 8 19],[ 9.35 23.65] ; [ 7.65 19.35],0
d1,1,0.857714,0.032143,[12 23] ; [ 9 19],[11.66666667 23.33333333] ; [ 9.33333333 18.66666667],0
p4,1,0.895226,0.017343,[ 9 25] ; [ 7 21],[ 8.77419355 25.22580645] ; [ 7.22580645 20.77419355],0
d2,1,0.900536,0.015621,[15 20] ; [12 15],[15.24193548 19.75806452] ; [11.75806452 15.24193548],0
n1,1,0.921972,0.009594,[ 9 11] ; [7 8],[ 9.14285714 10.85714286] ; [6.85714286 8.14285714],0
a3,1,0.923589,0.009199,[21 13] ; [17 10],[21.18032787 12.81967213] ; [16.81967213 10.18032787],0
a2,1,0.928572,0.008036,[ 4 31] ; [ 3 25],[ 3.88888889 31.11111111] ; [ 3.11111111 24.88888889],0
v3,1,0.935529,0.006543,[ 7 27] ; [ 6 22],[ 7.12903226 26.87096774] ; [ 5.87096774 22.12903226],0
p3,1,0.942169,0.005263,[10 24] ; [ 8 20],[ 9.87096774 24.12903226] ; [ 8.12903226 19.87096774],0
n5,1,0.951741,0.003663,[24 11] ; [19  9],[23.88888889 11.11111111] ; [19.11111111  8.88888889],0
d3,1,0.954926,0.003195,[16 19] ; [13 15],[16.11111111 18.88888889] ; [12.88888889 15.11111111],0
a5,1,0.954926,0.003195,[19 16] ; [15 13],[18.88888889 16.11111111] ; [15.11111111 12.88888889],0
