Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,22.06379,[10 31] ; [30  9],[20.5 20.5] ; [19.5 19.5],1
v4,1,0.000104,15.071583,[16 29] ; [31  9],[24.88235294 20.11764706] ; [22.11764706 17.88235294],1
p4,1,0.000231,13.556619,[ 3 42] ; [16 24],[10.05882353 34.94117647] ; [ 8.94117647 31.05882353],1
p11,1,0.000394,12.561138,[11 34] ; [25 15],[19.05882353 25.94117647] ; [16.94117647 23.05882353],1
n6,1,0.000401,12.529586,[20 25] ; [32  7],[27.85714286 17.14285714] ; [24.14285714 14.85714286],1
r3,1,0.001262,10.397548,[16 29] ; [27 11],[23.31325301 21.68674699] ; [19.68674699 18.31325301],0
s2,1,0.002624,9.051955,[ 4 41] ; [14 25],[ 9.64285714 35.35714286] ; [ 8.35714286 30.64285714],0
p10,1,0.003512,8.520191,[12 32] ; [23 16],[18.55421687 25.44578313] ; [16.44578313 22.55421687],0
s6,1,0.005082,7.849928,[ 6 39] ; [16 24],[11.64705882 33.35294118] ; [10.35294118 29.64705882],0
p3,1,0.005595,7.676206,[ 3 41] ; [12 28],[ 7.85714286 36.14285714] ; [ 7.14285714 32.85714286],0
s8,1,0.006596,7.37982,[ 2 43] ; [10 30],[ 6.35294118 38.64705882] ; [ 5.64705882 34.35294118],0
d2,1,0.032087,4.593829,[25 19] ; [13 26],[20.14457831 23.85542169] ; [17.85542169 21.14457831],0
p6,1,0.037873,4.310732,[ 1 42] ; [ 6 34],[ 3.62650602 39.37349398] ; [ 3.37349398 36.62650602],0
a1,1,0.039736,4.229115,[ 9 36] ; [ 2 38],[ 5.82352941 39.17647059] ; [ 5.17647059 34.82352941],0
p1,1,0.039736,4.229115,[ 9 36] ; [ 2 38],[ 5.82352941 39.17647059] ; [ 5.17647059 34.82352941],0
v1,1,0.059088,3.562809,[ 9 35] ; [15 23],[12.87804878 31.12195122] ; [11.12195122 26.87804878],0
p8,1,0.060645,3.519647,[ 3 42] ; [ 8 31],[ 5.89285714 39.10714286] ; [ 5.10714286 33.89285714],0
s5,1,0.07296,3.215135,[ 4 41] ; [ 9 30],[ 6.96428571 38.03571429] ; [ 6.03571429 32.96428571],0
b3,1,0.103451,2.651515,[16 14] ; [ 6 14],[13.2 16.8] ; [ 8.8 11.2],0
b2,1,0.103451,2.651515,[16 14] ; [ 6 14],[13.2 16.8] ; [ 8.8 11.2],0
s7,1,0.106285,2.608608,[ 8 34] ; [13 24],[11.16455696 30.83544304] ; [ 9.83544304 27.16455696],0
u3,1,0.111741,2.529423,[ 3 14] ; [ 8 11],[ 5.19444444 11.80555556] ; [ 5.80555556 13.19444444],0
n1,1,0.115776,2.473558,[11 15] ; [ 3 13],[ 8.66666667 17.33333333] ; [ 5.33333333 10.66666667],0
s1,1,0.121841,2.393489,[ 5 40] ; [ 1 39],[ 3.17647059 41.82352941] ; [ 2.82352941 37.17647059],0
d3,1,0.143686,2.13803,[21 24] ; [25 15],[24.35294118 20.64705882] ; [21.64705882 18.35294118],0
n3,1,0.159729,1.976786,[10 15] ; [10  6],[12.19512195 12.80487805] ; [7.80487805 8.19512195],0
b5,1,0.166686,1.9125,[18 27] ; [22 18],[21.17647059 23.82352941] ; [18.82352941 21.17647059],0
s3,1,0.186548,1.744675,[10 34] ; [14 25],[12.72289157 31.27710843] ; [11.27710843 27.72289157],0
b4,1,0.242617,1.365326,[26 19] ; [28 12],[28.58823529 16.41176471] ; [25.41176471 14.58823529],0
p5,1,0.251424,1.315372,[ 1 44] ; [ 3 37],[ 2.11764706 42.88235294] ; [ 1.88235294 38.11764706],0
a3,1,0.301151,1.069091,[28 16] ; [21 19],[25.66666667 18.33333333] ; [23.33333333 16.66666667],0
a2,1,0.303999,1.05657,[ 8 37] ; [ 4 36],[ 6.35294118 38.64705882] ; [ 5.64705882 34.35294118],0
