Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.07741,[34  8] ; [12 31],[22.72941176 19.27058824] ; [23.27058824 19.72941176],1
s6,1,0.000409,12.489126,[35  7] ; [19 22],[27.3253012 14.6746988] ; [26.6746988 14.3253012],1
s5,1,0.002769,8.953931,[18 22] ; [ 6 35],[11.85185185 28.14814815] ; [12.14814815 28.85185185],0
s8,1,0.002883,8.879907,[23 19] ; [10 33],[16.30588235 25.69411765] ; [16.69411765 26.30588235],0
s4,1,0.008879,6.847036,[13 27] ; [ 4 39],[ 8.19277108 31.80722892] ; [ 8.80722892 34.19277108],0
r1,1,0.014741,5.947187,[33  9] ; [23 20],[27.67058824 14.32941176] ; [28.32941176 14.67058824],0
s7,1,0.018055,5.590802,[25 15] ; [14 25],[19.74683544 20.25316456] ; [19.25316456 19.74683544],0
d4,1,0.019196,5.48353,[35  7] ; [26 17],[30.14117647 11.85882353] ; [30.85882353 12.14117647],0
n3,1,0.045465,4.001323,[5 5] ; [13  2],[7.2 2.8] ; [10.8  4.2],0
u2,1,0.06658,3.365385,[14  4] ; [12 12],[11.14285714  6.85714286] ; [14.85714286  9.14285714],0
p8,1,0.127632,2.321069,[31 11] ; [25 18],[27.67058824 14.32941176] ; [28.32941176 14.67058824],0
n4,1,0.137683,2.203664,[26 16] ; [33 10],[29.15294118 12.84705882] ; [29.84705882 13.15294118],0
p7,1,0.156952,2.003354,[37  4] ; [34  9],[34.6547619  6.3452381] ; [36.3452381  6.6547619],0
b3,1,0.173689,1.850815,[ 8 19] ; [12 13],[10.38461538 16.61538462] ; [ 9.61538462 15.38461538],0
b2,1,0.173689,1.850815,[ 8 19] ; [12 13],[10.38461538 16.61538462] ; [ 9.61538462 15.38461538],0
v1,1,0.188426,1.729879,[17 24] ; [24 19],[20.01190476 20.98809524] ; [20.98809524 22.01190476],0
p12,1,0.223887,1.479283,[ 5 37] ; [ 2 41],[ 3.45882353 38.54117647] ; [ 3.54117647 39.45882353],0
b1,1,0.232957,1.422718,[20 22] ; [15 28],[17.29411765 24.70588235] ; [17.70588235 25.29411765],0
a4,1,0.26347,1.250432,[11 31] ; [ 7 36],[ 8.89411765 33.10588235] ; [ 9.10588235 33.89411765],0
a3,1,0.275097,1.191151,[24 18] ; [19 23],[21.5 20.5] ; [21.5 20.5],0
d1,1,0.302104,1.064885,[14 28] ; [10 33],[11.85882353 30.14117647] ; [12.14117647 30.85882353],0
v4,1,0.317136,1.000719,[41  1] ; [40  3],[40.02352941  1.97647059] ; [40.97647059  2.02352941],0
u3,1,0.326558,0.9625,[11  7] ; [11 13],[9.42857143 8.57142857] ; [12.57142857 11.42857143],0
p1,1,0.342008,0.90289,[ 8 34] ; [ 5 38],[ 6.42352941 35.57647059] ; [ 6.57647059 36.42352941],0
p10,1,0.384499,0.756267,[31 11] ; [28 15],[29.15294118 12.84705882] ; [29.84705882 13.15294118],0
p2,1,0.390881,0.7362,[37  5] ; [35  8],[35.57647059  6.42352941] ; [36.42352941  6.57647059],0
d3,1,0.429574,0.623976,[25 16] ; [22 20],[23.21686747 17.78313253] ; [23.78313253 18.21686747],0
v3,1,0.440271,0.595576,[12 29] ; [16 27],[13.66666667 27.33333333] ; [14.33333333 28.66666667],0
p3,1,0.449678,0.571463,[22 20] ; [19 24],[20.25882353 21.74117647] ; [20.74117647 22.25882353],0
r2,1,0.478933,0.501292,[39  3] ; [38  5],[38.04705882  3.95294118] ; [38.95294118  4.04705882],0
a7,1,0.505031,0.444348,[27 13] ; [26 17],[25.54216867 14.45783133] ; [27.45783133 15.54216867],0
p5,1,0.526694,0.400766,[ 8 34] ; [ 6 37],[ 6.91764706 35.08235294] ; [ 7.08235294 35.91764706],0
d5,1,0.58174,0.30343,[29 12] ; [28 15],[27.82142857 13.17857143] ; [29.17857143 13.82142857],0
n5,1,0.651792,0.203648,[33  9] ; [32 11],[32.11764706  9.88235294] ; [32.88235294 10.11764706],0
n6,1,0.705377,0.142938,[30 11] ; [33 10],[30.75 10.25] ; [32.25 10.75],0
n1,1,0.742174,0.108225,[6 4] ; [8 7],[5.6 4.4] ; [8.4 6.6],0
v2,1,0.742898,0.107596,[20 21] ; [22 20],[20.74698795 20.25301205] ; [21.25301205 20.74698795],0
p11,1,0.750052,0.101487,[32 10] ; [34  9],[32.61176471  9.38823529] ; [33.38823529  9.61176471],0
b4,1,0.750816,0.100847,[22 20] ; [24 19],[22.72941176 19.27058824] ; [23.27058824 19.72941176],0
p9,1,0.753797,0.098368,[31 11] ; [33 10],[31.62352941 10.37647059] ; [32.37647059 10.62352941],0
b5,1,0.758954,0.09416,[27 15] ; [29 14],[27.67058824 14.32941176] ; [28.32941176 14.67058824],0
r4,1,0.778445,0.079155,[37  5] ; [37  6],[36.56470588  5.43529412] ; [37.43529412  5.56470588],0
a6,1,0.910529,0.012627,[22 20] ; [22 21],[21.74117647 20.25882353] ; [22.25882353 20.74117647],0
p4,1,0.939398,0.00578,[28 14] ; [29 14],[28.16470588 13.83529412] ; [28.83529412 14.16470588],0
d2,1,0.95202,0.00362,[10 32] ; [10 33],[ 9.88235294 32.11764706] ; [10.11764706 32.88235294],0
r3,1,0.961072,0.002382,[39  2] ; [41  2],[39.04761905  1.95238095] ; [40.95238095  2.04761905],0
a8,1,1.0,0.0,[ 7 33] ; [ 7 33],[ 7. 33.] ; [ 7. 33.],0
