Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.1e-05,15.315553,[2 4] ; [67  7],[5.175 0.825] ; [63.825 10.175],1
v4,1,0.000201,13.823452,[3 3] ; [70  4],[5.475 0.525] ; [67.525  6.475],1
d5,1,0.000756,11.346983,[1 5] ; [57 15],[4.46153846 1.53846154] ; [53.53846154 18.46153846],1
a5,1,0.004212,8.190008,[1 5] ; [54 20],[4.125 1.875] ; [50.875 23.125],0
r3,1,0.004378,8.12012,[4 2] ; [71  3],[5.625 0.375] ; [69.375  4.625],0
r1,1,0.014257,6.006006,[2 4] ; [58 16],[4.5 1.5] ; [55.5 18.5],0
p9,1,0.022348,5.218463,[2 4] ; [55 17],[4.38461538 1.61538462] ; [52.61538462 19.38461538],0
s7,1,0.022694,5.191739,[1 5] ; [43 24],[3.61643836 2.38356164] ; [40.38356164 26.61643836],0
d1,1,0.049713,3.851124,[1 5] ; [43 31],[3.3 2.7] ; [40.7 33.3],0
s8,1,0.062351,3.473715,[1 5] ; [41 32],[3.18987342 2.81012658] ; [38.81012658 34.18987342],0
d2,1,0.077459,3.117434,[1 5] ; [39 33],[3.07692308 2.92307692] ; [36.92307692 35.07692308],0
a4,1,0.115828,2.472849,[1 5] ; [37 37],[2.85 3.15] ; [35.15 38.85],0
a7,1,0.165645,1.921922,[2 4] ; [46 28],[3.6 2.4] ; [44.4 29.6],0
v2,1,0.215268,1.535642,[2 4] ; [41 28],[3.44 2.56] ; [39.56 29.44],0
v3,1,0.228249,1.45174,[1 5] ; [28 39],[2.38356164 3.61643836] ; [26.61643836 40.38356164],0
s5,1,0.233692,1.418247,[1 5] ; [29 41],[2.36842105 3.63157895] ; [27.63157895 42.36842105],0
a6,1,0.263902,1.248173,[2 4] ; [41 31],[3.30769231 2.69230769] ; [39.69230769 32.30769231],0
p3,1,0.289355,1.122618,[1 5] ; [28 45],[2.20253165 3.79746835] ; [26.79746835 46.20253165],0
p10,1,0.314604,1.011248,[3 3] ; [51 22],[4.10126582 1.89873418] ; [49.89873418 23.10126582],0
a1,1,0.375419,0.785651,[1 5] ; [ 5 69],[0.45 5.55] ; [ 5.55 68.45],0
a3,1,0.422953,0.642097,[5 1] ; [50 24],[4.125 1.875] ; [50.875 23.125],0
n4,1,0.423161,0.641521,[3 3] ; [49 25],[3.9 2.1] ; [48.1 25.9],0
p6,1,0.44737,0.577306,[1 5] ; [23 50],[1.82278481 4.17721519] ; [22.17721519 50.82278481],0
p11,1,0.466324,0.530673,[3 3] ; [48 26],[3.825 2.175] ; [47.175 26.825],0
n5,1,0.466324,0.530673,[3 3] ; [48 26],[3.825 2.175] ; [47.175 26.825],0
s4,1,0.536629,0.381824,[1 5] ; [21 53],[1.65 4.35] ; [20.35 53.65],0
p1,1,0.571415,0.32032,[1 5] ; [ 7 67],[0.6 5.4] ; [ 7.4 66.6],0
a8,1,0.590106,0.290179,[1 5] ; [ 7 65],[0.61538462 5.38461538] ; [ 7.38461538 64.61538462],0
p4,1,0.622158,0.242846,[3 3] ; [29 44],[2.43037975 3.56962025] ; [29.56962025 43.43037975],0
v1,1,0.641818,0.216372,[3 3] ; [43 29],[3.53846154 2.46153846] ; [42.46153846 29.53846154],0
b4,1,0.650775,0.204924,[3 3] ; [44 30],[3.525 2.475] ; [43.475 30.525],0
p8,1,0.681797,0.16811,[2 4] ; [19 55],[1.575 4.425] ; [19.425 54.575],0
d3,1,0.690109,0.158967,[4 2] ; [42 30],[3.53846154 2.46153846] ; [42.46153846 29.53846154],0
d4,1,0.751483,0.100289,[5 1] ; [56 16],[4.69230769 1.30769231] ; [56.30769231 15.69230769],0
n6,1,0.755179,0.09723,[4 2] ; [53 20],[4.32911392 1.67088608] ; [52.67088608 20.32911392],0
s1,1,0.7587,0.094365,[1 5] ; [ 9 64],[0.75949367 5.24050633] ; [ 9.24050633 63.75949367],0
p7,1,0.764014,0.090128,[3 3] ; [31 40],[2.64935065 3.35064935] ; [31.35064935 39.64935065],0
b1,1,0.898543,0.016257,[3 3] ; [35 39],[2.85 3.15] ; [35.15 38.85],0
s3,1,0.943881,0.004955,[5 1] ; [60 13],[4.93670886 1.06329114] ; [60.06329114 12.93670886],0
s6,1,0.988432,0.00021,[5 1] ; [61 12],[5.01265823 0.98734177] ; [60.98734177 12.01265823],0
