Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001267,10.38939,[4 1] ; [ 4 25],[1.17647059 3.82352941] ; [ 6.82352941 22.17647059],0
p8,1,0.010091,6.618803,[3 2] ; [ 3 24],[0.9375 4.0625] ; [ 5.0625 21.9375],0
p4,1,0.018278,5.569276,[3 2] ; [ 4 25],[1.02941176 3.97058824] ; [ 5.97058824 23.02941176],0
p3,1,0.018278,5.569276,[3 2] ; [ 4 25],[1.02941176 3.97058824] ; [ 5.97058824 23.02941176],0
s6,1,0.018278,5.569276,[3 2] ; [ 4 25],[1.02941176 3.97058824] ; [ 5.97058824 23.02941176],0
b5,1,0.056141,3.647882,[4 1] ; [10 19],[2.05882353 2.94117647] ; [11.94117647 17.05882353],0
p2,1,0.065755,3.385931,[3 2] ; [ 6 23],[1.32352941 3.67647059] ; [ 7.67647059 21.32352941],0
u2,1,0.079839,3.068182,[2 1] ; [ 2 10],[0.8 2.2] ; [3.2 8.8],0
s2,1,0.083777,2.990059,[2 3] ; [ 3 26],[0.73529412 4.26470588] ; [ 4.26470588 24.73529412],0
b4,1,0.110067,2.553257,[1 4] ; [17 12],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
n4,1,0.110067,2.553257,[1 4] ; [17 12],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
r4,1,0.155707,2.015435,[2 3] ; [ 4 25],[0.88235294 4.11764706] ; [ 5.11764706 23.88235294],0
n3,1,0.163165,1.944643,[3 1] ; [5 9],[1.77777778 2.22222222] ; [6.22222222 7.77777778],0
s3,1,0.169686,1.885714,[3 2] ; [ 8 20],[1.66666667 3.33333333] ; [ 9.33333333 18.66666667],0
n5,1,0.239585,1.383037,[1 4] ; [14 15],[2.20588235 2.79411765] ; [12.79411765 16.20588235],0
p11,1,0.245092,1.351067,[2 3] ; [ 5 24],[1.02941176 3.97058824] ; [ 5.97058824 23.02941176],0
n1,1,0.256839,1.285714,[1 3] ; [8 6],[2. 2.] ; [7. 7.],0
n2,1,0.256839,1.285714,[3 1] ; [6 8],[2. 2.] ; [7. 7.],0
b1,1,0.29751,1.08532,[4 1] ; [16 13],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
d3,1,0.363602,0.825414,[1 4] ; [12 17],[1.91176471 3.08823529] ; [11.08823529 17.91176471],0
a3,1,0.387985,0.745247,[2 3] ; [17 11],[2.87878788 2.12121212] ; [16.12121212 11.87878788],0
a6,1,0.438661,0.599782,[3 2] ; [12 17],[2.20588235 2.79411765] ; [12.79411765 16.20588235],0
b3,1,0.438807,0.599401,[2 1] ; [ 9 12],[1.375 1.625] ; [ 9.625 11.375],0
b2,1,0.438807,0.599401,[2 1] ; [ 9 12],[1.375 1.625] ; [ 9.625 11.375],0
v2,1,0.487857,0.48125,[2 3] ; [ 7 21],[1.36363636 3.63636364] ; [ 7.63636364 20.36363636],0
d2,1,0.530172,0.394061,[3 2] ; [13 16],[2.35294118 2.64705882] ; [13.64705882 15.35294118],0
s1,1,0.536008,0.382989,[1 4] ; [ 3 26],[0.58823529 4.41176471] ; [ 3.41176471 25.58823529],0
a8,1,0.557867,0.343411,[1 4] ; [ 3 25],[0.60606061 4.39393939] ; [ 3.39393939 24.60606061],0
s7,1,0.60524,0.267165,[1 4] ; [ 3 23],[0.64516129 4.35483871] ; [ 3.35483871 22.64516129],0
d5,1,0.62822,0.234483,[2 3] ; [15 14],[2.5 2.5] ; [14.5 14.5],0
s4,1,0.717411,0.130987,[1 4] ; [ 4 25],[0.73529412 4.26470588] ; [ 4.26470588 24.73529412],0
s5,1,0.717411,0.130987,[1 4] ; [ 4 25],[0.73529412 4.26470588] ; [ 4.26470588 24.73529412],0
p1,1,0.717411,0.130987,[1 4] ; [ 4 25],[0.73529412 4.26470588] ; [ 4.26470588 24.73529412],0
a2,1,0.717411,0.130987,[1 4] ; [ 4 25],[0.73529412 4.26470588] ; [ 4.26470588 24.73529412],0
v1,1,0.722511,0.1261,[1 4] ; [ 8 21],[1.32352941 3.67647059] ; [ 7.67647059 21.32352941],0
p9,1,0.73137,0.117857,[2 3] ; [ 9 19],[1.66666667 3.33333333] ; [ 9.33333333 18.66666667],0
a5,1,0.732046,0.117241,[3 2] ; [15 14],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
a7,1,0.732046,0.117241,[3 2] ; [15 14],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
d1,1,0.811555,0.056844,[2 3] ; [10 19],[1.76470588 3.23529412] ; [10.23529412 18.76470588],0
r2,1,0.905218,0.014178,[3 2] ; [16 12],[2.87878788 2.12121212] ; [16.12121212 11.87878788],0
p10,1,0.908893,0.013095,[1 4] ; [ 5 23],[0.90909091 4.09090909] ; [ 5.09090909 22.90909091],0
d4,1,0.929939,0.00773,[3 2] ; [18 11],[3.08823529 1.91176471] ; [17.91176471 11.08823529],0
a4,1,0.953847,0.00335,[2 3] ; [12 17],[2.05882353 2.94117647] ; [11.94117647 17.05882353],0
r1,1,0.953847,0.00335,[2 3] ; [12 17],[2.05882353 2.94117647] ; [11.94117647 17.05882353],0
