Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.587866,[26 26] ; [131  28],[38.69194313 13.30805687] ; [118.30805687  40.69194313],1
p10,1,9e-06,19.704979,[25 28] ; [125  33],[37.67772512 15.32227488] ; [112.32227488  45.67772512],1
r3,1,3.9e-05,16.943931,[44 10] ; [156   4],[50.46728972  3.53271028] ; [149.53271028  10.46728972],1
b1,1,0.000829,11.17425,[29 26] ; [ 45 116],[18.84259259 36.15740741] ; [ 55.15740741 105.84259259],1
a6,1,0.002347,9.256173,[17 38] ; [88 73],[26.73611111 28.26388889] ; [78.26388889 82.73611111],0
p7,1,0.004715,7.985518,[22 32] ; [98 58],[30.85714286 23.14285714] ; [89.14285714 66.85714286],0
b5,1,0.011737,6.350113,[41 14] ; [89 72],[33.10185185 21.89814815] ; [96.89814815 64.10185185],0
r4,1,0.0145,5.976285,[40 15] ; [140  21],[45.83333333  9.16666667] ; [134.16666667  26.83333333],0
n3,1,0.024625,5.050033,[10 10] ; [27  7],[13.7037037  6.2962963] ; [23.2962963 10.7037037],0
a4,1,0.027742,4.844002,[ 5 49] ; [ 37 124],[10.54883721 43.45116279] ; [ 31.45116279 129.54883721],0
r2,1,0.032983,4.54665,[44 10] ; [147  13],[48.19626168  5.80373832] ; [142.80373832  17.19626168],0
v2,1,0.03943,4.242239,[18 35] ; [77 76],[24.44174757 28.55825243] ; [70.55825243 82.44174757],0
a3,1,0.040395,4.2012,[18 34] ; [82 79],[24.41314554 27.58685446] ; [75.58685446 85.41314554],0
p8,1,0.047295,3.934862,[18 37] ; [77 83],[24.30232558 30.69767442] ; [70.69767442 89.30232558],0
v1,1,0.085181,2.96317,[17 36] ; [72 86],[22.35545024 30.64454976] ; [66.64454976 91.35545024],0
a8,1,0.094022,2.804135,[ 3 46] ; [ 23 126],[ 6.43434343 42.56565657] ; [ 19.56565657 129.43434343],0
p2,1,0.119376,2.425487,[38 17] ; [127  33],[42.20930233 12.79069767] ; [122.79069767  37.20930233],0
a7,1,0.181394,1.786164,[32 22] ; [110  49],[36. 18.] ; [106.  53.],0
u2,1,0.194674,1.681886,[14 21] ; [42 37],[17.19298246 17.80701754] ; [38.80701754 40.19298246],0
v4,1,0.256069,1.289883,[49  6] ; [150  10],[50.90697674  4.09302326] ; [148.09302326  11.90697674],0
s5,1,0.260374,1.266767,[10 44] ; [ 40 113],[13.04347826 40.95652174] ; [ 36.95652174 116.04347826],0
p6,1,0.281632,1.159198,[13 41] ; [ 50 107],[16.12322275 37.87677725] ; [ 46.87677725 110.12322275],0
n4,1,0.290942,1.115258,[35 20] ; [114  46],[38.11627907 16.88372093] ; [110.88372093  49.11627907],0
s8,1,0.306012,1.047809,[15 40] ; [ 56 105],[18.0787037 36.9212963] ; [ 52.9212963 108.0787037],0
d3,1,0.32014,0.988374,[27 27] ; [93 68],[30.13953488 23.86046512] ; [89.86046512 71.13953488],0
p12,1,0.384677,0.755702,[ 2 53] ; [ 11 149],[ 3.3255814 51.6744186] ; [  9.6744186 150.3255814],0
v3,1,0.386478,0.749996,[17 37] ; [59 96],[19.63636364 34.36363636] ; [56.36363636 98.63636364],0
r1,1,0.402917,0.699605,[33 22] ; [106  54],[35.55813953 19.44186047] ; [103.44186047  56.55813953],0
s3,1,0.446854,0.57862,[26 28] ; [85 72],[28.40758294 25.59241706] ; [82.59241706 74.40758294],0
a1,1,0.450292,0.569918,[ 2 53] ; [  3 158],[ 1.27314815 53.72685185] ; [  3.72685185 157.27314815],0
d2,1,0.472864,0.515277,[15 40] ; [ 36 124],[13.04651163 41.95348837] ; [ 37.95348837 122.04651163],0
n1,1,0.540567,0.374489,[ 6 14] ; [13 21],[ 7.03703704 12.96296296] ; [11.96296296 22.03703704],0
d4,1,0.541457,0.372846,[35 20] ; [109  51],[36.8372093 18.1627907] ; [107.1627907  52.8372093],0
d5,1,0.586016,0.29661,[33 21] ; [105  56],[34.66046512 19.33953488] ; [103.33953488  57.66046512],0
u1,1,0.615953,0.251596,[ 1 54] ; [  5 156],[ 1.52777778 53.47222222] ; [  4.47222222 156.52777778],0
p1,1,0.644015,0.213529,[ 6 49] ; [ 14 145],[ 5.14018692 49.85981308] ; [ 14.85981308 144.14018692],0
s4,1,0.684286,0.165341,[10 45] ; [ 25 133],[ 9.03755869 45.96244131] ; [ 25.96244131 132.03755869],0
p5,1,0.690997,0.158008,[ 7 48] ; [ 17 141],[ 6.1971831 48.8028169] ; [ 17.8028169 140.1971831],0
b3,1,0.695004,0.153722,[ 7 23] ; [24 65],[ 7.81512605 22.18487395] ; [23.18487395 65.81512605],0
b2,1,0.695004,0.153722,[ 7 23] ; [24 65],[ 7.81512605 22.18487395] ; [23.18487395 65.81512605],0
p3,1,0.713549,0.134758,[21 34] ; [66 95],[22.15277778 32.84722222] ; [64.84722222 96.15277778],0
n2,1,0.722514,0.126097,[13  7] ; [23 10],[13.58490566  6.41509434] ; [22.41509434 10.58490566],0
n5,1,0.761519,0.092104,[38 17] ; [114  46],[38.88372093 16.11627907] ; [113.11627907  46.88372093],0
d1,1,0.848725,0.036384,[17 38] ; [ 52 109],[17.56944444 37.43055556] ; [ 51.43055556 109.56944444],0
s7,1,0.84888,0.036308,[18 33] ; [57 98],[18.56796117 32.43203883] ; [56.43203883 98.56796117],0
p4,1,0.873764,0.025242,[27 27] ; [78 82],[26.4953271 27.5046729] ; [78.5046729 81.4953271],0
s1,1,0.88048,0.022608,[ 3 51] ; [  8 151],[ 2.78873239 51.21126761] ; [  8.21126761 150.78873239],0
b4,1,0.909264,0.012988,[33 22] ; [98 63],[33.35648148 21.64351852] ; [97.64351852 63.35648148],0
s2,1,0.91065,0.012593,[24 31] ; [68 91],[23.64485981 31.35514019] ; [68.35514019 90.64485981],0
u3,1,0.949805,0.003963,[18 18] ; [40 39],[18.15652174 17.84347826] ; [39.84347826 39.15652174],0
s6,1,0.975839,0.000917,[32 22] ; [94 64],[32.09433962 21.90566038] ; [93.90566038 64.09433962],0
