Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000123,14.748545,[ 5 40] ; [15 14],[12.16216216 32.83783784] ; [ 7.83783784 21.16216216],1
s8,1,0.000953,10.917599,[ 6 39] ; [14 15],[12.16216216 32.83783784] ; [ 7.83783784 21.16216216],1
a5,1,0.00121,10.475474,[11 34] ; [18 11],[17.63513514 27.36486486] ; [11.36486486 17.63513514],0
p7,1,0.003546,8.502967,[21 22] ; [24  5],[26.875 16.125] ; [18.125 10.875],0
s7,1,0.003769,8.391811,[ 6 38] ; [12 15],[11.15492958 32.84507042] ; [ 6.84507042 20.15492958],0
a3,1,0.006404,7.432837,[16 28] ; [20  9],[21.69863014 22.30136986] ; [14.30136986 14.69863014],0
a4,1,0.014532,5.972329,[ 4 41] ; [ 9 20],[ 7.90540541 37.09459459] ; [ 5.09459459 23.90540541],0
n1,1,0.024271,5.075188,[ 2 17] ; [4 4],[ 4.22222222 14.77777778] ; [1.77777778 6.22222222],0
s3,1,0.025472,4.991539,[16 29] ; [18 11],[20.67567568 24.32432432] ; [13.32432432 15.67567568],0
p8,1,0.027939,4.831815,[14 31] ; [16 12],[18.49315068 26.50684932] ; [11.50684932 16.49315068],0
d3,1,0.039587,4.235518,[14 31] ; [16 13],[18.24324324 26.75675676] ; [11.75675676 17.24324324],0
p5,1,0.047236,3.936956,[ 1 44] ; [ 4 24],[ 3.08219178 41.91780822] ; [ 1.91780822 26.08219178],0
a2,1,0.052883,3.747624,[ 1 44] ; [ 4 25],[ 3.04054054 41.95945946] ; [ 1.95945946 27.04054054],0
a7,1,0.05958,3.549028,[21 24] ; [20  9],[24.93243243 20.06756757] ; [16.06756757 12.93243243],0
p6,1,0.080055,3.063791,[ 6 37] ; [ 9 20],[ 8.95833333 34.04166667] ; [ 6.04166667 22.95833333],0
s2,1,0.090795,2.860228,[13 32] ; [14 15],[16.41891892 28.58108108] ; [10.58108108 18.41891892],0
s6,1,0.141681,2.159609,[17 28] ; [16 13],[20.06756757 24.93243243] ; [12.93243243 16.06756757],0
n3,1,0.205924,1.599853,[12  7] ; [7 1],[13.37037037  5.62962963] ; [5.62962963 2.37037037],0
b5,1,0.222029,1.491206,[23 22] ; [19 10],[25.54054054 19.45945946] ; [16.45945946 12.54054054],0
p2,1,0.238903,1.387056,[30 15] ; [23  6],[32.22972973 12.77027027] ; [20.77027027  8.22972973],0
a6,1,0.27604,1.186484,[19 26] ; [16 13],[21.28378378 23.71621622] ; [13.71621622 15.28378378],0
p10,1,0.29972,1.075438,[24 21] ; [19 10],[26.14864865 18.85135135] ; [16.85135135 12.14864865],0
u1,1,0.319594,0.990607,[ 1 44] ; [ 2 27],[ 1.82432432 43.17567568] ; [ 1.17567568 27.82432432],0
n6,1,0.332677,0.93845,[26 19] ; [20  9],[27.97297297 17.02702703] ; [18.02702703 10.97297297],0
s4,1,0.366111,0.816822,[10 35] ; [ 4 25],[ 8.51351351 36.48648649] ; [ 5.48648649 23.51351351],0
