Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1.4e-05,18.882411,[72  1] ; [3 2],[70.19230769  2.80769231] ; [4.80769231 0.19230769],1
s6,1,5.9e-05,16.133952,[68  3] ; [3 3],[65.46753247  5.53246753] ; [5.53246753 0.46753247],1
r3,1,8.2e-05,15.505087,[72  1] ; [4 2],[70.2278481  2.7721519] ; [5.7721519 0.2278481],1
d5,1,0.000104,15.07063,[66  7] ; [2 4],[62.83544304 10.16455696] ; [5.16455696 0.83544304],1
a3,1,0.020772,5.345802,[56 17] ; [2 4],[53.59493671 19.40506329] ; [4.40506329 1.59493671],0
d1,1,0.020772,5.345802,[56 17] ; [2 4],[53.59493671 19.40506329] ; [4.40506329 1.59493671],0
a5,1,0.027334,4.869575,[55 18] ; [2 4],[52.67088608 20.32911392] ; [4.32911392 1.67088608],0
p9,1,0.029791,4.721328,[67  5] ; [4 2],[65.53846154  6.46153846] ; [5.46153846 0.53846154],0
v1,1,0.045273,4.008443,[43 30] ; [1 5],[40.65822785 32.34177215] ; [3.34177215 2.65822785],0
p10,1,0.081992,3.02496,[65  7] ; [4 2],[63.69230769  8.30769231] ; [5.30769231 0.69230769],0
d2,1,0.13195,2.269413,[47 26] ; [2 4],[45.27848101 27.72151899] ; [3.72151899 2.27848101],0
d3,1,0.176775,1.824533,[55 18] ; [3 3],[53.59493671 19.40506329] ; [4.40506329 1.59493671],0
p8,1,0.206743,1.59409,[41 31] ; [5 1],[42.46153846 29.53846154] ; [3.53846154 2.46153846],0
n4,1,0.207935,1.585748,[54 19] ; [3 3],[52.67088608 20.32911392] ; [4.32911392 1.67088608],0
n6,1,0.246087,1.345382,[62 11] ; [4 2],[60.98734177 12.01265823] ; [5.01265823 0.98734177],0
s1,1,0.279314,1.170425,[ 4 69] ; [1 5],[ 4.62025316 68.37974684] ; [0.37974684 5.62025316],0
b4,1,0.2804,1.16515,[41 32] ; [2 4],[39.73417722 33.26582278] ; [3.26582278 2.73417722],0
p4,1,0.411835,0.673497,[49 24] ; [5 1],[49.89873418 23.10126582] ; [4.10126582 1.89873418],0
v2,1,0.433113,0.614461,[35 35] ; [2 4],[34.07894737 35.92105263] ; [2.92105263 3.07894737],0
a4,1,0.45135,0.567259,[36 37] ; [2 4],[35.11392405 37.88607595] ; [2.88607595 3.11392405],0
u1,1,0.485061,0.487462,[22 51] ; [1 5],[21.25316456 51.74683544] ; [1.74683544 4.25316456],0
a6,1,0.52779,0.398644,[46 27] ; [3 3],[45.27848101 27.72151899] ; [3.72151899 2.27848101],0
a2,1,0.567362,0.327116,[20 53] ; [1 5],[19.40506329 53.59493671] ; [1.59493671 4.40506329],0
b1,1,0.573602,0.316693,[33 40] ; [2 4],[32.34177215 40.65822785] ; [2.65822785 3.34177215],0
p11,1,0.612227,0.256944,[54 19] ; [5 1],[54.51898734 18.48101266] ; [4.48101266 1.51898734],0
n5,1,0.638493,0.220718,[55 18] ; [4 2],[54.51898734 18.48101266] ; [4.48101266 1.51898734],0
b2,1,0.663898,0.188823,[12 29] ; [1 4],[11.58695652 29.41304348] ; [1.41304348 3.58695652],0
b3,1,0.663898,0.188823,[12 29] ; [1 4],[11.58695652 29.41304348] ; [1.41304348 3.58695652],0
p7,1,0.74003,0.110101,[52 19] ; [4 1],[52.31578947 18.68421053] ; [3.68421053 1.31578947],0
u2,1,0.748328,0.102941,[10  7] ; [2 2],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
p2,1,0.820111,0.051712,[58 15] ; [5 1],[58.21518987 14.78481013] ; [4.78481013 1.21518987],0
p3,1,0.820674,0.051383,[40 33] ; [3 3],[39.73417722 33.26582278] ; [3.26582278 2.73417722],0
s7,1,0.843922,0.038761,[56 14] ; [5 1],[56.18421053 13.81578947] ; [4.81578947 1.18421053],0
b5,1,0.858371,0.031844,[46 27] ; [4 2],[46.20253165 26.79746835] ; [3.79746835 2.20253165],0
p6,1,0.895841,0.017139,[38 34] ; [3 3],[37.84615385 34.15384615] ; [3.15384615 2.84615385],0
d4,1,0.916499,0.010992,[62 11] ; [5 1],[61.91139241 11.08860759] ; [5.08860759 0.91139241],0
a7,1,0.926325,0.008551,[50 23] ; [4 2],[49.89873418 23.10126582] ; [4.10126582 1.89873418],0
s2,1,0.927816,0.008207,[61 11] ; [5 1],[60.92307692 11.07692308] ; [5.07692308 0.92307692],0
u3,1,0.950458,0.00386,[13  4] ; [3 1],[12.95238095  4.04761905] ; [3.04761905 0.95238095],0
s3,1,1.0,0.0,[60 12] ; [5 1],[60. 12.] ; [5. 1.],0
