Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.4e-05,16.669145,[22 24] ; [72 16],[32.26865672 13.73134328] ; [61.73134328 26.26865672],1
a6,1,0.000257,13.363861,[17 29] ; [62 27],[26.91851852 19.08148148] ; [52.08148148 36.91851852],1
a2,1,0.009308,6.762746,[ 4 42] ; [25 64],[ 9.88148148 36.11851852] ; [19.11851852 69.88148148],0
a3,1,0.015034,5.912443,[25 21] ; [66 22],[31.23880597 14.76119403] ; [59.76119403 28.23880597],0
n3,1,0.01536,5.874725,[5 8] ; [16  4],[8.27272727 4.72727273] ; [12.72727273  7.27272727],0
s6,1,0.030606,4.67492,[36  6] ; [59 28],[30.93023256 11.06976744] ; [64.06976744 22.93023256],0
u1,1,0.037337,4.334984,[ 3 43] ; [18 71],[ 7.15555556 38.84444444] ; [13.84444444 75.15555556],0
s3,1,0.053275,3.735269,[33 13] ; [48 40],[27.80597015 18.19402985] ; [53.19402985 34.80597015],0
b5,1,0.057071,3.62051,[20 26] ; [54 35],[25.21481481 20.78518519] ; [48.78518519 40.21481481],0
s8,1,0.058834,3.569946,[28 17] ; [40 49],[22.8358209 22.1641791] ; [45.1641791 43.8358209],0
d4,1,0.060152,3.533184,[33 12] ; [77 12],[36.94029851  8.05970149] ; [73.05970149 15.94029851],0
p2,1,0.063232,3.450521,[39  7] ; [84  5],[41.91111111  4.08888889] ; [81.08888889  7.91111111],0
b1,1,0.124076,2.365097,[25 21] ; [36 53],[20.78518519 25.21481481] ; [40.21481481 48.78518519],0
p4,1,0.167935,1.901281,[33 13] ; [73 16],[36.11851852  9.88148148] ; [69.88148148 19.11851852],0
u3,1,0.17186,1.866643,[10 11] ; [15  7],[12.20930233  8.79069767] ; [12.79069767  9.20930233],0
s5,1,0.18629,1.746713,[23 20] ; [35 50],[19.484375 23.515625] ; [38.515625 46.484375],0
p11,1,0.187946,1.733647,[40  6] ; [69 20],[37.14074074  8.85925926] ; [71.85925926 17.14074074],0
s7,1,0.219181,1.509725,[30 16] ; [46 39],[26.6870229 19.3129771] ; [49.3129771 35.6870229],0
b2,1,0.246575,1.342605,[18 15] ; [23 32],[15.375 17.625] ; [25.625 29.375],0
b3,1,0.246575,1.342605,[18 15] ; [23 32],[15.375 17.625] ; [25.625 29.375],0
a4,1,0.246992,1.340236,[26 19] ; [42 47],[22.8358209 22.1641791] ; [45.1641791 43.8358209],0
r3,1,0.351199,0.86912,[45  1] ; [83  5],[43.94029851  2.05970149] ; [84.05970149  3.94029851],0
s1,1,0.363066,0.827261,[ 1 44] ; [ 5 83],[ 2.03007519 42.96992481] ; [ 3.96992481 84.03007519],0
v3,1,0.413839,0.667745,[11 35] ; [16 73],[ 9.2 36.8] ; [17.8 71.2],0
n4,1,0.413839,0.667745,[35 11] ; [73 16],[36.8  9.2] ; [71.2 17.8],0
